Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
simdFilter7x7Blk<(X86_VEXT)4>	0.297973	0.297973	0.0	0.034021	0.0	0.263952	0.0	0.0	0.0	vvdecapp	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier const*, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, ComponentID, short const*, short const*, ClpRngTemplate<short> const&, CodingStructure const&, int, int)	[Unknown]	0xea630
__memmove_avx_unaligned_erms	0.281991	0.281991	0.0	0.0	0.007998	0.273993	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
CABACReader::residual_coding	0.135998	0.135998	0.0	0.050000	0.0	0.085998	0.0	0.0	0.0	vvdecapp	CABACReader::residual_coding(TransformUnit&, ComponentID, CUCtx&)	[Unknown]	0xc0cd0
__memset_avx2_erms	0.128021	0.128021	0.0	0.0	0.0	0.128021	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18ee60
simdFilter16xX_N8<(X86_VEXT)4, (bool)0>	0.124018	0.124018	0.0	0.0	0.0	0.124018	0.0	0.0	0.0	vvdecapp	void simdFilter16xX_N8<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd8e60
simdFilter8xX_N4<(X86_VEXT)4, (bool)0>	0.089999	0.089999	0.0	0.0	0.0	0.089999	0.0	0.0	0.0	vvdecapp	void simdFilter8xX_N4<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd9d40
InterPrediction::xProcessDMVR	0.080017	0.080017	0.0	0.0	0.0	0.080017	0.0	0.0	0.0	vvdecapp	InterPrediction::xProcessDMVR(CodingUnit&, UnitBuf<short>&, ClpRngs const&, bool)	[Unknown]	0xa44f0
copyBuffer_SSE<(X86_VEXT)4>	0.064003	0.064003	0.0	0.0	0.0	0.064003	0.0	0.0	0.0	vvdecapp	void copyBuffer_SSE<(X86_VEXT)4>(char const*, long, char*, long, int, int)	[Unknown]	0xee240
LoopFilter::calcFilterStrengths	0.063963	0.063963	0.0	0.010000	0.0	0.053963	0.0	0.0	0.0	vvdecapp	LoopFilter::calcFilterStrengths(CodingUnit const&)	[Unknown]	0xbb710
simdDeriveClassificationBlk<(X86_VEXT)4>	0.058008	0.058008	0.0	0.020000	0.0	0.038008	0.0	0.0	0.0	vvdecapp	void simdDeriveClassificationBlk<(X86_VEXT)4>(AlfClassifier*, AreaBuf<short const> const&, Area const&, int, int, int)	[Unknown]	0xef7d0
