Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
NoMallocThreadPool::findNextTask	0.041997	0.041997	0.0	0.041997	0.0	0.0	0.0	0.0	0.0	vvdecapp	NoMallocThreadPool::findNextTask(int, NoMallocThreadPool::ChunkedTaskQueue::Iterator)	[Unknown]	0x69fc0
__memset_avx2_erms	0.022006	0.022006	0.0	0.022006	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18ee60
[Outside any known module]	0.020000	0.020000	0.010000	0.010000	0.0	0.0	0.0	0.0	0.0	[Unknown]	[Outside any known module]	[Unknown]	0x0
simdFilter7x7Blk<(X86_VEXT)4>	0.018003	0.018003	0.0	0.018003	0.0	0.0	0.0	0.0	0.0	vvdecapp	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier const*, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, ComponentID, short const*, short const*, ClpRngTemplate<short> const&, CodingStructure const&, int, int)	[Unknown]	0xea630
AdaptiveLoopFilter::filterCTU	0.012006	0.012006	0.0	0.0	0.012006	0.0	0.0	0.0	0.0	vvdecapp	AdaptiveLoopFilter::filterCTU(UnitBuf<short const> const&, UnitBuf<short> const&, unsigned char const*, unsigned char const*, ClpRngs const&, ChannelType, CodingStructure&, int, Position, int)	[Unknown]	0x4d280
DecCu::xDeriveCUMV	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	DecCu::xDeriveCUMV(CodingUnit&, MotionHist&)	[Unknown]	0x344c0
InterPrediction::xProcessDMVR	0.010000	0.010000	0.0	0.0	0.010000	0.0	0.0	0.0	0.0	vvdecapp	InterPrediction::xProcessDMVR(CodingUnit&, UnitBuf<short>&, ClpRngs const&, bool)	[Unknown]	0xa44f0
IntraPrediction::xPredIntraAng.constprop.133	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	IntraPrediction::xPredIntraAng(AreaBuf<short const> const&, AreaBuf<short>&, ChannelType, unsigned int, ClpRngTemplate<short> const&, SPS const&, int, bool, bool&, bool, Size).constprop.133	[Unknown]	0x304c0
LoopFilter::calcFilterStrengths	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	LoopFilter::calcFilterStrengths(CodingUnit const&)	[Unknown]	0xbb710
addAvg_SSE<(X86_VEXT)4, (int)4>	0.007994	0.007994	0.0	0.007994	0.0	0.0	0.0	0.0	0.0	vvdecapp	void addAvg_SSE<(X86_VEXT)4, (int)4>(short const*, long, short const*, long, short*, long, int, int, int, int, ClpRngTemplate<short> const&)	[Unknown]	0xe0330
cpyResi_SSE<(X86_VEXT)4, (int)4>	0.007994	0.007994	0.0	0.007994	0.0	0.0	0.0	0.0	0.0	vvdecapp	void cpyResi_SSE<(X86_VEXT)4, (int)4>(int const*, short*, long, unsigned int, unsigned int)	[Unknown]	0x3cec0
