Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
RdCost::xGetSAD_16xN_SIMD<(X86_VEXT)4>	0.093983	0.093983	0.0	0.0	0.030000	0.063984	0.0	0.0	0.0	vvdecapp	unsigned long RdCost::xGetSAD_16xN_SIMD<(X86_VEXT)4>(DistParam const&)	[Unknown]	0x3dd00
__memset_avx2_erms	0.077995	0.077995	0.0	0.030000	0.015998	0.031997	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18ee60
simdFilter16xX_N8<(X86_VEXT)4, (bool)0>	0.069988	0.069988	0.0	0.008008	0.021992	0.039988	0.0	0.0	0.0	vvdecapp	void simdFilter16xX_N8<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd8e60
__memmove_avx_unaligned_erms	0.061993	0.061993	0.0	0.010000	0.007984	0.044009	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
simdInterpolateN2_2D<(X86_VEXT)4>	0.056001	0.056001	0.0	0.0	0.0	0.056001	0.0	0.0	0.0	vvdecapp	void simdInterpolateN2_2D<(X86_VEXT)4>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xdb920
[Outside any known module]	0.048591	0.048591	0.014146	0.034445	0.0	0.0	0.0	0.0	0.0	[Unknown]	[Outside any known module]	[Unknown]	0x0
InterPrediction::xProcessDMVR	0.047985	0.047985	0.0	0.0	0.0	0.047985	0.0	0.0	0.0	vvdecapp	InterPrediction::xProcessDMVR(CodingUnit&, UnitBuf<short>&, ClpRngs const&, bool)	[Unknown]	0xa44f0
fastInv_SSE<(X86_VEXT)4, (int)8>	0.044009	0.044009	0.0	0.0	0.012005	0.032004	0.0	0.0	0.0	vvdecapp	void fastInv_SSE<(X86_VEXT)4, (int)8>(short const*, int const*, int*, unsigned int, unsigned int, unsigned int, unsigned int)	[Unknown]	0x3cf30
simdFilter8xX_N4<(X86_VEXT)4, (bool)0>	0.041989	0.041989	0.0	0.0	0.017999	0.023991	0.0	0.0	0.0	vvdecapp	void simdFilter8xX_N4<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd9d40
__memset_avx2_unaligned_erms	0.040010	0.040010	0.0	0.020005	0.0	0.020005	0.0	0.0	0.0	libc.so.6	__memset_avx2_unaligned_erms	memset-vec-unaligned-erms.S	0x18ee90
LoopFilter::calcFilterStrengths	0.039993	0.039993	0.0	0.020000	0.0	0.019993	0.0	0.0	0.0	vvdecapp	LoopFilter::calcFilterStrengths(CodingUnit const&)	[Unknown]	0xbb710
addAvg_SSE<(X86_VEXT)4, (int)8>	0.033976	0.033976	0.0	0.0	0.010000	0.023976	0.0	0.0	0.0	vvdecapp	void addAvg_SSE<(X86_VEXT)4, (int)8>(short const*, long, short const*, long, short*, long, int, int, int, int, ClpRngTemplate<short> const&)	[Unknown]	0xe0420
paddPicBorderLeftRightSIMD<(X86_VEXT)4>	0.032014	0.032014	0.0	0.0	0.0	0.032014	0.0	0.0	0.0	vvdecapp	void paddPicBorderLeftRightSIMD<(X86_VEXT)4>(short*, long, int, int, int)	[Unknown]	0x3d510
simdFilter16xX_N8<(X86_VEXT)4, (bool)1>	0.031999	0.031999	0.0	0.0	0.0	0.031999	0.0	0.0	0.0	vvdecapp	void simdFilter16xX_N8<(X86_VEXT)4, (bool)1>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd8460
CABACReader::coding_tree	0.030014	0.030014	0.0	0.010005	0.0	0.020009	0.0	0.0	0.0	vvdecapp	CABACReader::coding_tree(CodingStructure&, Partitioner&, CUCtx&)	[Unknown]	0xc92b0
paddingSimd2<(X86_VEXT)4>	0.029996	0.029996	0.0	0.010000	0.0	0.019996	0.0	0.0	0.0	vvdecapp	void paddingSimd2<(X86_VEXT)4>(short*, long, int, int)	[Unknown]	0xd7540
LoopFilter::xGetBoundaryStrengthSingle<(DeblockEdgeDir)0>.constprop.205	0.027988	0.027988	0.0	0.0	0.0	0.027988	0.0	0.0	0.0	vvdecapp	void LoopFilter::xGetBoundaryStrengthSingle<(DeblockEdgeDir)0>(LoopFilterParam&, CodingUnit const&, Position const&, CodingUnit const&, CtuData&, bool) const.constprop.205	[Unknown]	0x127b90
LoopFilter::xEdgeFilterLuma<(DeblockEdgeDir)0>	0.020013	0.020013	0.0	0.008008	0.0	0.012005	0.0	0.0	0.0	vvdecapp	void LoopFilter::xEdgeFilterLuma<(DeblockEdgeDir)0>(CodingStructure&, Position const&, LoopFilterParam const&) const	[Unknown]	0xb8230
DecLibRecon::ctuTask<(bool)0>	0.019997	0.019997	0.0	0.0	0.0	0.019997	0.0	0.0	0.0	vvdecapp	bool DecLibRecon::ctuTask<(bool)0>(int, CtuTaskParam*)	[Unknown]	0x1068f0
