Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
simdFilter7x7Blk<(X86_VEXT)4>	0.301950	0.301950	0.0	0.044008	0.017995	0.239948	0.0	0.0	0.0	vvdecapp	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier const*, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, ComponentID, short const*, short const*, ClpRngTemplate<short> const&, CodingStructure const&, int, int)	[Unknown]	0xea630
__memmove_avx_unaligned_erms	0.281963	0.281963	0.0	0.0	0.015994	0.265969	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
__memset_avx2_erms	0.121991	0.121991	0.0	0.023992	0.017984	0.080014	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18ee60
BiOptFlowCoreSIMD<(X86_VEXT)4>	0.120030	0.120030	0.0	0.010000	0.019996	0.090034	0.0	0.0	0.0	vvdecapp	void BiOptFlowCoreSIMD<(X86_VEXT)4>(short const*, short const*, short const*, short const*, short const*, short const*, int, int, short*, long, int, int, int, ClpRngTemplate<short> const&, int)	[Unknown]	0xee370
simdFilter16xX_N8<(X86_VEXT)4, (bool)0>	0.117996	0.117996	0.0	0.0	0.019986	0.098009	0.0	0.0	0.0	vvdecapp	void simdFilter16xX_N8<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd8e60
RdCost::xGetSAD_16xN_SIMD<(X86_VEXT)4>	0.096036	0.096036	0.0	0.010031	0.0	0.086005	0.0	0.0	0.0	vvdecapp	unsigned long RdCost::xGetSAD_16xN_SIMD<(X86_VEXT)4>(DistParam const&)	[Unknown]	0x3dd00
LoopFilter::xEdgeFilterLuma<(DeblockEdgeDir)1>	0.080025	0.080025	0.0	0.0	0.016003	0.064023	0.0	0.0	0.0	vvdecapp	void LoopFilter::xEdgeFilterLuma<(DeblockEdgeDir)1>(CodingStructure&, Position const&, LoopFilterParam const&) const	[Unknown]	0xb5e80
cpyResi_SSE<(X86_VEXT)4, (int)8>	0.073999	0.073999	0.0	0.010000	0.0	0.063999	0.0	0.0	0.0	vvdecapp	void cpyResi_SSE<(X86_VEXT)4, (int)8>(int const*, short*, long, unsigned int, unsigned int)	[Unknown]	0x3d950
[Outside any known module]	0.070434	0.070434	0.018019	0.052415	0.0	0.0	0.0	0.0	0.0	[Unknown]	[Outside any known module]	[Unknown]	0x0
LoopFilter::xGetBoundaryStrengthSingle<(DeblockEdgeDir)0>.constprop.205	0.057984	0.057984	0.0	0.010000	0.0	0.047984	0.0	0.0	0.0	vvdecapp	void LoopFilter::xGetBoundaryStrengthSingle<(DeblockEdgeDir)0>(LoopFilterParam&, CodingUnit const&, Position const&, CodingUnit const&, CtuData&, bool) const.constprop.205	[Unknown]	0x127b90
addAvg_SSE<(X86_VEXT)4, (int)16>	0.056020	0.056020	0.0	0.0	0.011999	0.044021	0.0	0.0	0.0	vvdecapp	void addAvg_SSE<(X86_VEXT)4, (int)16>(short const*, long, short const*, long, short*, long, int, int, int, int, ClpRngTemplate<short> const&)	[Unknown]	0xd7a60
IntraPrediction::predIntraMip	0.050020	0.050020	0.0	0.010000	0.022016	0.018004	0.0	0.0	0.0	vvdecapp	IntraPrediction::predIntraMip(ComponentID, AreaBuf<short>&, CodingUnit const&)	[Unknown]	0x15cd70
LoopFilter::calcFilterStrengths	0.045974	0.045974	0.0	0.0	0.0	0.045974	0.0	0.0	0.0	vvdecapp	LoopFilter::calcFilterStrengths(CodingUnit const&)	[Unknown]	0xbb710
BinDecoder::decodeBin	0.042044	0.042044	0.0	0.022033	0.0	0.020011	0.0	0.0	0.0	vvdecapp	BinDecoder::decodeBin(unsigned int)	[Unknown]	0xc0b70
InterPrediction::xProcessDMVR	0.040023	0.040023	0.0	0.0	0.007996	0.032027	0.0	0.0	0.0	vvdecapp	InterPrediction::xProcessDMVR(CodingUnit&, UnitBuf<short>&, ClpRngs const&, bool)	[Unknown]	0xa44f0
xUseStrongFiltering.lto_priv.565	0.039997	0.039997	0.0	0.0	0.0	0.039997	0.0	0.0	0.0	vvdecapp	xUseStrongFiltering(short const*, long, int, int, int, bool, bool, int, int, bool).lto_priv.565	[Unknown]	0xb5ca0
simdDeriveClassificationBlk<(X86_VEXT)4>	0.039989	0.039989	0.0	0.0	0.0	0.039989	0.0	0.0	0.0	vvdecapp	void simdDeriveClassificationBlk<(X86_VEXT)4>(AlfClassifier*, AreaBuf<short const> const&, Area const&, int, int, int)	[Unknown]	0xef7d0
simdFilter8xX_N4<(X86_VEXT)4, (bool)0>	0.039986	0.039986	0.0	0.0	0.010000	0.029986	0.0	0.0	0.0	vvdecapp	void simdFilter8xX_N4<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd9d40
LoopFilter::xEdgeFilterLuma<(DeblockEdgeDir)0>	0.036007	0.036007	0.0	0.0	0.0	0.036007	0.0	0.0	0.0	vvdecapp	void LoopFilter::xEdgeFilterLuma<(DeblockEdgeDir)0>(CodingStructure&, Position const&, LoopFilterParam const&) const	[Unknown]	0xb8230
