Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
NoMallocThreadPool::findNextTask	0.040000	0.040000	0.0	0.040000	0.0	0.0	0.0	0.0	0.0	vvdecapp	NoMallocThreadPool::findNextTask(int, NoMallocThreadPool::ChunkedTaskQueue::Iterator)	[Unknown]	0x69fc0
simdFilter5x5Blk<(X86_VEXT)4>	0.030010	0.030010	0.0	0.0	0.020010	0.010000	0.0	0.0	0.0	vvdecapp	void simdFilter5x5Blk<(X86_VEXT)4>(AlfClassifier const*, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, ComponentID, short const*, short const*, ClpRngTemplate<short> const&, CodingStructure const&, int, int)	[Unknown]	0xf11b0
sched_yield	0.026020	0.0	0.0	0.0	0.0	0.0	0.0	0.026020	0.0	libc.so.6	sched_yield	syscall-template.S	0x103ef0
__memmove_avx_unaligned_erms	0.024001	0.024001	0.0	0.0	0.024001	0.0	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
paddPicBorderTopSIMD<(X86_VEXT)4>	0.022005	0.022005	0.0	0.022005	0.0	0.0	0.0	0.0	0.0	vvdecapp	void paddPicBorderTopSIMD<(X86_VEXT)4>(short*, long, int, int, int)	[Unknown]	0x3ea20
[Outside any known module]	0.020000	0.020000	0.010000	0.010000	0.0	0.0	0.0	0.0	0.0	[Unknown]	[Outside any known module]	[Unknown]	0x0
LoopFilter::calcFilterStrengths	0.017995	0.017995	0.0	0.007995	0.010000	0.0	0.0	0.0	0.0	vvdecapp	LoopFilter::calcFilterStrengths(CodingUnit const&)	[Unknown]	0xbb710
simdFilter16xX_N8<(X86_VEXT)4, (bool)0>	0.016003	0.016003	0.0	0.0	0.016003	0.0	0.0	0.0	0.0	vvdecapp	void simdFilter16xX_N8<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd8e60
simdFilter7x7Blk<(X86_VEXT)4>	0.015988	0.015988	0.0	0.007994	0.007994	0.0	0.0	0.0	0.0	vvdecapp	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier const*, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, ComponentID, short const*, short const*, ClpRngTemplate<short> const&, CodingStructure const&, int, int)	[Unknown]	0xea630
__memset_avx2_erms	0.014002	0.014002	0.0	0.0	0.014002	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18ee60
addAvg_SSE<(X86_VEXT)4, (int)8>	0.012000	0.012000	0.0	0.0	0.012000	0.0	0.0	0.0	0.0	vvdecapp	void addAvg_SSE<(X86_VEXT)4, (int)8>(short const*, long, short const*, long, short*, long, int, int, int, int, ClpRngTemplate<short> const&)	[Unknown]	0xe0420
BinDecoder::decodeBin	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	BinDecoder::decodeBin(unsigned int)	[Unknown]	0xc0b70
CABACReader::coding_unit	0.010000	0.010000	0.0	0.0	0.010000	0.0	0.0	0.0	0.0	vvdecapp	CABACReader::coding_unit(CodingUnit&, Partitioner&, CUCtx&)	[Unknown]	0xc6490
CABACReader::residual_coding	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	CABACReader::residual_coding(TransformUnit&, ComponentID, CUCtx&)	[Unknown]	0xc0cd0
DecCu::xDeriveCUMV	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	DecCu::xDeriveCUMV(CodingUnit&, MotionHist&)	[Unknown]	0x344c0
IntraPredAngleCore_SIMD<(X86_VEXT)4, (int)4>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void IntraPredAngleCore_SIMD<(X86_VEXT)4, (int)4>(short*, long, short*, int, int, int, int, short const*, bool, ClpRngTemplate<short> const&)	[Unknown]	0x41100
offsetBlock_SIMD<(X86_VEXT)4>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void offsetBlock_SIMD<(X86_VEXT)4>(int, ClpRngTemplate<short> const&, int, int*, int, short const*, short*, long, long, int, int, bool, bool, bool, bool, bool, bool, bool, bool, std::vector<signed char, std::allocator<signed char>>*, std::vector<signed char, std::allocator<signed char>>*, bool, int*, int*, int, int)	[Unknown]	0x442c0
operator new	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	operator new(unsigned long)	[Unknown]	0x93280
simdFilter8xX_N8<(X86_VEXT)4, (bool)1>	0.008005	0.008005	0.0	0.008005	0.0	0.0	0.0	0.0	0.0	vvdecapp	void simdFilter8xX_N8<(X86_VEXT)4, (bool)1>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xda070
xPelFilterLumaX86<(X86_VEXT)4>	0.008000	0.008000	0.0	0.008000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void xPelFilterLumaX86<(X86_VEXT)4>(short*, long, long, int, bool, int, bool, bool, ClpRngTemplate<short> const&)	[Unknown]	0x401c0
simdDeriveClassificationBlk<(X86_VEXT)4>	0.007994	0.007994	0.0	0.007994	0.0	0.0	0.0	0.0	0.0	vvdecapp	void simdDeriveClassificationBlk<(X86_VEXT)4>(AlfClassifier*, AreaBuf<short const> const&, Area const&, int, int, int)	[Unknown]	0xef7d0
CodingStructure::getCURestricted.constprop.397	0.003997	0.003997	0.0	0.003997	0.0	0.0	0.0	0.0	0.0	vvdecapp	CodingStructure::getCURestricted(Position const&, CodingUnit const&, ChannelType, CodingUnit const*) const.constprop.397	[Unknown]	0x175fa0
LoopFilter::xGetBoundaryStrengthSingle<(DeblockEdgeDir)1>.constprop.204	0.003980	0.003980	0.0	0.0	0.003980	0.0	0.0	0.0	0.0	vvdecapp	void LoopFilter::xGetBoundaryStrengthSingle<(DeblockEdgeDir)1>(LoopFilterParam&, CodingUnit const&, Position const&, CodingUnit const&, CtuData&, bool) const.constprop.204	[Unknown]	0x128810
