Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
simdFilter7x7Blk<(X86_VEXT)4>	0.351995	0.351995	0.0	0.024026	0.0	0.327969	0.0	0.0	0.0	vvdecapp	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier const*, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, ComponentID, short const*, short const*, ClpRngTemplate<short> const&, CodingStructure const&, int, int)	[Unknown]	0xea630
InterPrediction::xProcessDMVR	0.167954	0.167954	0.0	0.0	0.007992	0.159962	0.0	0.0	0.0	vvdecapp	InterPrediction::xProcessDMVR(CodingUnit&, UnitBuf<short>&, ClpRngs const&, bool)	[Unknown]	0xa44f0
__memmove_avx_unaligned_erms	0.138010	0.138010	0.0	0.0	0.023982	0.114028	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
__memset_avx2_erms	0.128222	0.128222	0.0	0.0	0.007992	0.120229	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18ee60
simdFilter16xX_N8<(X86_VEXT)4, (bool)0>	0.109971	0.109971	0.0	0.0	0.0	0.109971	0.0	0.0	0.0	vvdecapp	void simdFilter16xX_N8<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd8e60
simdFilter8xX_N4<(X86_VEXT)4, (bool)0>	0.074020	0.074020	0.0	0.0	0.010000	0.064020	0.0	0.0	0.0	vvdecapp	void simdFilter8xX_N4<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd9d40
CABACReader::residual_coding	0.074002	0.074002	0.0	0.0	0.010000	0.064002	0.0	0.0	0.0	vvdecapp	CABACReader::residual_coding(TransformUnit&, ComponentID, CUCtx&)	[Unknown]	0xc0cd0
[Outside any known module]	0.072417	0.072417	0.012482	0.059935	0.0	0.0	0.0	0.0	0.0	[Unknown]	[Outside any known module]	[Unknown]	0x0
LoopFilter::calcFilterStrengths	0.066041	0.066041	0.0	0.0	0.0	0.066041	0.0	0.0	0.0	vvdecapp	LoopFilter::calcFilterStrengths(CodingUnit const&)	[Unknown]	0xbb710
gradFilter_SSE<(X86_VEXT)4, (bool)1>	0.066010	0.066010	0.0	0.0	0.0	0.066010	0.0	0.0	0.0	vvdecapp	void gradFilter_SSE<(X86_VEXT)4, (bool)1>(short*, long, int, int, long, short*, short*, int)	[Unknown]	0xf0ca0
