Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
simdFilter7x7Blk<(X86_VEXT)4>	0.297965	0.297965	0.0	0.033957	0.0	0.264008	0.0	0.0	0.0	vvdecapp	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier const*, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, ComponentID, short const*, short const*, ClpRngTemplate<short> const&, CodingStructure const&, int, int)	[Unknown]	0xea630
__memmove_avx_unaligned_erms	0.166000	0.166000	0.0	0.0	0.0	0.166000	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
BiOptFlowCoreSIMD<(X86_VEXT)4>	0.140009	0.140009	0.0	0.0	0.0	0.140009	0.0	0.0	0.0	vvdecapp	void BiOptFlowCoreSIMD<(X86_VEXT)4>(short const*, short const*, short const*, short const*, short const*, short const*, int, int, short*, long, int, int, int, ClpRngTemplate<short> const&, int)	[Unknown]	0xee370
simdFilter16xX_N8<(X86_VEXT)4, (bool)0>	0.111955	0.111955	0.0	0.0	0.0	0.111955	0.0	0.0	0.0	vvdecapp	void simdFilter16xX_N8<(X86_VEXT)4, (bool)0>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xd8e60
LoopFilter::calcFilterStrengths	0.107982	0.107982	0.0	0.0	0.008001	0.099980	0.0	0.0	0.0	vvdecapp	LoopFilter::calcFilterStrengths(CodingUnit const&)	[Unknown]	0xbb710
__memset_avx2_erms	0.106273	0.106273	0.0	0.0	0.0	0.106273	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18ee60
simdDeriveClassificationBlk<(X86_VEXT)4>	0.094012	0.094012	0.0	0.0	0.0	0.094012	0.0	0.0	0.0	vvdecapp	void simdDeriveClassificationBlk<(X86_VEXT)4>(AlfClassifier*, AreaBuf<short const> const&, Area const&, int, int, int)	[Unknown]	0xef7d0
InterPrediction::xProcessDMVR	0.088001	0.088001	0.0	0.0	0.0	0.088001	0.0	0.0	0.0	vvdecapp	InterPrediction::xProcessDMVR(CodingUnit&, UnitBuf<short>&, ClpRngs const&, bool)	[Unknown]	0xa44f0
BinDecoder::decodeBin	0.084002	0.084002	0.0	0.034011	0.021993	0.027999	0.0	0.0	0.0	vvdecapp	BinDecoder::decodeBin(unsigned int)	[Unknown]	0xc0b70
addAvg_SSE<(X86_VEXT)4, (int)8>	0.075984	0.075984	0.0	0.0	0.0	0.075984	0.0	0.0	0.0	vvdecapp	void addAvg_SSE<(X86_VEXT)4, (int)8>(short const*, long, short const*, long, short*, long, int, int, int, int, ClpRngTemplate<short> const&)	[Unknown]	0xe0420
LoopFilter::loopFilterCTU.constprop.201	0.073979	0.073979	0.0	0.010000	0.0	0.063979	0.0	0.0	0.0	vvdecapp	LoopFilter::loopFilterCTU(CodingStructure&, ChannelType, int, int, int, DeblockEdgeDir) const.constprop.201	[Unknown]	0x121270
CABACReader::residual_coding	0.069994	0.069994	0.0	0.010002	0.011981	0.048011	0.0	0.0	0.0	vvdecapp	CABACReader::residual_coding(TransformUnit&, ComponentID, CUCtx&)	[Unknown]	0xc0cd0
RdCost::xGetSAD_16xN_SIMD<(X86_VEXT)4>	0.067994	0.067994	0.0	0.0	0.0	0.067994	0.0	0.0	0.0	vvdecapp	unsigned long RdCost::xGetSAD_16xN_SIMD<(X86_VEXT)4>(DistParam const&)	[Unknown]	0x3dd00
InterPrediction::xPredAffineBlk	0.050011	0.050011	0.0	0.0	0.0	0.050011	0.0	0.0	0.0	vvdecapp	InterPrediction::xPredAffineBlk(ComponentID const&, CodingUnit const&, Picture const*, RefPicList, UnitBuf<short>&, bool, ClpRngTemplate<short> const&, std::pair<int, int>)	[Unknown]	0xa7620
LoopFilter::xEdgeFilterLuma<(DeblockEdgeDir)0>	0.049995	0.049995	0.0	0.0	0.0	0.049995	0.0	0.0	0.0	vvdecapp	void LoopFilter::xEdgeFilterLuma<(DeblockEdgeDir)0>(CodingStructure&, Position const&, LoopFilterParam const&) const	[Unknown]	0xb8230
