Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
NoMallocThreadPool::findNextTask	0.032001	0.032001	0.0	0.0	0.032001	0.0	0.0	0.0	0.0	vvdecapp	NoMallocThreadPool::findNextTask(int, NoMallocThreadPool::ChunkedTaskQueue::Iterator)	[Unknown]	0x69fc0
sched_yield	0.032000	0.0	0.0	0.0	0.0	0.0	0.0	0.032000	0.0	libc.so.6	sched_yield	syscall-template.S	0x103ef0
__memset_avx2_erms	0.020009	0.020009	0.0	0.012009	0.0	0.008000	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18ee60
[Outside any known module]	0.012026	0.012026	0.012026	0.0	0.0	0.0	0.0	0.0	0.0	[Unknown]	[Outside any known module]	[Unknown]	0x0
__memmove_avx_unaligned_erms	0.011998	0.011998	0.0	0.011998	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
BinDecoder::decodeBin	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	BinDecoder::decodeBin(unsigned int)	[Unknown]	0xc0b70
DecCu::xDeriveCUMV	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	DecCu::xDeriveCUMV(CodingUnit&, MotionHist&)	[Unknown]	0x344c0
IntraPredSampleFilter_SIMD<(X86_VEXT)4, (int)8>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void IntraPredSampleFilter_SIMD<(X86_VEXT)4, (int)8>(short*, long, AreaBuf<short>&, unsigned int, ClpRngTemplate<short> const&)	[Unknown]	0x49e60
LoopFilter::xGetBoundaryStrengthSingle<(DeblockEdgeDir)0>.constprop.205	0.010000	0.010000	0.0	0.0	0.010000	0.0	0.0	0.0	0.0	vvdecapp	void LoopFilter::xGetBoundaryStrengthSingle<(DeblockEdgeDir)0>(LoopFilterParam&, CodingUnit const&, Position const&, CodingUnit const&, CtuData&, bool) const.constprop.205	[Unknown]	0x127b90
PaddBIO_SIMD<(X86_VEXT)4>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void PaddBIO_SIMD<(X86_VEXT)4>(short const*, short*, unsigned int, int)	[Unknown]	0xee2c0
__posix_memalign	0.010000	0.010000	0.0	0.0	0.010000	0.0	0.0	0.0	0.0	libc.so.6	__posix_memalign	malloc.c	0x9aeb0
offsetBlock_SIMD<(X86_VEXT)4>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void offsetBlock_SIMD<(X86_VEXT)4>(int, ClpRngTemplate<short> const&, int, int*, int, short const*, short*, long, long, int, int, bool, bool, bool, bool, bool, bool, bool, bool, std::vector<signed char, std::allocator<signed char>>*, std::vector<signed char, std::allocator<signed char>>*, bool, int*, int*, int, int)	[Unknown]	0x442c0
simdDeriveClassificationBlk<(X86_VEXT)4>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void simdDeriveClassificationBlk<(X86_VEXT)4>(AlfClassifier*, AreaBuf<short const> const&, Area const&, int, int, int)	[Unknown]	0xef7d0
simdFilter7x7Blk<(X86_VEXT)4>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier const*, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, ComponentID, short const*, short const*, ClpRngTemplate<short> const&, CodingStructure const&, int, int)	[Unknown]	0xea630
simdFilter8xX_N8<(X86_VEXT)4, (bool)1>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void simdFilter8xX_N8<(X86_VEXT)4, (bool)1>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, short const*, short const*)	[Unknown]	0xda070
simdFilterCopy<(X86_VEXT)4, (bool)1, (bool)1>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void simdFilterCopy<(X86_VEXT)4, (bool)1, (bool)1>(ClpRngTemplate<short> const&, short const*, long, short*, long, int, int, bool)	[Unknown]	0xdd720
simdInterpolateVerM8_AVX2<(X86_VEXT)4, (int)8, (bool)1>.lto_priv.772	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void simdInterpolateVerM8_AVX2<(X86_VEXT)4, (int)8, (bool)1>(short const*, long, short*, long, int, int, int, int, ClpRngTemplate<short> const&, short const*).lto_priv.772	[Unknown]	0x43ff0
xGetDistScaleFactor.isra.112.lto_priv.633	0.010000	0.010000	0.0	0.0	0.010000	0.0	0.0	0.0	0.0	vvdecapp	xGetDistScaleFactor(int const&, int const&, int const&, int const&).isra.112.lto_priv.633	[Unknown]	0xf7d20
deriveScaledMotionTemporal	0.008002	0.008002	0.0	0.008002	0.0	0.0	0.0	0.0	0.0	vvdecapp	deriveScaledMotionTemporal(Slice const&, MotionInfo const&, Picture const*, RefPicList, Mv&, RefPicList)	[Unknown]	0xfae90
addAvg_SSE<(X86_VEXT)4, (int)8>	0.007999	0.007999	0.0	0.0	0.007999	0.0	0.0	0.0	0.0	vvdecapp	void addAvg_SSE<(X86_VEXT)4, (int)8>(short const*, long, short const*, long, short*, long, int, int, int, int, ClpRngTemplate<short> const&)	[Unknown]	0xe0420
PU::getColocatedMVP	0.007991	0.007991	0.0	0.0	0.0	0.007991	0.0	0.0	0.0	vvdecapp	PU::getColocatedMVP(CodingUnit const&, RefPicList const&, Position const&, Mv&, int const&)	[Unknown]	0x141000
__malloc_trim	0.007974	0.007974	0.0	0.007974	0.0	0.0	0.0	0.0	0.0	libc.so.6	__malloc_trim	malloc.c	0x9a5b0
