Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
vvenc::PelStorage::create	397322048.000000	542247680.000000	144925632.000000	231	vvencFFapp
vvenc::EncAdaptiveLoopFilter::init	105180719.000000	210361438.000000	105180719.000000	1044	vvencFFapp
vvenc::CodingStructure::createInternals	62905152.000000	63602304.000000	697152.000000	716	vvencFFapp
vvenc::BestEncInfoCache::init	48940416.000000	48940416.000000		1	vvencFFapp
vvenc::CodingStructure::createCoeffs	15022464.000000	30044928.000000	15022464.000000	1296	vvencFFapp
vvenc::detail::aligned_malloc<short>	13586576.000000	27173152.000000	13586576.000000	1960	vvencFFapp
vvenc::BestEncInfoCache::create	11572368.000000	23144736.000000	11572368.000000	44468	vvencFFapp
EncApp::encode	6220800.000000	6220800.000000		3	vvencFFapp
vvenc::CodingStructure::allocateVectorsAtPicLevel	6220800.000000	6220800.000000		4	vvencFFapp
vvenc::CodingStructure::createTempBuffers	5006592.000000	10013184.000000	5006592.000000	1616	vvencFFapp
vvenc::QuantRDOQ::xInitScalingList	4643712.000000	9287424.000000	4643712.000000	3312	vvencFFapp
vvenc::Quant::xInitScalingList	4640256.000000	9280512.000000	4640256.000000	6192	vvencFFapp
vvenc::EncSlice::init	4252029.000000	8504058.000000	4252029.000000	830	vvencFFapp
vvenc::InterPredInterpolation::init	2423168.000000	4846336.000000	2423168.000000	122	vvencFFapp
vvenc::QuantRDOQ2::xInitScalingList	2320128.000000	4640256.000000	2320128.000000	3096	vvencFFapp
vvenc::EncLib::xInitPicture	2286900.000000	2286900.000000		160	vvencFFapp
vvenc::CodingStructure::addCU	2236072.000000	2236072.000000		5947	vvencFFapp
vvenc::EncGOP::init	1916846.000000	3833692.000000	1916846.000000	4	vvencFFapp
vvenc::detail::aligned_malloc<vvenc::LoopFilterParam>	1555200.000000	3110400.000000	1555200.000000	4	vvencFFapp
vvenc::CacheBlkInfoCtrl::create	1530900.000000	3061800.000000	1530900.000000	36450	vvencFFapp
vvenc::EncLib::initPass	1335776.000000	2671136.000000	1335360.000000	13	vvencFFapp
vvenc::DQIntern::TUParameters::TUParameters	1154560.000000	2309120.000000	1154560.000000	184	vvencFFapp
vvenc::CodingStructure::addTU	1065152.000000	1065152.000000		6052	vvencFFapp
vvenc::DepQuant::DepQuant	564136.000000	1128272.000000	564136.000000	2	vvencFFapp
vvenc::AdaptiveLoopFilter::create	564030.000000	1128060.000000	564030.000000	1078	vvencFFapp
vvenc::InterSearch::predInterSearch	470496.000000	470496.000000		4901	vvencFFapp
vvenc::ScanOrderRom::initGeoTemplate	301568.000000	301568.000000		13	vvencFFapp
vvenc::TrQuant::init	260248.000000	520496.000000	260248.000000	2	vvencFFapp
vvenc::EncPicture::encodePicture	259200.000000	518400.000000	259200.000000	2	vvencFFapp
vvenc::ScanOrderRom::initScanOrderRom	257984.000000	257984.000000		92	vvencFFapp
vvenc::EncCu::init	206976.000000	413952.000000	206976.000000	802	vvencFFapp
vvenc::InterSearch::init	196608.000000	393216.000000	196608.000000	8	vvencFFapp
vvenc::TrQuant::TrQuant	196608.000000	393216.000000	196608.000000	6	vvencFFapp
vvenc::DQIntern::Rom::xInitScanArrays	189160.000000	378320.000000	189160.000000	362	vvencFFapp
vvenc::EncoderIf::initEncoderLib	165472.000000	165472.000000		1	vvencFFapp
vvenc::IntraSearch::init	96552.000000	193104.000000	96552.000000	186	vvencFFapp
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
vvenc::OutputBitstream::write	65536.000000	393824.000000	328288.000000	43	vvencFFapp
vvenc::CodingStructure::clearTUs	49416.000000	51976.000000	2560.000000	10	vvencFFapp
vvenc::CodingStructure::clearCUs	47576.000000	52528.000000	4952.000000	14	vvencFFapp
vvenc::EncLib::xInitRPL	43472.000000	86944.000000	43472.000000	4	vvencFFapp
main	42880.000000	47528.000000	4648.000000	7	vvencFFapp
vvenc::EncLib::xGetNewPicBuffer	37280.000000	37280.000000		20	vvencFFapp
vvenc::IntraPrediction::init	33282.000000	66564.000000	33282.000000	2	vvencFFapp
vvenc::Picture::finalInit	25440.000000	25440.000000		20	vvencFFapp
vvenc::CodingStructure::create	23040.000000	23040.000000		20	vvencFFapp
vvenc::EncCu::xCheckBestMode	17712.000000	17712.000000		8	vvencFFapp
vvenc::EncCu::xCompressCU	17712.000000	17712.000000		8	vvencFFapp
vvenc::YuvIO::open	17488.000000	17488.000000		4	vvencFFapp
vvenc::EncGOP::xInitLMCS	16580.000000	16580.000000		10	vvencFFapp
