Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
vvenc::AlfCovariance::gnsCholeskyDec	10.004039	10.004039	0.0	10.004039	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::AlfCovariance::gnsCholeskyDec(double (*)[13], double (*)[13], int) const	[Unknown]	0x2e16a0
vvenc::DQIntern::DepQuant::xDecide	7.591926	7.591926	0.0	7.591926	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::DQIntern::DepQuant::xDecide(vvenc::DQIntern::ScanPosType, int, int, vvenc::DQIntern::Decision*, bool, int)	[Unknown]	0x2b0440
vvenc::DQIntern::DepQuant::xDecideAndUpdate	6.800035	6.800035	0.0	6.800035	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::DQIntern::DepQuant::xDecideAndUpdate(int, vvenc::DQIntern::ScanInfo const&, bool, int)	[Unknown]	0x2b1320
vvenc::RdCost::xGetHADs_SIMD<(vvenc::X86_VEXT)4>	4.991977	4.991977	0.0	4.991977	0.0	0.0	0.0	0.0	0.0	vvencFFapp	unsigned long vvenc::RdCost::xGetHADs_SIMD<(vvenc::X86_VEXT)4>(vvenc::DistParam const&)	[Unknown]	0xd23a0
vvenc::AlfCovariance::gnsBacksubstitution	4.531964	4.531964	0.0	4.531964	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::AlfCovariance::gnsBacksubstitution(double (*)[13], double*, int, double*) const	[Unknown]	0x2e1920
vvenc::BitEstimator::encodeBin	3.884052	3.884052	0.0	3.884052	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::BitEstimator::encodeBin(unsigned int, unsigned int)	[Unknown]	0x2c9300
vvenc::DQIntern::State::updateState<(unsigned char)5>	3.800087	3.800087	0.0	3.800087	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::DQIntern::State::updateState<(unsigned char)5>(vvenc::DQIntern::ScanInfo const&, vvenc::DQIntern::State const*, vvenc::DQIntern::Decision const&)	[Unknown]	0x2b9e90
vvenc::CABACWriter::residual_coding_subblock	3.463971	3.463971	0.0	3.463971	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::CABACWriter::residual_coding_subblock(vvenc::CoeffCodingContext&, int const*, int, int&)	[Unknown]	0x2d3b60
vvenc::DQIntern::State::updateState<(unsigned char)4>	3.183973	3.183973	0.0	3.183973	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::DQIntern::State::updateState<(unsigned char)4>(vvenc::DQIntern::ScanInfo const&, vvenc::DQIntern::State const*, vvenc::DQIntern::Decision const&)	[Unknown]	0x2b9bc0
__memmove_avx_unaligned_erms	3.131911	3.131911	0.0	3.131911	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
vvenc::DQIntern::DepQuant::quant	2.715982	2.715982	0.0	2.715982	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::DQIntern::DepQuant::quant(vvenc::TransformUnit&, vvenc::AreaBuf<int const> const&, vvenc::ComponentID, vvenc::QpParam const&, double, vvenc::Ctx const&, int&, bool, int*)	[Unknown]	0x2b4070
vvenc::InterPredInterpolation::xPredAffineBlk	2.584043	2.584043	0.0	2.584043	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::InterPredInterpolation::xPredAffineBlk(vvenc::ComponentID, vvenc::CodingUnit const&, vvenc::Picture const*, vvenc::Mv const*, vvenc::UnitBuf<short>&, bool, vvenc::ClpRng const&, vvenc::RefPicList)	[Unknown]	0x1ed790
vvenc::simdEqualCoeffComputer<(vvenc::X86_VEXT)4>	2.491926	2.491926	0.0	2.491926	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::simdEqualCoeffComputer<(vvenc::X86_VEXT)4>(short*, int, int**, int, long (*)[7], int, int, bool)	[Unknown]	0xad5a0
vvenc::simdFilter4x4_N6<(vvenc::X86_VEXT)4, (bool)1>	2.207882	2.207882	0.0	2.207882	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::simdFilter4x4_N6<(vvenc::X86_VEXT)4, (bool)1>(vvenc::ClpRng const&, short const*, int, short*, int, int, int, short const*, short const*)	[Unknown]	0xb9370
vvenc::AlfCovariance::gnsTransposeBacksubstitution	2.180011	2.180011	0.0	2.180011	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::AlfCovariance::gnsTransposeBacksubstitution(double (*)[13], double*, double*, int) const	[Unknown]	0x2e1890
vvenc::EncAdaptiveLoopFilter::getPreBlkStats	2.155911	2.155911	0.0	2.155911	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::EncAdaptiveLoopFilter::getPreBlkStats(vvenc::AlfCovariance*, vvenc::AlfFilterShape const&, vvenc::AlfClassifier*, short*, int, short*, int, vvenc::CompArea const&, vvenc::CompArea const&, vvenc::ChannelType, int, int)	[Unknown]	0x2e8c50
vvenc::DQIntern::State::updateState<(unsigned char)2>	1.967985	1.967985	0.0	1.967985	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::DQIntern::State::updateState<(unsigned char)2>(vvenc::DQIntern::ScanInfo const&, vvenc::DQIntern::State const*, vvenc::DQIntern::Decision const&)	[Unknown]	0x2b96e0
vvenc::RdCost::xGetSADwMask_SIMD<(vvenc::X86_VEXT)4>	1.788043	1.788043	0.0	1.788043	0.0	0.0	0.0	0.0	0.0	vvencFFapp	unsigned long vvenc::RdCost::xGetSADwMask_SIMD<(vvenc::X86_VEXT)4>(vvenc::DistParam const&)	[Unknown]	0xd0a80
vvenc::fastFwd_SSE<(vvenc::X86_VEXT)4, (int)8>	1.783994	1.783994	0.0	1.783994	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::fastFwd_SSE<(vvenc::X86_VEXT)4, (int)8>(short const*, int const*, int*, unsigned int, unsigned int, unsigned int, unsigned int, int)	[Unknown]	0xd81d0
vvenc::InterPredInterpolation::xPredInterBlk	1.652054	1.652054	0.0	1.652054	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::InterPredInterpolation::xPredInterBlk(vvenc::ComponentID, vvenc::CodingUnit const&, vvenc::Picture const*, vvenc::Mv const&, vvenc::UnitBuf<short>&, bool, vvenc::ClpRng const&, bool, bool, vvenc::RefPicList, unsigned int, unsigned int, bool, short const*, int)	[Unknown]	0x1ec480
vvenc::BiOptFlowCoreSIMD<(vvenc::X86_VEXT)4>	1.280047	1.280047	0.0	1.280047	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::BiOptFlowCoreSIMD<(vvenc::X86_VEXT)4>(short const*, short const*, short const*, short const*, short const*, short const*, int, int, short*, long, int, int, int, vvenc::ClpRng const&, int)	[Unknown]	0xb3460
