Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
CDTrace::dtrace<(bool)0>	0.075998	0.075998	0.0	0.075998	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	void CDTrace::dtrace<(bool)0>(int, char const*, ellipsis)	[Unknown]	0xc0ad0
__memset_avx2_erms	0.048001	0.048001	0.0	0.048001	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18f190
TBinDecoder<BinProbModel_Std>::decodeBin	0.039988	0.039988	0.0	0.039988	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	TBinDecoder<BinProbModel_Std>::decodeBin(unsigned int)	[Unknown]	0x20b400
_GLOBAL__sub_I_Rom.cpp	0.020017	0.020017	0.0	0.020017	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	_GLOBAL__sub_I_Rom.cpp	[Unknown]	0xccd0
DecCu::decompressCtu	0.020008	0.020008	0.0	0.020008	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	DecCu::decompressCtu(CodingStructure&, UnitArea const&)	[Unknown]	0x220e20
simdFilter7x7Blk<(X86_VEXT)4>	0.020000	0.020000	0.0	0.020000	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier**, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, Area const&, ComponentID, short const*, short const*, ClpRng const&, CodingStructure&, int, int)	[Unknown]	0x17a500
CABACReader::residual_coding_subblock	0.019998	0.019998	0.0	0.019998	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	CABACReader::residual_coding_subblock(CoeffCodingContext&, int*, int, int&)	[Unknown]	0x211f70
DecLib::DecLib	0.019996	0.019996	0.0	0.019996	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	DecLib::DecLib(void)	[Unknown]	0x1bd380
std::istream::get	0.019991	0.019991	0.0	0.019991	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	std::istream::get(void)	[Unknown]	0xfbaa0
LoopFilter::loopFilterPic	0.015992	0.015992	0.0	0.015992	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	LoopFilter::loopFilterPic(CodingStructure&)	[Unknown]	0x25db50
TrQuant::invTransformNxN	0.012019	0.012019	0.0	0.012019	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	TrQuant::invTransformNxN(TransformUnit&, ComponentID const&, AreaBuf<short>&, QpParam const&)	[Unknown]	0x82880
SampleAdaptiveOffset::offsetBlock	0.012011	0.012011	0.0	0.012011	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	SampleAdaptiveOffset::offsetBlock(int, ClpRng const&, int, int*, short const*, short*, int, int, int, int, bool, bool, bool, bool, bool, bool, bool, bool, bool, int*, int*, int, int)	[Unknown]	0x57b30
IntraPrediction::xFillReferenceSamples	0.012000	0.012000	0.0	0.012000	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	IntraPrediction::xFillReferenceSamples(AreaBuf<short const> const&, short*, CompArea const&, CodingUnit const&)	[Unknown]	0x24b230
LoopFilter::xEdgeFilterChroma	0.012000	0.012000	0.0	0.012000	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	LoopFilter::xEdgeFilterChroma(CodingUnit const&, DeblockEdgeDir, int)	[Unknown]	0x256900
LoopFilter::xEdgeFilterLuma	0.011994	0.011994	0.0	0.011994	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	LoopFilter::xEdgeFilterLuma(CodingUnit const&, DeblockEdgeDir, int)	[Unknown]	0x258200
[Outside any known module]	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	[Unknown]	[Outside any known module]	[Unknown]	0x0
check_coeff_conformance	0.008006	0.008006	0.0	0.008006	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	check_coeff_conformance(CoeffCodingContext const&, int)	[Unknown]	0x211e20
SampleAdaptiveOffset::SAOProcess	0.007998	0.007998	0.0	0.007998	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	SampleAdaptiveOffset::SAOProcess(CodingStructure&, SAOBlkParam*)	[Unknown]	0x5d470
MatrixIntraPrediction::predictionUpsampling1D	0.007997	0.007997	0.0	0.007997	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	MatrixIntraPrediction::predictionUpsampling1D(int*, int const*, int const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)	[Unknown]	0x260670
__memset_avx2_unaligned_erms	0.007994	0.007994	0.0	0.007994	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_unaligned_erms	memset-vec-unaligned-erms.S	0x18f1c0
CDTrace::update	0.007993	0.007993	0.0	0.007993	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	CDTrace::update(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, int>)	[Unknown]	0xc0750
