Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
CDTrace::dtrace<(bool)0>	0.087977	0.087977	0.0	0.087977	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	void CDTrace::dtrace<(bool)0>(int, char const*, ellipsis)	[Unknown]	0xc0ad0
__memmove_avx_unaligned_erms	0.056026	0.056026	0.0	0.056026	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ed40
DecLib::DecLib	0.039979	0.039979	0.0	0.039979	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	DecLib::DecLib(void)	[Unknown]	0x1bd380
LoopFilter::loopFilterPic	0.031999	0.031999	0.0	0.031999	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	LoopFilter::loopFilterPic(CodingStructure&)	[Unknown]	0x25db50
__memset_avx2_erms	0.031997	0.031997	0.0	0.031997	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18f190
simdFilter7x7Blk<(X86_VEXT)4>	0.031994	0.031994	0.0	0.031994	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier**, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, Area const&, ComponentID, short const*, short const*, ClpRng const&, CodingStructure&, int, int)	[Unknown]	0x17a500
CodingStructure::getTU	0.023992	0.023992	0.0	0.023992	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	CodingStructure::getTU(Position const&, ChannelType, int)	[Unknown]	0xcaf30
__memset_avx2_unaligned_erms	0.020005	0.020005	0.0	0.020005	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_unaligned_erms	memset-vec-unaligned-erms.S	0x18f1c0
LoopFilter::xEdgeFilterLuma	0.019998	0.019998	0.0	0.019998	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	LoopFilter::xEdgeFilterLuma(CodingUnit const&, DeblockEdgeDir, int)	[Unknown]	0x258200
dtrace_frame_blockwise<short const>	0.019997	0.019997	0.0	0.019997	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	void dtrace_frame_blockwise<short const>(CDTrace*, DTRACE_CHANNEL, short const*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)	[Unknown]	0x25f370
CodingStructure::createInternals	0.016006	0.016006	0.0	0.016006	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	CodingStructure::createInternals(UnitArea const&, bool, bool)	[Unknown]	0xcc8b0
CABACReader::residual_coding_subblock	0.016004	0.016004	0.0	0.016004	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	CABACReader::residual_coding_subblock(CoeffCodingContext&, int*, int, int&)	[Unknown]	0x211f70
IntraPrediction::xGetLumaRecPixels	0.012012	0.012012	0.0	0.012012	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	IntraPrediction::xGetLumaRecPixels(PredictionUnit const&, CompArea)	[Unknown]	0x250b10
UnitArea::contains	0.012003	0.012003	0.0	0.012003	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	UnitArea::contains(UnitArea const&) const	[Unknown]	0xa7ef0
PelStorage::getBuf	0.012002	0.012002	0.0	0.012002	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	PelStorage::getBuf(CompArea const&)	[Unknown]	0x39070
fastInverseDCT2_B64	0.012002	0.012002	0.0	0.012002	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	fastInverseDCT2_B64(int const*, int*, int, int, int, int, int, int)	[Unknown]	0x947b0
fastInverseDST7_B32	0.012002	0.012002	0.0	0.012002	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	fastInverseDST7_B32(int const*, int*, int, int, int, int, int, int)	[Unknown]	0x9bb30
PU::setAllAffineMv	0.012001	0.012001	0.0	0.012001	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	PU::setAllAffineMv(PredictionUnit&, Mv, Mv, Mv, RefPicList, bool)	[Unknown]	0xacb70
LoopFilter::xDeblockCU	0.011999	0.011999	0.0	0.011999	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	LoopFilter::xDeblockCU(CodingUnit&, DeblockEdgeDir)	[Unknown]	0x25c800
DecCu::xReconInter	0.011999	0.011999	0.0	0.011999	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	DecCu::xReconInter(CodingUnit&)	[Unknown]	0x21f520
AreaBuf<short>::copyFrom	0.011998	0.011998	0.0	0.011998	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	AreaBuf<short>::copyFrom(AreaBuf<short const> const&)	[Unknown]	0x53380
TBinDecoder<BinProbModel_Std>::decodeBin	0.011998	0.011998	0.0	0.011998	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	TBinDecoder<BinProbModel_Std>::decodeBin(unsigned int)	[Unknown]	0x20b400
SampleAdaptiveOffset::SAOProcess	0.011996	0.011996	0.0	0.011996	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	SampleAdaptiveOffset::SAOProcess(CodingStructure&, SAOBlkParam*)	[Unknown]	0x5d470
SampleAdaptiveOffset::offsetBlock	0.011995	0.011995	0.0	0.011995	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	SampleAdaptiveOffset::offsetBlock(int, ClpRng const&, int, int*, short const*, short*, int, int, int, int, bool, bool, bool, bool, bool, bool, bool, bool, bool, int*, int*, int, int)	[Unknown]	0x57b30
_GLOBAL__sub_I_Rom.cpp	0.010036	0.010036	0.0	0.010036	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	_GLOBAL__sub_I_Rom.cpp	[Unknown]	0xccd0
CS::setRefinedMotionField	0.008004	0.008004	0.0	0.008004	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	CS::setRefinedMotionField(CodingStructure&)	[Unknown]	0xb2d00
