Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
main	4096.000000	4096.000000		1	TAppEncoderStatic
__libc_csu_init	1040.000000	1040.000000		1	TAppEncoderStatic
__static_initialization_and_destruction_0.constprop.69	1040.000000	1250.000000	210.000000	5	TAppEncoderStatic
EnvVar::EnvVar	690.000000	690.000000		10	TAppEncoderStatic
__register_frame	480.000000	480.000000		10	libgcc_s.so.1
_GLOBAL__sub_I__ZN3SEI19prefix_sei_messagesE	212.000000	212.000000		2	TAppEncoderStatic
indentNewLines	210.000000	636.000000	426.000000	10	TAppEncoderStatic
TAppEncCfg::parseCfg	0.0	51884.000000	51884.000000	450	TAppEncoderStatic
TAppEncCfg::xCheckParameter	0.0	95.000000	95.000000	1	TAppEncoderStatic
TAppEncTop::encode	0.0	8864.000000	8864.000000	3	TAppEncoderStatic
TAppEncTop::xGetBuffer	0.0	120.000000	120.000000	1	TAppEncoderStatic
TComCUMvField::create	0.0	1302272.000000	1302272.000000	1712	TAppEncoderStatic
TComDataCU::create	0.0	6491520.000000	6491520.000000	5520	TAppEncoderStatic
TComLoopFilter::create	0.0	1024.000000	1024.000000	4	TAppEncoderStatic
TComOutputBitstream::addSubstream	0.0	327360.000000	327360.000000	100	TAppEncoderStatic
TComOutputBitstream::write	0.0	164000.000000	164000.000000	60	TAppEncoderStatic
TComPic::create	0.0	960.000000	960.000000	8	TAppEncoderStatic
TComPic::prepareForEncoderSourcePicYuv	0.0	240.000000	240.000000	2	TAppEncoderStatic
TComPic::prepareForReconstruction	0.0	600.000000	600.000000	5	TAppEncoderStatic
TComPicSym::TComPicSym	0.0	2304.000000	2304.000000	8	TAppEncoderStatic
TComPicSym::allocateNewSlice	0.0	49680.000000	49680.000000	9	TAppEncoderStatic
TComPicSym::create	0.0	248384.000000	248384.000000	24	TAppEncoderStatic
TComPicSym::prepareForReconstruction	0.0	173640.000000	173640.000000	430	TAppEncoderStatic
TComPicSym::xInitTiles	0.0	128.000000	128.000000	4	TAppEncoderStatic
TComPicYuv::create	0.0	47712.000000	47712.000000	84	TAppEncoderStatic
TComPicYuv::createWithoutCUInfo	0.0	14515200.000000	14515200.000000	63	TAppEncoderStatic
TComPrediction::initTempBuff	0.0	201870.000000	201870.000000	7	TAppEncoderStatic
