Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
CodingStructure::addPU	4022720.000000	4022720.000000		4835	DecoderAppStatic
CodingStructure::addCU	2746280.000000	2746280.000000		4835	DecoderAppStatic
CodingStructure::addTU	1070784.000000	1070784.000000		5148	DecoderAppStatic
_byteStreamNALUnit	350880.000000	1034164.000000	683284.000000	152	DecoderAppStatic
storeGeoMergeCtx	167992.000000	177976.000000	9984.000000	540	DecoderAppStatic
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
CodingStructure::clearTUs	41184.000000	41184.000000		1	DecoderAppStatic
CodingStructure::clearCUs	38680.000000	38680.000000		1	DecoderAppStatic
CodingStructure::clearPUs	38680.000000	38680.000000		1	DecoderAppStatic
__static_initialization_and_destruction_0.constprop.173	7576.000000	7722.000000	146.000000	69	DecoderAppStatic
__static_initialization_and_destruction_0.constprop.844	7280.000000	7362.000000	82.000000	67	DecoderAppStatic
__static_initialization_and_destruction_0.constprop.97	7280.000000	7362.000000	82.000000	67	DecoderAppStatic
main	4096.000000	67669728.000000	67665632.000000	2	DecoderAppStatic
ContextSetCfg::addCtxSet	1712.000000	3312.000000	1600.000000	16	DecoderAppStatic
_GLOBAL__sub_I_Contexts.cpp	1136.000000	1136.000000		2	DecoderAppStatic
__libc_csu_init	1040.000000	1040.000000		1	DecoderAppStatic
__register_frame	528.000000	528.000000		11	libgcc_s.so.1
_GLOBAL__sub_I_CommonDefX86.cpp	432.000000	432.000000		6	DecoderAppStatic
AdaptiveLoopFilter::create	0.0	12468330.000000	12468330.000000	12	DecoderAppStatic
CABACReader::cu_residual	0.0	10736.000000	10736.000000	122	DecoderAppStatic
CDTrace::CDTrace	0.0	3216.000000	3216.000000	38	DecoderAppStatic
CDTrace::update	0.0	3314232.000000	3314232.000000	46031	DecoderAppStatic
ChromaQpMappingTable::derivedChromaQPMappingTables	0.0	3040.000000	3040.000000	76	DecoderAppStatic
CodingStructure::createCoeffs	0.0	55987200.000000	55987200.000000	18	DecoderAppStatic
CodingStructure::createInternals	0.0	25660800.000000	25660800.000000	27	DecoderAppStatic
CtxStore<BinProbModel_Std>::CtxStore	0.0	2274.000000	2274.000000	1	DecoderAppStatic
DecApp::decode	0.0	9320.000000	9320.000000	3	DecoderAppStatic
DecAppCfg::parseCfg	0.0	2172.000000	2172.000000	26	DecoderAppStatic
DecCu::initDecCuReshaper	0.0	112.000000	112.000000	1	DecoderAppStatic
DecLib::create	0.0	7720.000000	7720.000000	1	DecoderAppStatic
DecLib::updatePrevIRAPAndGDRSubpic	0.0	1620.000000	1620.000000	3	DecoderAppStatic
DecLib::xActivateParameterSets	0.0	480.000000	480.000000	3	DecoderAppStatic
DecLib::xDecodeAPS	0.0	9112.000000	9112.000000	7	DecoderAppStatic
DecLib::xDecodePPS	0.0	656.000000	656.000000	2	DecoderAppStatic
DecLib::xDecodeSPS	0.0	10175.000000	10175.000000	3	DecoderAppStatic
DecLib::xDecodeSlice	0.0	1620.000000	1620.000000	3	DecoderAppStatic
DecLib::xGetNewPicBuffer	0.0	8424.000000	8424.000000	3	DecoderAppStatic
DecSlice::decompressSlice	0.0	172935.000000	172935.000000	21	DecoderAppStatic
DepQuant::DepQuant	0.0	2274816.000000	2274816.000000	4	DecoderAppStatic
HLSyntaxReader::parseSliceHeader	0.0	4860.000000	4860.000000	9	DecoderAppStatic
InputBitstream::InputBitstream	0.0	64470.000000	64470.000000	3	DecoderAppStatic
InputBitstream::extractSubstream	0.0	64660.000000	64660.000000	6	DecoderAppStatic
InterPrediction::init	0.0	1897856.000000	1897856.000000	49	DecoderAppStatic
IntraPrediction::init	0.0	558596.000000	558596.000000	14	DecoderAppStatic
PPS::checkSliceMap	0.0	3240.000000	3240.000000	6	DecoderAppStatic
PPS::initRectSliceMap	0.0	588.000000	588.000000	2	DecoderAppStatic
