Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
CodingStructure::addPU	1748032.000000	1748032.000000		2101	DecoderAppStatic
CodingStructure::addCU	1193368.000000	1193368.000000		2101	DecoderAppStatic
CodingStructure::addTU	505232.000000	505232.000000		2429	DecoderAppStatic
_byteStreamNALUnit	350880.000000	746964.000000	396084.000000	155	DecoderAppStatic
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
storeGeoMergeCtx	52568.000000	54904.000000	2336.000000	174	DecoderAppStatic
CodingStructure::clearTUs	19432.000000	19432.000000		1	DecoderAppStatic
CodingStructure::clearCUs	16808.000000	16808.000000		1	DecoderAppStatic
CodingStructure::clearPUs	16808.000000	16808.000000		1	DecoderAppStatic
__static_initialization_and_destruction_0.constprop.173	7576.000000	7722.000000	146.000000	69	DecoderAppStatic
__static_initialization_and_destruction_0.constprop.844	7280.000000	7362.000000	82.000000	67	DecoderAppStatic
__static_initialization_and_destruction_0.constprop.97	7280.000000	7362.000000	82.000000	67	DecoderAppStatic
main	4096.000000	67669728.000000	67665632.000000	2	DecoderAppStatic
ContextSetCfg::addCtxSet	1712.000000	3312.000000	1600.000000	16	DecoderAppStatic
_GLOBAL__sub_I_Contexts.cpp	1136.000000	1136.000000		2	DecoderAppStatic
__libc_csu_init	1040.000000	1040.000000		1	DecoderAppStatic
__register_frame	528.000000	528.000000		11	libgcc_s.so.1
_GLOBAL__sub_I_CommonDefX86.cpp	432.000000	432.000000		6	DecoderAppStatic
AdaptiveLoopFilter::create	0.0	1008000.000000	1008000.000000	10	DecoderAppStatic
CABACReader::cu_residual	0.0	17072.000000	17072.000000	194	DecoderAppStatic
CDTrace::CDTrace	0.0	3216.000000	3216.000000	38	DecoderAppStatic
CDTrace::update	0.0	453096.000000	453096.000000	6293	DecoderAppStatic
ChromaQpMappingTable::derivedChromaQPMappingTables	0.0	3040.000000	3040.000000	76	DecoderAppStatic
CodingStructure::createCoeffs	0.0	4492800.000000	4492800.000000	30	DecoderAppStatic
CodingStructure::createInternals	0.0	2059200.000000	2059200.000000	45	DecoderAppStatic
CtxStore<BinProbModel_Std>::CtxStore	0.0	2274.000000	2274.000000	1	DecoderAppStatic
DecApp::decode	0.0	9320.000000	9320.000000	3	DecoderAppStatic
DecAppCfg::parseCfg	0.0	2172.000000	2172.000000	26	DecoderAppStatic
DecCu::initDecCuReshaper	0.0	112.000000	112.000000	1	DecoderAppStatic
DecLib::create	0.0	7720.000000	7720.000000	1	DecoderAppStatic
DecLib::updatePrevIRAPAndGDRSubpic	0.0	160.000000	160.000000	5	DecoderAppStatic
DecLib::xActivateParameterSets	0.0	800.000000	800.000000	5	DecoderAppStatic
DecLib::xDecodeAPS	0.0	12108.000000	12108.000000	8	DecoderAppStatic
DecLib::xDecodePPS	0.0	656.000000	656.000000	2	DecoderAppStatic
DecLib::xDecodeSPS	0.0	10174.000000	10174.000000	3	DecoderAppStatic
DecLib::xDecodeSlice	0.0	160.000000	160.000000	5	DecoderAppStatic
DecLib::xGetNewPicBuffer	0.0	14040.000000	14040.000000	5	DecoderAppStatic
DecSlice::decompressSlice	0.0	16800.000000	16800.000000	5	DecoderAppStatic
DepQuant::DepQuant	0.0	3412224.000000	3412224.000000	6	DecoderAppStatic
HLSyntaxReader::parseSliceHeader	0.0	480.000000	480.000000	15	DecoderAppStatic
InputBitstream::InputBitstream	0.0	10701.000000	10701.000000	5	DecoderAppStatic
InputBitstream::extractSubstream	0.0	11011.000000	11011.000000	10	DecoderAppStatic
InterPrediction::init	0.0	1897856.000000	1897856.000000	49	DecoderAppStatic
IntraPrediction::init	0.0	558596.000000	558596.000000	14	DecoderAppStatic
PPS::checkSliceMap	0.0	320.000000	320.000000	10	DecoderAppStatic
PPS::initRectSliceMap	0.0	80.000000	80.000000	2	DecoderAppStatic
PPS::initRectSlices	0.0	32.000000	32.000000	1	DecoderAppStatic
PPS::initSubPic	0.0	136.000000	136.000000	2	DecoderAppStatic
ParameterSetManager::getVPS	0.0	59832.000000	59832.000000	2	DecoderAppStatic
PartitionerImpl::getCUSubPartitions	0.0	560120.000000	560120.000000	2528	DecoderAppStatic
PartitionerImpl::getSbtTuTiling	0.0	21472.000000	21472.000000	122	DecoderAppStatic
PartitionerImpl::getTUIntraSubPartitions	0.0	50160.000000	50160.000000	194	DecoderAppStatic
PelStorage::create	0.0	32696576.000000	32696576.000000	126	DecoderAppStatic
Picture::Picture	0.0	2880.000000	2880.000000	10	DecoderAppStatic
Picture::allocateNewSlice	0.0	38600.000000	38600.000000	5	DecoderAppStatic
Picture::finalInit	0.0	10200.000000	10200.000000	10	DecoderAppStatic
QTBTPartitioner::initCtu	0.0	4224.000000	4224.000000	48	DecoderAppStatic
Quant::xInitScalingList	0.0	18727200.000000	18727200.000000	1	DecoderAppStatic
QuantRDOQ::xInitScalingList	0.0	18727200.000000	18727200.000000	1	DecoderAppStatic
Reshape::createDec	0.0	4388.000000	4388.000000	8	DecoderAppStatic
SPS::createRPLList0	0.0	16800.000000	16800.000000	1	DecoderAppStatic
SPS::createRPLList1	0.0	16800.000000	16800.000000	1	DecoderAppStatic
SampleAdaptiveOffset::offsetCTU	0.0	258.000000	258.000000	2	DecoderAppStatic
ScalingList::ScalingList	0.0	22016.000000	22016.000000	104	DecoderAppStatic
Slice::checkSubpicTypeConstraints	0.0	160.000000	160.000000	5	DecoderAppStatic
SliceMap::addCtusToSlice	0.0	160.000000	160.000000	5	DecoderAppStatic
TrQuant::init	0.0	1536768.000000	1536768.000000	6	DecoderAppStatic
_Z28getListOfColourSpaceConvertsB5cxx11b	0.0	36.000000	36.000000	1	DecoderAppStatic
detail::aligned_malloc<short>	0.0	1162016.000000	1162016.000000	30	DecoderAppStatic
df::program_options_lite::ArgvParser::parseSHORT	0.0	158.000000	158.000000	2	DecoderAppStatic
df::program_options_lite::OptionSpecific::operator()<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>	0.0	2223.000000	2223.000000	22	DecoderAppStatic
df::program_options_lite::OptionWriter::storePair	0.0	750.000000	750.000000	4	DecoderAppStatic
df::program_options_lite::Options::addOption	0.0	7339.000000	7339.000000	105	DecoderAppStatic
initGeoTemplate	0.0	301568.000000	301568.000000	13	DecoderAppStatic
initROM	0.0	3125160.000000	3125160.000000	381	DecoderAppStatic
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>.isra.45	0.0	1943.000000	1943.000000	23	DecoderAppStatic
std::vector<AlfFilterShape, std::allocator<AlfFilterShape>>::_M_realloc_insert<AlfFilterShape>	0.0	256.000000	256.000000	4	DecoderAppStatic
std::vector<Channel, std::allocator<Channel>>::_M_realloc_insert<Channel>	0.0	5080.000000	5080.000000	7	DecoderAppStatic
std::vector<CodingUnit*, std::allocator<CodingUnit*>>::_M_realloc_insert<CodingUnit* const&>	0.0	98144.000000	98144.000000	43	DecoderAppStatic
std::vector<DecLib::AccessUnitInfo, std::allocator<DecLib::AccessUnitInfo>>::_M_realloc_insert<DecLib::AccessUnitInfo const&>	0.0	144.000000	144.000000	2	DecoderAppStatic
std::vector<DecLib::NalUnitInfo, std::allocator<DecLib::NalUnitInfo>>::_M_realloc_insert<DecLib::NalUnitInfo const&>	0.0	224.000000	224.000000	3	DecoderAppStatic
std::vector<NalUnitType, std::allocator<NalUnitType>>::_M_realloc_insert<NalUnitType const&>	0.0	32.000000	32.000000	1	DecoderAppStatic
std::vector<PredictionUnit*, std::allocator<PredictionUnit*>>::_M_realloc_insert<PredictionUnit* const&>	0.0	98144.000000	98144.000000	43	DecoderAppStatic
std::vector<SubPic, std::allocator<SubPic>>::_M_realloc_insert<SubPic>	0.0	680.000000	680.000000	10	DecoderAppStatic
std::vector<TransformUnit*, std::allocator<TransformUnit*>>::_M_realloc_insert<TransformUnit* const&>	0.0	98144.000000	98144.000000	43	DecoderAppStatic
std::vector<int, std::allocator<int>>::_M_assign_aux<int const*>	0.0	1680.000000	1680.000000	28	DecoderAppStatic
std::vector<int, std::allocator<int>>::_M_realloc_insert<int const&>	0.0	32.000000	32.000000	1	DecoderAppStatic
std::vector<unsigned int, std::allocator<unsigned int>>::emplace_back<unsigned int>	0.0	32.000000	32.000000	1	DecoderAppStatic
tracing_init	0.0	1672.000000	1672.000000	2	DecoderAppStatic
[Unknown]				1	[Unknown]
