Seq Name,Codec Name,Config Name,Bitrate (kbps),CPU Time
RaceHorses_416x240_30_QP_27_hm,hm,encoder_intra_main.cfg,3269.5200,0.040s
RaceHorses_416x240_30_QP_32_hm,hm,encoder_intra_main.cfg,1897.5600,0.040s
Kimono_1920x1080_24_QP_27_hm,hm,encoder_intra_main.cfg,8431.4880,0.270s
Kimono_1920x1080_24_QP_32_hm,hm,encoder_intra_main.cfg,5392.3200,0.250s
BasketballPass_416x240_50_QP_27_hm,hm,encoder_intra_main.cfg,3222.6000,0.040s
BasketballPass_416x240_50_QP_32_hm,hm,encoder_intra_main.cfg,1801.8000,0.030s
RaceHorses_416x240_30_QP_27_hm,hm,encoder_lowdelay_main.cfg,2044.8000,0.040s
RaceHorses_416x240_30_QP_32_hm,hm,encoder_lowdelay_main.cfg,1188.9600,0.030s
Kimono_1920x1080_24_QP_27_hm,hm,encoder_lowdelay_main.cfg,5491.3920,0.230s
Kimono_1920x1080_24_QP_32_hm,hm,encoder_lowdelay_main.cfg,3342.8160,0.200s
BasketballPass_416x240_50_QP_27_hm,hm,encoder_lowdelay_main.cfg,1863.2000,0.030s
BasketballPass_416x240_50_QP_32_hm,hm,encoder_lowdelay_main.cfg,1069.0000,0.020s
RaceHorses_416x240_30_QP_27_hm,hm,encoder_randomaccess_main.cfg,2387.7600,0.040s
RaceHorses_416x240_30_QP_32_hm,hm,encoder_randomaccess_main.cfg,1423.2000,0.030s
Kimono_1920x1080_24_QP_27_hm,hm,encoder_randomaccess_main.cfg,6231.4560,0.230s
Kimono_1920x1080_24_QP_32_hm,hm,encoder_randomaccess_main.cfg,3841.7280,0.210s
BasketballPass_416x240_50_QP_27_hm,hm,encoder_randomaccess_main.cfg,2291.6000,0.030s
BasketballPass_416x240_50_QP_32_hm,hm,encoder_randomaccess_main.cfg,1322.8000,0.030s
RaceHorses_416x240_30_QP_27_vtm,vtm,encoder_lowdelay_vtm.cfg,1818.2400,0.150s
RaceHorses_416x240_30_QP_32_vtm,vtm,encoder_lowdelay_vtm.cfg,1045.4400,0.140s
Kimono_1920x1080_24_QP_27_vtm,vtm,encoder_lowdelay_vtm.cfg,5035.9680,0.630s
Kimono_1920x1080_24_QP_32_vtm,vtm,encoder_lowdelay_vtm.cfg,3057.1200,0.580s
BasketballPass_416x240_50_QP_27_vtm,vtm,encoder_lowdelay_vtm.cfg,1791.4000,0.130s
BasketballPass_416x240_50_QP_32_vtm,vtm,encoder_lowdelay_vtm.cfg,998.0000,0.120s
RaceHorses_416x240_30_QP_27_vtm,vtm,encoder_intra_vtm.cfg,384.8400,0.130s
RaceHorses_416x240_30_QP_32_vtm,vtm,encoder_intra_vtm.cfg,223.6200,0.120s
Kimono_1920x1080_24_QP_27_vtm,vtm,encoder_intra_vtm.cfg,974.6400,0.410s
Kimono_1920x1080_24_QP_32_vtm,vtm,encoder_intra_vtm.cfg,630.7200,0.380s
BasketballPass_416x240_50_QP_27_vtm,vtm,encoder_intra_vtm.cfg,367.1500,0.120s
BasketballPass_416x240_50_QP_32_vtm,vtm,encoder_intra_vtm.cfg,204.4500,0.110s
RaceHorses_416x240_30_QP_27_vtm,vtm,encoder_randomaccess_vtm.cfg,2230.8000,0.150s
RaceHorses_416x240_30_QP_32_vtm,vtm,encoder_randomaccess_vtm.cfg,1360.6800,0.140s
Kimono_1920x1080_24_QP_27_vtm,vtm,encoder_randomaccess_vtm.cfg,5763.8400,0.640s
Kimono_1920x1080_24_QP_32_vtm,vtm,encoder_randomaccess_vtm.cfg,3617.0880,0.590s
BasketballPass_416x240_50_QP_27_vtm,vtm,encoder_randomaccess_vtm.cfg,2248.8000,0.130s
BasketballPass_416x240_50_QP_32_vtm,vtm,encoder_randomaccess_vtm.cfg,1324.8000,0.130s
