Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
CodingStructure::addPU	3317184.000000	3317184.000000		3987	DecoderAppStatic
CodingStructure::addCU	2264616.000000	2264616.000000		3987	DecoderAppStatic
CodingStructure::addTU	870480.000000	870480.000000		4185	DecoderAppStatic
_byteStreamNALUnit	350880.000000	768860.000000	417980.000000	51	DecoderAppStatic
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
CodingStructure::clearTUs	33480.000000	33480.000000		1	DecoderAppStatic
CodingStructure::clearCUs	31896.000000	31896.000000		1	DecoderAppStatic
CodingStructure::clearPUs	31896.000000	31896.000000		1	DecoderAppStatic
__static_initialization_and_destruction_0.constprop.173	7640.000000	7722.000000	82.000000	69	DecoderAppStatic
__static_initialization_and_destruction_0.constprop.844	7280.000000	7362.000000	82.000000	67	DecoderAppStatic
__static_initialization_and_destruction_0.constprop.97	7280.000000	7362.000000	82.000000	67	DecoderAppStatic
main	4096.000000	67669728.000000	67665632.000000	2	DecoderAppStatic
ContextSetCfg::addCtxSet	1712.000000	3312.000000	1600.000000	16	DecoderAppStatic
_GLOBAL__sub_I_Contexts.cpp	1136.000000	1136.000000		2	DecoderAppStatic
__libc_csu_init	1040.000000	1040.000000		1	DecoderAppStatic
__register_frame	528.000000	528.000000		11	libgcc_s.so.1
_GLOBAL__sub_I_CommonDefX86.cpp	432.000000	432.000000		6	DecoderAppStatic
AdaptiveLoopFilter::create	0.0	4156110.000000	4156110.000000	4	DecoderAppStatic
CABACReader::cu_residual	0.0	5808.000000	5808.000000	66	DecoderAppStatic
CDTrace::CDTrace	0.0	3216.000000	3216.000000	38	DecoderAppStatic
CDTrace::update	0.0	1108440.000000	1108440.000000	15395	DecoderAppStatic
ChromaQpMappingTable::derivedChromaQPMappingTables	0.0	3040.000000	3040.000000	76	DecoderAppStatic
CodingStructure::createCoeffs	0.0	18662400.000000	18662400.000000	6	DecoderAppStatic
CodingStructure::createInternals	0.0	8553600.000000	8553600.000000	9	DecoderAppStatic
CtxStore<BinProbModel_Std>::CtxStore	0.0	2274.000000	2274.000000	1	DecoderAppStatic
DecApp::decode	0.0	9320.000000	9320.000000	3	DecoderAppStatic
DecAppCfg::parseCfg	0.0	2172.000000	2172.000000	26	DecoderAppStatic
DecCu::initDecCuReshaper	0.0	112.000000	112.000000	1	DecoderAppStatic
DecLib::create	0.0	7720.000000	7720.000000	1	DecoderAppStatic
DecLib::updatePrevIRAPAndGDRSubpic	0.0	540.000000	540.000000	1	DecoderAppStatic
DecLib::xActivateParameterSets	0.0	160.000000	160.000000	1	DecoderAppStatic
DecLib::xDecodeAPS	0.0	6086.000000	6086.000000	5	DecoderAppStatic
DecLib::xDecodePPS	0.0	656.000000	656.000000	2	DecoderAppStatic
DecLib::xDecodeSPS	0.0	10109.000000	10109.000000	3	DecoderAppStatic
DecLib::xDecodeSlice	0.0	540.000000	540.000000	1	DecoderAppStatic
DecLib::xGetNewPicBuffer	0.0	2808.000000	2808.000000	1	DecoderAppStatic
DecSlice::decompressSlice	0.0	57645.000000	57645.000000	7	DecoderAppStatic
DepQuant::DepQuant	0.0	1137408.000000	1137408.000000	2	DecoderAppStatic
HLSyntaxReader::parseSliceHeader	0.0	1620.000000	1620.000000	3	DecoderAppStatic
InputBitstream::InputBitstream	0.0	26160.000000	26160.000000	1	DecoderAppStatic
InputBitstream::extractSubstream	0.0	26225.000000	26225.000000	2	DecoderAppStatic
InterPrediction::init	0.0	1897856.000000	1897856.000000	49	DecoderAppStatic
IntraPrediction::init	0.0	558596.000000	558596.000000	14	DecoderAppStatic
PPS::checkSliceMap	0.0	1080.000000	1080.000000	2	DecoderAppStatic
PPS::initRectSliceMap	0.0	588.000000	588.000000	2	DecoderAppStatic
PPS::initRectSlices	0.0	32.000000	32.000000	1	DecoderAppStatic
PPS::initSubPic	0.0	2120.000000	2120.000000	7	DecoderAppStatic
ParameterSetManager::getVPS	0.0	59832.000000	59832.000000	2	DecoderAppStatic
PartitionerImpl::getCUSubPartitions	0.0	536272.000000	536272.000000	2219	DecoderAppStatic
PartitionerImpl::getTUIntraSubPartitions	0.0	23232.000000	23232.000000	66	DecoderAppStatic
PelStorage::create	0.0	39538432.000000	39538432.000000	42	DecoderAppStatic
Picture::Picture	0.0	576.000000	576.000000	2	DecoderAppStatic
Picture::allocateNewSlice	0.0	7720.000000	7720.000000	1	DecoderAppStatic
Picture::finalInit	0.0	2548.000000	2548.000000	2	DecoderAppStatic
QTBTPartitioner::initCtu	0.0	23760.000000	23760.000000	270	DecoderAppStatic
Quant::xInitScalingList	0.0	18727200.000000	18727200.000000	1	DecoderAppStatic
QuantRDOQ::xInitScalingList	0.0	18727200.000000	18727200.000000	1	DecoderAppStatic
Reshape::createDec	0.0	4388.000000	4388.000000	8	DecoderAppStatic
SPS::createRPLList0	0.0	672.000000	672.000000	1	DecoderAppStatic
SPS::createRPLList1	0.0	672.000000	672.000000	1	DecoderAppStatic
SampleAdaptiveOffset::offsetCTU	0.0	258.000000	258.000000	2	DecoderAppStatic
ScalingList::ScalingList	0.0	11008.000000	11008.000000	52	DecoderAppStatic
Slice::checkSubpicTypeConstraints	0.0	540.000000	540.000000	1	DecoderAppStatic
SliceMap::addCtusToSlice	0.0	2016.000000	2016.000000	6	DecoderAppStatic
TrQuant::init	0.0	512256.000000	512256.000000	2	DecoderAppStatic
_Z28getListOfColourSpaceConvertsB5cxx11b	0.0	36.000000	36.000000	1	DecoderAppStatic
detail::aligned_malloc<short>	0.0	1162016.000000	1162016.000000	30	DecoderAppStatic
df::program_options_lite::ArgvParser::parseSHORT	0.0	148.000000	148.000000	2	DecoderAppStatic
df::program_options_lite::OptionSpecific::operator()<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>	0.0	2223.000000	2223.000000	22	DecoderAppStatic
df::program_options_lite::OptionWriter::storePair	0.0	735.000000	735.000000	4	DecoderAppStatic
df::program_options_lite::Options::addOption	0.0	7339.000000	7339.000000	105	DecoderAppStatic
initGeoTemplate	0.0	301568.000000	301568.000000	13	DecoderAppStatic
initROM	0.0	3125160.000000	3125160.000000	381	DecoderAppStatic
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>.isra.45	0.0	1943.000000	1943.000000	23	DecoderAppStatic
std::vector<AlfFilterShape, std::allocator<AlfFilterShape>>::_M_realloc_insert<AlfFilterShape>	0.0	256.000000	256.000000	4	DecoderAppStatic
std::vector<Channel, std::allocator<Channel>>::_M_realloc_insert<Channel>	0.0	5080.000000	5080.000000	7	DecoderAppStatic
std::vector<CodingUnit*, std::allocator<CodingUnit*>>::_M_realloc_insert<CodingUnit* const&>	0.0	65504.000000	65504.000000	11	DecoderAppStatic
std::vector<DecLib::AccessUnitInfo, std::allocator<DecLib::AccessUnitInfo>>::_M_realloc_insert<DecLib::AccessUnitInfo const&>	0.0	144.000000	144.000000	2	DecoderAppStatic
std::vector<NalUnitType, std::allocator<NalUnitType>>::_M_realloc_insert<NalUnitType const&>	0.0	32.000000	32.000000	1	DecoderAppStatic
std::vector<PredictionUnit*, std::allocator<PredictionUnit*>>::_M_realloc_insert<PredictionUnit* const&>	0.0	65504.000000	65504.000000	11	DecoderAppStatic
std::vector<SubPic, std::allocator<SubPic>>::_M_realloc_insert<SubPic>	0.0	644.000000	644.000000	2	DecoderAppStatic
std::vector<TransformUnit*, std::allocator<TransformUnit*>>::_M_realloc_insert<TransformUnit* const&>	0.0	131040.000000	131040.000000	12	DecoderAppStatic
std::vector<int, std::allocator<int>>::_M_assign_aux<int const*>	0.0	396.000000	396.000000	6	DecoderAppStatic
std::vector<unsigned int, std::allocator<unsigned int>>::emplace_back<unsigned int>	0.0	192.000000	192.000000	4	DecoderAppStatic
tracing_init	0.0	1672.000000	1672.000000	2	DecoderAppStatic
[Unknown]				1	[Unknown]
