Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
__memmove_avx_unaligned_erms	0.064004	0.064004	0.0	0.064004	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ed40
CDTrace::dtrace<(bool)0>	0.063997	0.063997	0.0	0.063997	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	void CDTrace::dtrace<(bool)0>(int, char const*, ellipsis)	[Unknown]	0xc0ad0
DecLib::DecLib	0.039996	0.039996	0.0	0.039996	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	DecLib::DecLib(void)	[Unknown]	0x1bd380
LoopFilter::xEdgeFilterLuma	0.028013	0.028013	0.0	0.028013	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	LoopFilter::xEdgeFilterLuma(CodingUnit const&, DeblockEdgeDir, int)	[Unknown]	0x258200
operator new	0.027997	0.027997	0.0	0.027997	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	operator new(unsigned long)	[Unknown]	0x93280
__memset_avx2_erms	0.027996	0.027996	0.0	0.027996	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18f190
CodingStructure::createInternals	0.024012	0.024012	0.0	0.024012	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	CodingStructure::createInternals(UnitArea const&, bool, bool)	[Unknown]	0xcc8b0
DecCu::xReconInter	0.024001	0.024001	0.0	0.024001	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	DecCu::xReconInter(CodingUnit&)	[Unknown]	0x21f520
_GLOBAL__sub_I_Rom.cpp	0.020018	0.020018	0.0	0.020018	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	_GLOBAL__sub_I_Rom.cpp	[Unknown]	0xccd0
std::istream::get	0.020006	0.020006	0.0	0.020006	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	std::istream::get(void)	[Unknown]	0xfbaa0
