Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
CDTrace::dtrace<(bool)0>	0.067996	0.067996	0.0	0.067996	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	void CDTrace::dtrace<(bool)0>(int, char const*, ellipsis)	[Unknown]	0xc0ad0
fastInverseDST7_B32	0.043978	0.043978	0.0	0.043978	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	fastInverseDST7_B32(int const*, int*, int, int, int, int, int, int)	[Unknown]	0x9bb30
simdFilter7x7Blk<(X86_VEXT)4>	0.040003	0.040003	0.0	0.040003	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier**, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, Area const&, ComponentID, short const*, short const*, ClpRng const&, CodingStructure&, int, int)	[Unknown]	0x17a500
LoopFilter::loopFilterPic	0.039993	0.039993	0.0	0.039993	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	LoopFilter::loopFilterPic(CodingStructure&)	[Unknown]	0x25db50
DecLib::DecLib	0.031997	0.031997	0.0	0.031997	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	DecLib::DecLib(void)	[Unknown]	0x1bd380
SampleAdaptiveOffset::SAOProcess	0.020000	0.020000	0.0	0.020000	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	SampleAdaptiveOffset::SAOProcess(CodingStructure&, SAOBlkParam*)	[Unknown]	0x5d470
IntraPrediction::predIntraAng	0.019994	0.019994	0.0	0.019994	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	IntraPrediction::predIntraAng(ComponentID, AreaBuf<short>&, PredictionUnit const&)	[Unknown]	0x24a0d0
__memset_avx2_erms	0.019978	0.019978	0.0	0.019978	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18f190
LoopFilter::xEdgeFilterLuma	0.015999	0.015999	0.0	0.015999	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	LoopFilter::xEdgeFilterLuma(CodingUnit const&, DeblockEdgeDir, int)	[Unknown]	0x258200
__memset_avx2_unaligned_erms	0.015993	0.015993	0.0	0.015993	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_unaligned_erms	memset-vec-unaligned-erms.S	0x18f1c0
Picture::extendPicBorder	0.012014	0.012014	0.0	0.012014	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	Picture::extendPicBorder(PPS const*)	[Unknown]	0x52540
TBinDecoder<BinProbModel_Std>::decodeBin	0.012008	0.012008	0.0	0.012008	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	TBinDecoder<BinProbModel_Std>::decodeBin(unsigned int)	[Unknown]	0x20b400
SampleAdaptiveOffset::offsetBlock	0.012007	0.012007	0.0	0.012007	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	SampleAdaptiveOffset::offsetBlock(int, ClpRng const&, int, int*, short const*, short*, int, int, int, int, bool, bool, bool, bool, bool, bool, bool, bool, bool, int*, int*, int, int)	[Unknown]	0x57b30
DQIntern::Quantizer::dequantBlock	0.012005	0.012005	0.0	0.012005	0.0	0.0	0.0	0.0	0.0	DecoderAppStatic	DQIntern::Quantizer::dequantBlock(TransformUnit const&, ComponentID, QpParam const&, AreaBuf<int>&, bool, int*) const	[Unknown]	0xd6420
