Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
BestEncInfoCache::init	1174569984.000000	1174569984.000000		2	EncoderAppStatic
IbcHashMap::xxBuildPicHashMap<(ChromaFormat)1>	112296104.000000	141186760.000000	28890656.000000	2063161	EncoderAppStatic
BestEncInfoCache::create	87238816.000000	87238816.000000		23569	EncoderAppStatic
PelStorage::create	68553728.000000	68553728.000000		3591	EncoderAppStatic
CodingStructure::createCoeffs	23528704.000000	23528704.000000		1682	EncoderAppStatic
Quant::xInitScalingList	18727200.000000	18727200.000000		1	EncoderAppStatic
QuantRDOQ::xInitScalingList	18727200.000000	18727200.000000		1	EncoderAppStatic
CodingStructure::createInternals	10779072.000000	10779072.000000		2091	EncoderAppStatic
IbcHashMap::init	8303040.000000	8303040.000000		2	EncoderAppStatic
initROM	3122120.000000	3125160.000000	3040.000000	381	EncoderAppStatic
DQIntern::TUParameters::TUParameters	2708832.000000	2708832.000000		122	EncoderAppStatic
main	2583536.000000	2588352.000000	4816.000000	8	EncoderAppStatic
CacheBlkInfoCtrl::create	2529016.000000	2529016.000000		23569	EncoderAppStatic
InterPrediction::init	1897856.000000	1897856.000000		49	EncoderAppStatic
SaveLoadEncInfoSbt::create	1687808.000000	1687808.000000		6177	EncoderAppStatic
detail::aligned_malloc<short>	1162016.000000	1162016.000000		30	EncoderAppStatic
DepQuant::DepQuant	568704.000000	568704.000000		1	EncoderAppStatic
IntraPrediction::init	558596.000000	558596.000000		14	EncoderAppStatic
IntraSearch::init	393776.000000	393776.000000		185	EncoderAppStatic
EncCu::create	335728.000000	335728.000000		182	EncoderAppStatic
DQIntern::Rom::xInitScanArrays	334120.000000	334120.000000		241	EncoderAppStatic
initGeoTemplate	301568.000000	301568.000000		13	EncoderAppStatic
TrQuant::init	256128.000000	256128.000000		1	EncoderAppStatic
CodingStructure::addPU	220480.000000	220480.000000		265	EncoderAppStatic
InterSearch::init	209568.000000	209568.000000		6	EncoderAppStatic
CodingStructure::addCU	150520.000000	150520.000000		265	EncoderAppStatic
EncGOP::compressGOP	116875.000000	119035.000000	2160.000000	19	EncoderAppStatic
