Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
BestEncInfoCache::init	1174569984.000000	1174569984.000000		2	EncoderAppStatic
BestEncInfoCache::create	87238816.000000	87238816.000000		23569	EncoderAppStatic
PelStorage::create	18778112.000000	29371616.000000	10593504.000000	3639	EncoderAppStatic
Quant::xInitScalingList	18727200.000000	18727200.000000		1	EncoderAppStatic
QuantRDOQ::xInitScalingList	18727200.000000	18727200.000000		1	EncoderAppStatic
CodingStructure::createCoeffs	5764864.000000	5764864.000000		1682	EncoderAppStatic
IbcHashMap::xxBuildPicHashMap<(ChromaFormat)1>	4778416.000000	5617880.000000	839464.000000	97895	EncoderAppStatic
initROM	3122120.000000	3125160.000000	3040.000000	381	EncoderAppStatic
DQIntern::TUParameters::TUParameters	2708832.000000	2708832.000000		122	EncoderAppStatic
CodingStructure::createInternals	2637312.000000	2637312.000000		2091	EncoderAppStatic
main	2583536.000000	2588352.000000	4816.000000	8	EncoderAppStatic
CacheBlkInfoCtrl::create	2529016.000000	2529016.000000		23569	EncoderAppStatic
InterPrediction::init	1897856.000000	1897856.000000		49	EncoderAppStatic
SaveLoadEncInfoSbt::create	1687808.000000	1687808.000000		6177	EncoderAppStatic
detail::aligned_malloc<short>	1162016.000000	1162016.000000		30	EncoderAppStatic
CodingStructure::addPU	633984.000000	633984.000000		762	EncoderAppStatic
DepQuant::DepQuant	568704.000000	568704.000000		1	EncoderAppStatic
IntraPrediction::init	558596.000000	558596.000000		14	EncoderAppStatic
CodingStructure::addCU	432816.000000	432816.000000		762	EncoderAppStatic
IbcHashMap::init	401280.000000	401280.000000		2	EncoderAppStatic
IntraSearch::init	393776.000000	393776.000000		185	EncoderAppStatic
EncCu::create	335728.000000	335728.000000		182	EncoderAppStatic
DQIntern::Rom::xInitScanArrays	334120.000000	334120.000000		241	EncoderAppStatic
initGeoTemplate	301568.000000	301568.000000		13	EncoderAppStatic
TrQuant::init	256128.000000	256128.000000		1	EncoderAppStatic
InterSearch::init	211168.000000	211168.000000		6	EncoderAppStatic
CodingStructure::addTU	208624.000000	208624.000000		1003	EncoderAppStatic
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
IntraSearch::estIntraPredLumaQT	60468.000000	11201004.000000	11140536.000000	126644	EncoderAppStatic
SPS::createRPLList0	24864.000000	24864.000000		1	EncoderAppStatic
SPS::createRPLList1	24864.000000	24864.000000		1	EncoderAppStatic
