Seq Name,Codec Name,Config Name,QP,CPU Time
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_medium.cfg,27,34.500s
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_medium.cfg,32,23.140s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_medium.cfg,27,294.078s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_medium.cfg,32,191.840s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_medium.cfg,27,16.730s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_medium.cfg,32,12.210s
,,,,
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_fast.cfg,27,11.300s
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_fast.cfg,32,7.480s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_fast.cfg,27,119.530s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_fast.cfg,32,83.670s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_fast.cfg,27,6.360s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_fast.cfg,32,4.600s
,,,,
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slow.cfg,27,103.050s
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slow.cfg,32,68.270s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slow.cfg,27,876.495s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slow.cfg,32,470.095s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slow.cfg,27,44.708s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slow.cfg,32,34.210s
,,,,
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slower.cfg,27,446.268s
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slower.cfg,32,367.339s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slower.cfg,27,6511.901s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slower.cfg,32,3004.078s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slower.cfg,27,210.629s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slower.cfg,32,137.434s
,,,,
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_faster.cfg,27,7.958s
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_faster.cfg,32,6.390s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_faster.cfg,27,92.270s
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_faster.cfg,32,61.520s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_faster.cfg,27,3.900s
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_faster.cfg,32,2.540s
