Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
CABACReader::coding_tree	16982016.000000	17104896.000000	122880.000000	64	vvdecapp
CodingStructure::addTU	2359296.000000	2359296.000000		36	vvdecapp
Picture::destroy	376832.000000	507904.000000	131072.000000	22	vvdecapp
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
main	4320.000000	844697.000000	840377.000000	12	vvdecapp
Picture::finalInit	2560.000000	5221020.000000	5218460.000000	120	vvdecapp
ContextSetCfg::addCtxSet.constprop.23	1712.000000	3312.000000	1600.000000	16	vvdecapp
_GLOBAL__I_65535_0_vvdecapp.cpp.o.133926	1040.000000	1040.000000		1	vvdecapp
_GLOBAL__sub_I_NoMallocThreadPool.cpp.lto_priv.481	1040.000000	1040.000000		1	vvdecapp
std::vector<std::shared_ptr<dynamic_cache<TransformUnit>>, std::allocator<std::shared_ptr<dynamic_cache<TransformUnit>>>>::emplace_back<std::shared_ptr<dynamic_cache<TransformUnit>>>	1024.000000	1984.000000	960.000000	10	vvdecapp
__register_frame	528.000000	528.000000		11	libgcc_s.so.1
_GLOBAL__sub_I_CommonDefX86.cpp.lto_priv.461	432.000000	432.000000		6	vvdecapp
std::vector<CodingUnit*, std::allocator<CodingUnit*>>::_M_realloc_insert<CodingUnit* const&>	224.000000	256.000000	32.000000	7	vvdecapp
_GLOBAL__sub_I_Contexts.cpp.lto_priv.518	96.000000	96.000000		1	vvdecapp
vvdec::VVDecImpl::getErrorMsg	61.000000	61.000000		1	vvdecapp
DecLib::DecLib	0.0	180096.000000	180096.000000	8	vvdecapp
DecLib::create	0.0	37888089.000000	37888089.000000	32	vvdecapp
DecLibParser::xActivateParameterSets	0.0	91104.000000	91104.000000	21	vvdecapp
DecLibParser::xDecodeAPS	0.0	50087.000000	50087.000000	13	vvdecapp
DecLibParser::xDecodePPS	0.0	2120.000000	2120.000000	2	vvdecapp
DecLibParser::xDecodeSPS	0.0	15820.000000	15820.000000	3	vvdecapp
DecLibParser::xDecodeSliceMain	0.0	12880.000000	12880.000000	40	vvdecapp
DecLibRecon::decompressPicture	0.0	22014628.000000	22014628.000000	498	vvdecapp
DecSlice::parseSlice	0.0	144984540.000000	144984540.000000	200	vvdecapp
HLSyntaxReader::parseSPS	0.0	14528.000000	14528.000000	4	vvdecapp
HLSyntaxReader::parseSliceHeader	0.0	21600.000000	21600.000000	40	vvdecapp
InputBitstream::extractSubstream	0.0	123309.000000	123309.000000	40	vvdecapp
NoMallocThreadPool::ChunkedTaskQueue::grow	0.0	9232.000000	9232.000000	1	vvdecapp
PPS::checkSliceMap	0.0	1080.000000	1080.000000	2	vvdecapp
PPS::initRectSliceMap	0.0	588.000000	588.000000	2	vvdecapp
PPS::initSubPic	0.0	104.000000	104.000000	1	vvdecapp
Partitioner::initCtu.constprop.391	0.0	226800.000000	226800.000000	2835	vvdecapp
Partitioner::splitCurrArea	0.0	2025840.000000	2025840.000000	7640	vvdecapp
Partitioner::splitCurrArea.constprop.406	0.0	86400.000000	86400.000000	270	vvdecapp
PartitionerImpl::getMaxTuTiling	0.0	155040.000000	155040.000000	498	vvdecapp
PelStorage::create.constprop.386	0.0	575078400.000000	575078400.000000	180	vvdecapp
PelStorage::create.constprop.387	0.0	140290048.000000	140290048.000000	210	vvdecapp
PicListManager::getNewPicBuffer	0.0	39360.000000	39360.000000	20	vvdecapp
Picture::allocateNewSlice	0.0	122240.000000	122240.000000	20	vvdecapp
SPS::createRPLList1	0.0	13616.000000	13616.000000	1	vvdecapp
SampleAdaptiveOffset::offsetCTU	0.0	32508.000000	32508.000000	252	vvdecapp
ScalingList::ScalingList	0.0	44032.000000	44032.000000	208	vvdecapp
detail::aligned_malloc<int>.constprop.251	0.0	786432.000000	786432.000000	48	vvdecapp
detail::aligned_malloc<short>.constprop.388	0.0	19388480.000000	19388480.000000	512	vvdecapp
initROM	0.0	282176.000000	282176.000000	107	vvdecapp
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>.isra.66.lto_priv.1013	0.0	36.000000	36.000000	1	vvdecapp
std::vector<Barrier const*, std::allocator<Barrier const*>>::emplace_back<Barrier const*>	0.0	10080.000000	10080.000000	315	vvdecapp
std::vector<DecLibParser::AccessUnitPicInfo, std::allocator<DecLibParser::AccessUnitPicInfo>>::_M_realloc_insert<DecLibParser::AccessUnitPicInfo const&>	0.0	1984.000000	1984.000000	10	vvdecapp
std::vector<unsigned char, std::allocator<unsigned char>>::_M_realloc_insert<unsigned char const&>	0.0	356448.000000	356448.000000	173	vvdecapp
std::vector<unsigned int, std::allocator<unsigned int>>::_M_realloc_insert<unsigned int>	0.0	4224.000000	4224.000000	16	vvdecapp
vvdec::VVDecImpl::xAddPicture	0.0	4640.000000	4640.000000	40	vvdecapp
[Unknown]				9	[Unknown]
