Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
CABACReader::coding_tree	9003008.000000	9019392.000000	16384.000000	43	vvdecapp
CodingStructure::addTU	2621440.000000	2621440.000000		40	vvdecapp
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
Picture::destroy	49152.000000	65536.000000	16384.000000	3	vvdecapp
main	4320.000000	844699.000000	840379.000000	12	vvdecapp
Picture::finalInit	2560.000000	273760.000000	271200.000000	100	vvdecapp
ContextSetCfg::addCtxSet.constprop.23	1712.000000	3312.000000	1600.000000	16	vvdecapp
_GLOBAL__I_65535_0_vvdecapp.cpp.o.133926	1040.000000	1040.000000		1	vvdecapp
_GLOBAL__sub_I_NoMallocThreadPool.cpp.lto_priv.481	1040.000000	1040.000000		1	vvdecapp
std::vector<std::shared_ptr<dynamic_cache<TransformUnit>>, std::allocator<std::shared_ptr<dynamic_cache<TransformUnit>>>>::emplace_back<std::shared_ptr<dynamic_cache<TransformUnit>>>	1024.000000	1984.000000	960.000000	10	vvdecapp
__register_frame	528.000000	528.000000		11	libgcc_s.so.1
_GLOBAL__sub_I_CommonDefX86.cpp.lto_priv.461	432.000000	432.000000		6	vvdecapp
_GLOBAL__sub_I_Contexts.cpp.lto_priv.518	96.000000	96.000000		1	vvdecapp
vvdec::VVDecImpl::getErrorMsg	61.000000	61.000000		1	vvdecapp
std::vector<CodingUnit*, std::allocator<CodingUnit*>>::_M_realloc_insert<CodingUnit* const&>	32.000000	32.000000		1	vvdecapp
DecLib::DecLib	0.0	180096.000000	180096.000000	8	vvdecapp
DecLib::create	0.0	37888089.000000	37888089.000000	32	vvdecapp
DecLibParser::xActivateParameterSets	0.0	91104.000000	91104.000000	21	vvdecapp
DecLibParser::xDecodeAPS	0.0	41689.000000	41689.000000	10	vvdecapp
DecLibParser::xDecodePPS	0.0	2120.000000	2120.000000	2	vvdecapp
DecLibParser::xDecodeSPS	0.0	15819.000000	15819.000000	3	vvdecapp
DecLibParser::xDecodeSliceMain	0.0	2720.000000	2720.000000	40	vvdecapp
DecLibRecon::decompressPicture	0.0	21938944.000000	21938944.000000	498	vvdecapp
DecSlice::parseSlice	0.0	8633360.000000	8633360.000000	40	vvdecapp
HLSyntaxReader::parseSPS	0.0	14528.000000	14528.000000	4	vvdecapp
HLSyntaxReader::parseSliceHeader	0.0	1280.000000	1280.000000	40	vvdecapp
InputBitstream::extractSubstream	0.0	27496.000000	27496.000000	40	vvdecapp
PPS::checkSliceMap	0.0	64.000000	64.000000	2	vvdecapp
PPS::initRectSliceMap	0.0	80.000000	80.000000	2	vvdecapp
PPS::initSubPic	0.0	104.000000	104.000000	1	vvdecapp
Partitioner::initCtu.constprop.391	0.0	13440.000000	13440.000000	168	vvdecapp
Partitioner::splitCurrArea	0.0	293920.000000	293920.000000	1166	vvdecapp
Partitioner::splitCurrArea.constprop.406	0.0	5120.000000	5120.000000	16	vvdecapp
PartitionerImpl::getSbtTuTiling.constprop.410	0.0	15040.000000	15040.000000	94	vvdecapp
PelStorage::create.constprop.386	0.0	79380480.000000	79380480.000000	180	vvdecapp
PelStorage::create.constprop.387	0.0	10021888.000000	10021888.000000	210	vvdecapp
PicListManager::getNewPicBuffer	0.0	39360.000000	39360.000000	20	vvdecapp
Picture::allocateNewSlice	0.0	122240.000000	122240.000000	20	vvdecapp
SPS::createRPLList1	0.0	13616.000000	13616.000000	1	vvdecapp
SampleAdaptiveOffset::offsetCTU	0.0	9498.000000	9498.000000	90	vvdecapp
ScalingList::ScalingList	0.0	38528.000000	38528.000000	182	vvdecapp
detail::aligned_malloc<int>.constprop.251	0.0	786432.000000	786432.000000	48	vvdecapp
detail::aligned_malloc<short>.constprop.388	0.0	19388480.000000	19388480.000000	512	vvdecapp
initROM	0.0	282176.000000	282176.000000	107	vvdecapp
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>.isra.66.lto_priv.1013	0.0	36.000000	36.000000	1	vvdecapp
std::vector<DecLibParser::AccessUnitPicInfo, std::allocator<DecLibParser::AccessUnitPicInfo>>::_M_realloc_insert<DecLibParser::AccessUnitPicInfo const&>	0.0	1984.000000	1984.000000	10	vvdecapp
std::vector<unsigned char, std::allocator<unsigned char>>::_M_realloc_insert<unsigned char const&>	0.0	76800.000000	76800.000000	126	vvdecapp
std::vector<unsigned int, std::allocator<unsigned int>>::_M_realloc_insert<unsigned int>	0.0	96.000000	96.000000	3	vvdecapp
vvdec::VVDecImpl::xAddPicture	0.0	4640.000000	4640.000000	40	vvdecapp
[Unknown]				9	[Unknown]
