Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
vvenc::PelStorage::create	388600640.000000	548883200.000000	160282560.000000	234	vvencFFapp
vvenc::EncAdaptiveLoopFilter::init	105180719.000000	210361438.000000	105180719.000000	1044	vvencFFapp
vvenc::CodingStructure::createInternals	62905152.000000	63602304.000000	697152.000000	716	vvencFFapp
vvenc::BestEncInfoCache::init	48940416.000000	48940416.000000		1	vvencFFapp
vvenc::CodingStructure::createCoeffs	15022464.000000	42486528.000000	27464064.000000	1299	vvencFFapp
vvenc::detail::aligned_malloc<short>	13586576.000000	27173152.000000	13586576.000000	1960	vvencFFapp
vvenc::BestEncInfoCache::create	11572368.000000	23144736.000000	11572368.000000	44468	vvencFFapp
vvenc::CodingStructure::allocateVectorsAtPicLevel	8294400.000000	8294400.000000		6	vvencFFapp
EncApp::encode	6220800.000000	6220800.000000		3	vvencFFapp
vvenc::CodingStructure::createTempBuffers	5006592.000000	14160384.000000	9153792.000000	1620	vvencFFapp
vvenc::QuantRDOQ::xInitScalingList	4643712.000000	9287424.000000	4643712.000000	3312	vvencFFapp
vvenc::Quant::xInitScalingList	4640256.000000	9280512.000000	4640256.000000	6192	vvencFFapp
vvenc::EncSlice::init	4252029.000000	8504058.000000	4252029.000000	830	vvencFFapp
vvenc::InterPredInterpolation::init	2423168.000000	4846336.000000	2423168.000000	122	vvencFFapp
vvenc::QuantRDOQ2::xInitScalingList	2320128.000000	4640256.000000	2320128.000000	3096	vvencFFapp
vvenc::EncLib::xInitPicture	2286900.000000	2286900.000000		160	vvencFFapp
vvenc::EncGOP::init	1916846.000000	3833692.000000	1916846.000000	4	vvencFFapp
vvenc::CodingStructure::addCU	1877368.000000	1877368.000000		4993	vvencFFapp
vvenc::detail::aligned_malloc<vvenc::LoopFilterParam>	1555200.000000	4665600.000000	3110400.000000	6	vvencFFapp
vvenc::CacheBlkInfoCtrl::create	1530900.000000	3061800.000000	1530900.000000	36450	vvencFFapp
vvenc::EncLib::initPass	1335776.000000	2671136.000000	1335360.000000	13	vvencFFapp
vvenc::DQIntern::TUParameters::TUParameters	1154560.000000	2309120.000000	1154560.000000	184	vvencFFapp
vvenc::CodingStructure::addTU	905872.000000	905872.000000		5147	vvencFFapp
vvenc::DepQuant::DepQuant	564136.000000	1128272.000000	564136.000000	2	vvencFFapp
vvenc::AdaptiveLoopFilter::create	564030.000000	1128060.000000	564030.000000	1078	vvencFFapp
vvenc::InterSearch::predInterSearch	436608.000000	911232.000000	474624.000000	9492	vvencFFapp
vvenc::ScanOrderRom::initGeoTemplate	301568.000000	301568.000000		13	vvencFFapp
vvenc::TrQuant::init	260248.000000	520496.000000	260248.000000	2	vvencFFapp
vvenc::EncPicture::encodePicture	259200.000000	777600.000000	518400.000000	3	vvencFFapp
vvenc::ScanOrderRom::initScanOrderRom	257984.000000	257984.000000		92	vvencFFapp
vvenc::EncCu::init	206976.000000	413952.000000	206976.000000	802	vvencFFapp
vvenc::InterSearch::init	196608.000000	393216.000000	196608.000000	8	vvencFFapp
vvenc::TrQuant::TrQuant	196608.000000	393216.000000	196608.000000	6	vvencFFapp
vvenc::DQIntern::Rom::xInitScanArrays	189160.000000	378320.000000	189160.000000	362	vvencFFapp
vvenc::EncoderIf::initEncoderLib	165472.000000	165472.000000		1	vvencFFapp
vvenc::OutputBitstream::write	98304.000000	590432.000000	492128.000000	78	vvencFFapp
vvenc::IntraSearch::init	96552.000000	193104.000000	96552.000000	186	vvencFFapp
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
vvenc::EncLib::xInitRPL	43472.000000	86944.000000	43472.000000	4	vvencFFapp
main	42880.000000	47528.000000	4648.000000	7	vvencFFapp
vvenc::CodingStructure::clearTUs	41184.000000	42480.000000	1296.000000	8	vvencFFapp
