Seq Name,Codec Name,Config Name,Bitrate (kbps),CPU Time
RaceHorses_416x240_30_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,3740.8800,0.010s
RaceHorses_416x240_30_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,2344.3200,0.010s
RaceHorses_416x240_30_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,1431.0000,0.010s
RaceHorses_416x240_30_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,817.5600,0.010s
Kimono_1920x1080_24_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,13744.6080,0.640s
Kimono_1920x1080_24_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,6072.0960,0.430s
Kimono_1920x1080_24_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,3820.2240,0.350s
Kimono_1920x1080_24_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,2390.4960,0.160s
BasketballPass_416x240_50_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,3907.6000,0.010s
BasketballPass_416x240_50_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,2340.2000,0.010s
BasketballPass_416x240_50_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,1379.4000,0.010s
BasketballPass_416x240_50_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_medium.cfg,769.8000,0.010s
RaceHorses_416x240_30_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,3660.2400,0.040s
RaceHorses_416x240_30_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,2236.8000,0.010s
RaceHorses_416x240_30_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,1332.3600,0.010s
RaceHorses_416x240_30_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,734.5200,0.010s
Kimono_1920x1080_24_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,10631.2320,0.310s
Kimono_1920x1080_24_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,5635.2000,0.180s
Kimono_1920x1080_24_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,3527.7120,0.290s
Kimono_1920x1080_24_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,2194.7520,0.100s
BasketballPass_416x240_50_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,3597.2000,0.100s
BasketballPass_416x240_50_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,2126.4000,0.030s
BasketballPass_416x240_50_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,1250.2000,0.020s
BasketballPass_416x240_50_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_fast.cfg,677.8000,0.020s
RaceHorses_416x240_30_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,3710.0400,0.050s
RaceHorses_416x240_30_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,2327.5200,0.050s
RaceHorses_416x240_30_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,1425.2400,0.010s
RaceHorses_416x240_30_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,806.2800,0.010s
Kimono_1920x1080_24_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,13793.6640,0.500s
Kimono_1920x1080_24_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,6066.3360,0.220s
Kimono_1920x1080_24_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,3816.0960,0.180s
Kimono_1920x1080_24_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,2387.4240,0.280s
BasketballPass_416x240_50_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,3865.2000,0.280s
BasketballPass_416x240_50_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,2287.6000,0.010s
BasketballPass_416x240_50_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,1357.8000,0.010s
BasketballPass_416x240_50_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slow.cfg,748.0000,0.010s
RaceHorses_416x240_30_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,3698.1600,0.010s
RaceHorses_416x240_30_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,2324.0400,0.010s
RaceHorses_416x240_30_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,1432.2000,0.020s
RaceHorses_416x240_30_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,807.2400,0.020s
Kimono_1920x1080_24_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,13690.9440,0.640s
Kimono_1920x1080_24_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,5962.2720,0.420s
Kimono_1920x1080_24_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,3742.4640,0.170s
Kimono_1920x1080_24_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,2345.0880,0.140s
BasketballPass_416x240_50_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,3857.8000,0.140s
BasketballPass_416x240_50_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,2287.8000,0.140s
BasketballPass_416x240_50_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,1344.4000,0.010s
BasketballPass_416x240_50_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_slower.cfg,760.2000,0.020s
RaceHorses_416x240_30_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,3803.7600,0.010s
RaceHorses_416x240_30_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,2262.6000,0.020s
RaceHorses_416x240_30_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,1337.2800,0.020s
RaceHorses_416x240_30_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,724.8000,0.020s
Kimono_1920x1080_24_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,11626.7520,0.340s
Kimono_1920x1080_24_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,5702.0160,0.170s
Kimono_1920x1080_24_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,3550.4640,0.140s
Kimono_1920x1080_24_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,2198.8800,0.090s
BasketballPass_416x240_50_QP_22_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,3648.4000,0.090s
BasketballPass_416x240_50_QP_27_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,2119.4000,0.090s
BasketballPass_416x240_50_QP_32_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,1236.2000,0.090s
BasketballPass_416x240_50_QP_37_hhi-vvc-codec,hhi-vvc-codec,randomaccess_faster.cfg,674.0000,0.010s
