Seq Name,Codec Name,Config Name,QP,Bitrate,Y-PSNR,CPU Time,Encoding_FPS/Frame_Rate
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_medium.cfg,22,3740.8800,42.3286,10.896s,0.006
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_medium.cfg,27,2344.3200,38.4039,7.860s,0.008
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_medium.cfg,32,1431.0000,34.9811,6.370s,0.01
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_medium.cfg,37,817.5600,31.7100,5.290s,0.013
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_medium.cfg,22,13744.6080,43.3793,125.750s,0.001
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_medium.cfg,27,6072.0960,41.4243,60.558s,0.001
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_medium.cfg,32,3820.2240,39.7135,27.068s,0.003
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_medium.cfg,37,2390.4960,37.6651,21.520s,0.004
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_medium.cfg,22,3907.6000,44.2720,8.830s,0.005
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_medium.cfg,27,2340.2000,40.7099,8.410s,0.005
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_medium.cfg,32,1379.4000,37.5786,5.710s,0.007
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_medium.cfg,37,769.8000,34.3706,4.270s,0.009
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_fast.cfg,22,3660.2400,41.4912,2.200s,0.03
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_fast.cfg,27,2236.8000,37.3965,0.970s,0.069
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_fast.cfg,32,1332.3600,34.0540,0.770s,0.087
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_fast.cfg,37,734.5200,30.8759,0.620s,0.108
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_fast.cfg,22,10631.2320,42.9396,19.900s,0.004
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_fast.cfg,27,5635.2000,41.1991,12.450s,0.007
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_fast.cfg,32,3527.7120,39.3826,7.680s,0.011
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_fast.cfg,37,2194.7520,37.1529,5.820s,0.014
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_fast.cfg,22,3597.2000,43.2512,1.410s,0.028
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_fast.cfg,27,2126.4000,39.6961,0.740s,0.054
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_fast.cfg,32,1250.2000,36.6208,0.580s,0.069
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_fast.cfg,37,677.8000,33.4795,0.460s,0.087
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slow.cfg,22,3710.0400,42.4204,26.116s,0.003
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slow.cfg,27,2327.5200,38.5312,23.680s,0.003
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slow.cfg,32,1425.2400,35.1400,17.250s,0.004
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slow.cfg,37,806.2800,31.8219,14.698s,0.005
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slow.cfg,22,13793.6640,43.4109,293.887s,0.0
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slow.cfg,27,6066.3360,41.4863,134.596s,0.001
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slow.cfg,32,3816.0960,39.8140,66.120s,0.001
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slow.cfg,37,2387.4240,37.7280,36.170s,0.002
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slow.cfg,22,3865.2000,44.3115,27.910s,0.001
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slow.cfg,27,2287.6000,40.6446,19.060s,0.002
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slow.cfg,32,1357.8000,37.5433,13.660s,0.003
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slow.cfg,37,748.0000,34.4663,9.840s,0.004
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slower.cfg,22,3698.1600,42.5173,68.130s,0.001
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slower.cfg,27,2324.0400,38.6725,53.040s,0.001
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slower.cfg,32,1432.2000,35.3373,42.157s,0.002
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_slower.cfg,37,807.2400,32.0531,31.789s,0.002
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slower.cfg,22,13690.9440,43.4312,1029.446s,0.0
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slower.cfg,27,5962.2720,41.5216,452.761s,0.0
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slower.cfg,32,3742.4640,39.8461,218.070s,0.0
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_slower.cfg,37,2345.0880,37.7945,117.820s,0.001
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slower.cfg,22,3857.8000,44.4929,61.020s,0.001
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slower.cfg,27,2287.8000,40.8852,50.210s,0.001
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slower.cfg,32,1344.4000,37.6694,38.628s,0.001
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_slower.cfg,37,760.2000,34.6944,22.970s,0.002
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_faster.cfg,22,3803.7600,40.9377,1.520s,0.044
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_faster.cfg,27,2262.6000,36.7738,0.830s,0.08
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_faster.cfg,32,1337.2800,33.4061,0.670s,0.1
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_faster.cfg,37,724.8000,30.3720,0.540s,0.123
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_faster.cfg,22,11626.7520,42.9096,17.850s,0.005
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_faster.cfg,27,5702.0160,41.0519,9.650s,0.009
