Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
CABACReader::coding_tree	2695168.000000	2711552.000000	16384.000000	9	vvdecapp
CodingStructure::addTU	131072.000000	131072.000000		2	vvdecapp
Picture::destroy	81920.000000	131072.000000	49152.000000	4	vvdecapp
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
main	4320.000000	844695.000000	840375.000000	12	vvdecapp
ContextSetCfg::addCtxSet.constprop.23	1712.000000	3312.000000	1600.000000	16	vvdecapp
_GLOBAL__I_65535_0_vvdecapp.cpp.o.133926	1040.000000	1040.000000		1	vvdecapp
_GLOBAL__sub_I_NoMallocThreadPool.cpp.lto_priv.481	1040.000000	1040.000000		1	vvdecapp
__register_frame	528.000000	528.000000		11	libgcc_s.so.1
_GLOBAL__sub_I_CommonDefX86.cpp.lto_priv.461	432.000000	432.000000		6	vvdecapp
Picture::finalInit	256.000000	522102.000000	521846.000000	12	vvdecapp
_GLOBAL__sub_I_Contexts.cpp.lto_priv.518	96.000000	96.000000		1	vvdecapp
std::vector<CodingUnit*, std::allocator<CodingUnit*>>::_M_realloc_insert<CodingUnit* const&>	64.000000	96.000000	32.000000	2	vvdecapp
std::vector<std::shared_ptr<dynamic_cache<TransformUnit>>, std::allocator<std::shared_ptr<dynamic_cache<TransformUnit>>>>::emplace_back<std::shared_ptr<dynamic_cache<TransformUnit>>>	64.000000	64.000000		2	vvdecapp
vvdec::VVDecImpl::getErrorMsg	61.000000	61.000000		1	vvdecapp
DecLib::DecLib	0.0	180096.000000	180096.000000	8	vvdecapp
DecLib::create	0.0	37888089.000000	37888089.000000	32	vvdecapp
DecLibParser::xActivateParameterSets	0.0	9168.000000	9168.000000	3	vvdecapp
DecLibParser::xDecodeAPS	0.0	16657.000000	16657.000000	4	vvdecapp
DecLibParser::xDecodePPS	0.0	2120.000000	2120.000000	2	vvdecapp
DecLibParser::xDecodeSPS	0.0	15818.000000	15818.000000	3	vvdecapp
DecLibParser::xDecodeSliceMain	0.0	1288.000000	1288.000000	4	vvdecapp
DecLibRecon::decompressPicture	0.0	21929604.000000	21929604.000000	330	vvdecapp
DecSlice::parseSlice	0.0	14498454.000000	14498454.000000	20	vvdecapp
HLSyntaxReader::parseSPS	0.0	14528.000000	14528.000000	4	vvdecapp
HLSyntaxReader::parseSliceHeader	0.0	2160.000000	2160.000000	4	vvdecapp
InputBitstream::extractSubstream	0.0	22619.000000	22619.000000	4	vvdecapp
NoMallocThreadPool::ChunkedTaskQueue::grow	0.0	9232.000000	9232.000000	1	vvdecapp
PPS::checkSliceMap	0.0	1080.000000	1080.000000	2	vvdecapp
PPS::initRectSliceMap	0.0	588.000000	588.000000	2	vvdecapp
PPS::initSubPic	0.0	104.000000	104.000000	1	vvdecapp
Partitioner::initCtu.constprop.391	0.0	32400.000000	32400.000000	405	vvdecapp
Partitioner::splitCurrArea	0.0	194880.000000	194880.000000	749	vvdecapp
Partitioner::splitCurrArea.constprop.406	0.0	86400.000000	86400.000000	270	vvdecapp
PartitionerImpl::getMaxTuTiling	0.0	8800.000000	8800.000000	30	vvdecapp
PelStorage::create.constprop.386	0.0	57507840.000000	57507840.000000	18	vvdecapp
PelStorage::create.constprop.387	0.0	28315648.000000	28315648.000000	156	vvdecapp
PicListManager::getNewPicBuffer	0.0	3936.000000	3936.000000	2	vvdecapp
Picture::allocateNewSlice	0.0	12224.000000	12224.000000	2	vvdecapp
SPS::createRPLList1	0.0	13616.000000	13616.000000	1	vvdecapp
SampleAdaptiveOffset::offsetCTU	0.0	34572.000000	34572.000000	268	vvdecapp
ScalingList::ScalingList	0.0	22016.000000	22016.000000	104	vvdecapp
detail::aligned_malloc<int>.constprop.251	0.0	786432.000000	786432.000000	48	vvdecapp
detail::aligned_malloc<short>.constprop.388	0.0	19322880.000000	19322880.000000	480	vvdecapp
initROM	0.0	282176.000000	282176.000000	107	vvdecapp
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>.isra.66.lto_priv.1013	0.0	36.000000	36.000000	1	vvdecapp
std::vector<Barrier const*, std::allocator<Barrier const*>>::emplace_back<Barrier const*>	0.0	2016.000000	2016.000000	63	vvdecapp
std::vector<DecLibParser::AccessUnitPicInfo, std::allocator<DecLibParser::AccessUnitPicInfo>>::_M_realloc_insert<DecLibParser::AccessUnitPicInfo const&>	0.0	64.000000	64.000000	2	vvdecapp
std::vector<unsigned char, std::allocator<unsigned char>>::_M_realloc_insert<unsigned char const&>	0.0	70176.000000	70176.000000	25	vvdecapp
std::vector<unsigned int, std::allocator<unsigned int>>::_M_realloc_insert<unsigned int>	0.0	4224.000000	4224.000000	16	vvdecapp
vvdec::VVDecImpl::xAddPicture	0.0	464.000000	464.000000	4	vvdecapp
[Unknown]				9	[Unknown]
