Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
NoMallocThreadPool::findNextTask	0.124002	0.124002	0.0	0.042022	0.049987	0.031992	0.0	0.0	0.0	vvdecapp	NoMallocThreadPool::findNextTask(int, NoMallocThreadPool::ChunkedTaskQueue::Iterator)	[Unknown]	0x69fc0
simdFilter7x7Blk<(X86_VEXT)4>	0.063889	0.063889	0.0	0.017902	0.029983	0.016004	0.0	0.0	0.0	vvdecapp	void simdFilter7x7Blk<(X86_VEXT)4>(AlfClassifier const*, UnitBuf<short> const&, UnitBuf<short const> const&, Area const&, ComponentID, short const*, short const*, ClpRngTemplate<short> const&, CodingStructure const&, int, int)	[Unknown]	0xea630
__memmove_avx_unaligned_erms	0.060101	0.060101	0.0	0.012010	0.007990	0.040101	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
sched_yield	0.019996	0.0	0.0	0.0	0.0	0.0	0.0	0.019996	0.0	libc.so.6	sched_yield	syscall-template.S	0x103ef0
fillN_CU_SIMD<(X86_VEXT)4>	0.012015	0.012015	0.0	0.012015	0.0	0.0	0.0	0.0	0.0	vvdecapp	void fillN_CU_SIMD<(X86_VEXT)4>(CodingUnit**, long, int, int, CodingUnit*)	[Unknown]	0xd7420
fastInv_SSE<(X86_VEXT)4, (int)8>	0.012012	0.012012	0.0	0.0	0.012012	0.0	0.0	0.0	0.0	vvdecapp	void fastInv_SSE<(X86_VEXT)4, (int)8>(short const*, int const*, int*, unsigned int, unsigned int, unsigned int, unsigned int)	[Unknown]	0x3cf30
BinDecoderBase::decodeRemAbsEP	0.012012	0.012012	0.0	0.012012	0.0	0.0	0.0	0.0	0.0	vvdecapp	BinDecoderBase::decodeRemAbsEP(unsigned int, unsigned int, int)	[Unknown]	0xbf590
InterPrediction::motionCompensation	0.012003	0.012003	0.0	0.012003	0.0	0.0	0.0	0.0	0.0	vvdecapp	InterPrediction::motionCompensation(CodingUnit&, UnitBuf<short>&, bool, bool)	[Unknown]	0xaaba0
BinDecoder::decodeBin	0.011993	0.011993	0.0	0.0	0.011993	0.0	0.0	0.0	0.0	vvdecapp	BinDecoder::decodeBin(unsigned int)	[Unknown]	0xc0b70
IntraPrediction::xGetLMParameters	0.011993	0.011993	0.0	0.0	0.011993	0.0	0.0	0.0	0.0	vvdecapp	IntraPrediction::xGetLMParameters(CodingUnit const&, ComponentID, CompArea const&, int&, int&, int&)	[Unknown]	0x15bcc0
[Outside any known module]	0.010000	0.010000	0.010000	0.0	0.0	0.0	0.0	0.0	0.0	[Unknown]	[Outside any known module]	[Unknown]	0x0
__memset_avx2_erms	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_erms	memset-vec-unaligned-erms.S	0x18ee60
operator new	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	operator new(unsigned long)	[Unknown]	0x93280
simdDeriveClassificationBlk<(X86_VEXT)4>	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	vvdecapp	void simdDeriveClassificationBlk<(X86_VEXT)4>(AlfClassifier*, AreaBuf<short const> const&, Area const&, int, int, int)	[Unknown]	0xef7d0
cpyResi_SSE<(X86_VEXT)4, (int)8>	0.008016	0.008016	0.0	0.008016	0.0	0.0	0.0	0.0	0.0	vvdecapp	void cpyResi_SSE<(X86_VEXT)4, (int)8>(int const*, short*, long, unsigned int, unsigned int)	[Unknown]	0x3d950
CABACReader::coding_tree	0.008007	0.008007	0.0	0.0	0.0	0.008007	0.0	0.0	0.0	vvdecapp	CABACReader::coding_tree(CodingStructure&, Partitioner&, CUCtx&)	[Unknown]	0xc92b0
__GI___libc_malloc	0.007988	0.007988	0.0	0.007988	0.0	0.0	0.0	0.0	0.0	libc.so.6	__GI___libc_malloc	malloc.c	0x97140
LoopFilter::loopFilterCTU.constprop.201	0.007988	0.007988	0.0	0.0	0.007988	0.0	0.0	0.0	0.0	vvdecapp	LoopFilter::loopFilterCTU(CodingStructure&, ChannelType, int, int, int, DeblockEdgeDir) const.constprop.201	[Unknown]	0x121270
CodingStructure::traverseCUs	0.007985	0.007985	0.0	0.0	0.0	0.007985	0.0	0.0	0.0	vvdecapp	CodingStructure::traverseCUs(UnitArea const&)	[Unknown]	0xa29b0
