Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
CABACReader::coding_tree	1163264.000000	1171456.000000	8192.000000	5	vvdecapp
CodingStructure::addTU	262144.000000	262144.000000		4	vvdecapp
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
Picture::destroy	16384.000000	16384.000000		1	vvdecapp
main	4320.000000	844703.000000	840383.000000	12	vvdecapp
ContextSetCfg::addCtxSet.constprop.23	1712.000000	3312.000000	1600.000000	16	vvdecapp
_GLOBAL__I_65535_0_vvdecapp.cpp.o.133926	1040.000000	1040.000000		1	vvdecapp
_GLOBAL__sub_I_NoMallocThreadPool.cpp.lto_priv.481	1040.000000	1040.000000		1	vvdecapp
__register_frame	528.000000	528.000000		11	libgcc_s.so.1
_GLOBAL__sub_I_CommonDefX86.cpp.lto_priv.461	432.000000	432.000000		6	vvdecapp
Picture::finalInit	256.000000	27376.000000	27120.000000	10	vvdecapp
_GLOBAL__sub_I_Contexts.cpp.lto_priv.518	96.000000	96.000000		1	vvdecapp
std::vector<std::shared_ptr<dynamic_cache<TransformUnit>>, std::allocator<std::shared_ptr<dynamic_cache<TransformUnit>>>>::emplace_back<std::shared_ptr<dynamic_cache<TransformUnit>>>	64.000000	64.000000		2	vvdecapp
vvdec::VVDecImpl::getErrorMsg	61.000000	61.000000		1	vvdecapp
DecLib::DecLib	0.0	180096.000000	180096.000000	8	vvdecapp
DecLib::create	0.0	37888089.000000	37888089.000000	32	vvdecapp
DecLibParser::xActivateParameterSets	0.0	9168.000000	9168.000000	3	vvdecapp
DecLibParser::xDecodeAPS	0.0	16725.000000	16725.000000	5	vvdecapp
DecLibParser::xDecodePPS	0.0	2120.000000	2120.000000	2	vvdecapp
DecLibParser::xDecodeSPS	0.0	15819.000000	15819.000000	3	vvdecapp
DecLibParser::xDecodeSliceMain	0.0	272.000000	272.000000	4	vvdecapp
DecLibRecon::decompressPicture	0.0	21925120.000000	21925120.000000	426	vvdecapp
DecSlice::parseSlice	0.0	863336.000000	863336.000000	4	vvdecapp
HLSyntaxReader::parseSPS	0.0	14528.000000	14528.000000	4	vvdecapp
HLSyntaxReader::parseSliceHeader	0.0	128.000000	128.000000	4	vvdecapp
InputBitstream::extractSubstream	0.0	11229.000000	11229.000000	4	vvdecapp
PPS::checkSliceMap	0.0	64.000000	64.000000	2	vvdecapp
PPS::initRectSliceMap	0.0	80.000000	80.000000	2	vvdecapp
PPS::initSubPic	0.0	104.000000	104.000000	1	vvdecapp
Partitioner::initCtu.constprop.391	0.0	1920.000000	1920.000000	24	vvdecapp
Partitioner::splitCurrArea	0.0	45920.000000	45920.000000	183	vvdecapp
Partitioner::splitCurrArea.constprop.406	0.0	5120.000000	5120.000000	16	vvdecapp
PartitionerImpl::getSbtTuTiling.constprop.410	0.0	800.000000	800.000000	5	vvdecapp
PelStorage::create.constprop.386	0.0	7938048.000000	7938048.000000	18	vvdecapp
PelStorage::create.constprop.387	0.0	4630528.000000	4630528.000000	156	vvdecapp
PicListManager::getNewPicBuffer	0.0	3936.000000	3936.000000	2	vvdecapp
Picture::allocateNewSlice	0.0	12224.000000	12224.000000	2	vvdecapp
SPS::createRPLList1	0.0	13616.000000	13616.000000	1	vvdecapp
SampleAdaptiveOffset::offsetCTU	0.0	1680.000000	1680.000000	16	vvdecapp
ScalingList::ScalingList	0.0	22016.000000	22016.000000	104	vvdecapp
detail::aligned_malloc<int>.constprop.251	0.0	786432.000000	786432.000000	48	vvdecapp
detail::aligned_malloc<short>.constprop.388	0.0	19388480.000000	19388480.000000	512	vvdecapp
initROM	0.0	282176.000000	282176.000000	107	vvdecapp
std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>::_M_construct<char*>.isra.66.lto_priv.1013	0.0	36.000000	36.000000	1	vvdecapp
std::vector<DecLibParser::AccessUnitPicInfo, std::allocator<DecLibParser::AccessUnitPicInfo>>::_M_realloc_insert<DecLibParser::AccessUnitPicInfo const&>	0.0	64.000000	64.000000	2	vvdecapp
std::vector<unsigned char, std::allocator<unsigned char>>::_M_realloc_insert<unsigned char const&>	0.0	34304.000000	34304.000000	21	vvdecapp
std::vector<unsigned int, std::allocator<unsigned int>>::_M_realloc_insert<unsigned int>	0.0	96.000000	96.000000	3	vvdecapp
vvdec::VVDecImpl::xAddPicture	0.0	464.000000	464.000000	4	vvdecapp
[Unknown]				9	[Unknown]
