Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
vvenc::DQIntern::DepQuant::xDecide	102.847941	102.847941	0.0	102.847941	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::DQIntern::DepQuant::xDecide(vvenc::DQIntern::ScanPosType, int, int, vvenc::DQIntern::Decision*, bool, int)	[Unknown]	0x2b0440
vvenc::DQIntern::DepQuant::xDecideAndUpdate	86.504175	86.504175	0.0	86.504175	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::DQIntern::DepQuant::xDecideAndUpdate(int, vvenc::DQIntern::ScanInfo const&, bool, int)	[Unknown]	0x2b1320
vvenc::DQIntern::State::updateState<(unsigned char)5>	54.180238	54.180238	0.0	54.180238	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::DQIntern::State::updateState<(unsigned char)5>(vvenc::DQIntern::ScanInfo const&, vvenc::DQIntern::State const*, vvenc::DQIntern::Decision const&)	[Unknown]	0x2b9e90
vvenc::DQIntern::State::updateState<(unsigned char)4>	44.610265	44.610265	0.0	44.610265	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::DQIntern::State::updateState<(unsigned char)4>(vvenc::DQIntern::ScanInfo const&, vvenc::DQIntern::State const*, vvenc::DQIntern::Decision const&)	[Unknown]	0x2b9bc0
vvenc::BitEstimator::encodeBin	42.891808	42.891808	0.0	42.891808	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::BitEstimator::encodeBin(unsigned int, unsigned int)	[Unknown]	0x2c9300
vvenc::CABACWriter::residual_coding_subblock	35.433866	35.433866	0.0	35.433866	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::CABACWriter::residual_coding_subblock(vvenc::CoeffCodingContext&, int const*, int, int&)	[Unknown]	0x2d3b60
vvenc::DQIntern::DepQuant::quant	34.296232	34.296232	0.0	34.296232	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::DQIntern::DepQuant::quant(vvenc::TransformUnit&, vvenc::AreaBuf<int const> const&, vvenc::ComponentID, vvenc::QpParam const&, double, vvenc::Ctx const&, int&, bool, int*)	[Unknown]	0x2b4070
vvenc::DQIntern::State::updateState<(unsigned char)2>	27.468078	27.468078	0.0	27.468078	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::DQIntern::State::updateState<(unsigned char)2>(vvenc::DQIntern::ScanInfo const&, vvenc::DQIntern::State const*, vvenc::DQIntern::Decision const&)	[Unknown]	0x2b96e0
__memmove_avx_unaligned_erms	23.803941	23.803941	0.0	23.803941	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
vvenc::RdCost::xGetHADs_SIMD<(vvenc::X86_VEXT)4>	20.351935	20.351935	0.0	20.351935	0.0	0.0	0.0	0.0	0.0	vvencFFapp	unsigned long vvenc::RdCost::xGetHADs_SIMD<(vvenc::X86_VEXT)4>(vvenc::DistParam const&)	[Unknown]	0xd23a0
vvenc::fastFwd_SSE<(vvenc::X86_VEXT)4, (int)8>	18.148064	18.148064	0.0	18.148064	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::fastFwd_SSE<(vvenc::X86_VEXT)4, (int)8>(short const*, int const*, int*, unsigned int, unsigned int, unsigned int, unsigned int, int)	[Unknown]	0xd81d0
vvenc::QuantRDOQ::rateDistOptQuantTS	15.019987	15.019987	0.0	15.019987	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::QuantRDOQ::rateDistOptQuantTS(vvenc::TransformUnit&, vvenc::ComponentID, vvenc::AreaBuf<int const> const&, int&, vvenc::QpParam const&, vvenc::Ctx const&)	[Unknown]	0x33c0c0
vvenc::TrQuant::xInvLfnstNxN	12.955970	12.955970	0.0	12.955970	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::TrQuant::xInvLfnstNxN(int*, int*, unsigned int, unsigned int, unsigned int, int)	[Unknown]	0x22bb40
vvenc::simdFilter4x4_N6<(vvenc::X86_VEXT)4, (bool)1>	10.659836	10.659836	0.0	10.659836	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::simdFilter4x4_N6<(vvenc::X86_VEXT)4, (bool)1>(vvenc::ClpRng const&, short const*, int, short*, int, int, int, short const*, short const*)	[Unknown]	0xb9370
vvenc::DQIntern::RateEstimator::xSetGtxFlagBits	10.599958	10.599958	0.0	10.599958	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::DQIntern::RateEstimator::xSetGtxFlagBits(vvenc::CtxStore const&, vvenc::ChannelType)	[Unknown]	0x2afad0
__memset_avx2_unaligned_erms	10.288016	10.288016	0.0	10.288016	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_unaligned_erms	memset-vec-unaligned-erms.S	0x18ee90
vvenc::DQIntern::State::updateState<(unsigned char)3>	9.523760	9.523760	0.0	9.523760	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::DQIntern::State::updateState<(unsigned char)3>(vvenc::DQIntern::ScanInfo const&, vvenc::DQIntern::State const*, vvenc::DQIntern::Decision const&)	[Unknown]	0x2b9930
