Class,CPU Time (%)
xRateDistOptQuant,19.422
xPredIntraAng,8.615
xIntraCodingTUBlock,7.156
codeCoeffNxN,2.158
estIntraPredLumaQT,2.102
xCalcHADs4x4,1.963
initIntraPatternChType,1.901
estBit,1.843
getIntraDirPredictor,1.751
xRecurIntraCodingLumaQT,1.183
getSigCtxInc,1.163
codeIntraDirLumaAng,1.155
predIntraAng,1.11
encodeBin,1.096
xDeQuant,1.079
estLastSignificantPositionBit,0.897
xGetSSE8,0.872
xT,0.852
getAddr,0.783
xGetHADs,0.746
copyState,0.7
getCoefScanIdx,0.668
xPredIntraPlanar,0.667
estSignificantMapBit,0.659
xGetSSE32,0.653
xGetSSE16,0.633
xGetSSE4,0.629
xIT,0.614
transformNxN,0.561
xRecurIntraChromaCodingQT,0.552
getPUAboveRight,0.522
nextSection,0.506
xGetIntraBitsQT,0.477
xEncCoeffQT,0.434
xLoadIntraResultQT,0.428
xEncSubdivCbfQT,0.412
QpParam,0.407
store,0.391
copyPartToPartComponent,0.375
getPUBelowLeft,0.372
getBlkStats,0.367
rdpcmNxN,0.366
xTransformSkip,0.336
initEstData,0.334
filteringIntraReferenceSamples,0.332
xQuant,0.298
TComTU,0.286
resetBits,0.285
getTEncBinCABAC,0.282
codeQtCbf,0.28
codeLastSignificantXY,0.272
getNumWrittenBits,0.262
getDistPart,0.257
countNonZeroCoeffs,0.254
load,0.248
UseDPCMForFirstPassIntraEstimation,0.245
xWriteCoefRemainExGolomb,0.211
getQuadtreeTULog2MinSizeInCU,0.184
encodeCoeffNxN,0.175
xEncIntraHeader,0.155
encodeBinsEP,0.152
invTransformNxN,0.146
getPUAbove,0.145
loadIntraDirMode,0.144
getPULeft,0.139
estimateBit,0.129
xEncodeTransform,0.123
getPUAboveLeft,0.123
initSubCU,0.12
xSetIntraResultChromaQT,0.111
xCompressCU,0.108
estIntraPredChromaQT,0.106
getGolombRiceStatisticsIndex,0.092
xCheckRDCostIntra.part.107,0.089
invRdpcmNxN,0.084
xStoreIntraResultQT,0.082
copyToPicYuv,0.082
GetEquivalentLog2TrSize,0.068
setTransformSkipSubParts,0.067
xSetIntraResultLumaQT,0.066
copyToPartYuv,0.066
copyPartFrom,0.062
codeIntraDirChroma,0.06
xEdgeFilterLuma,0.056
setTrIdxSubParts,0.055
calcRdCost,0.055
codePartSize,0.054
clearMvField,0.05
copyToPic,0.049
ostream,0.046
calcPatternSigCtx,0.044
useDST,0.042
encodeBinEP,0.041
xITransformSkip,0.041
getNumberOfWrittenBits,0.039
setIntraDirSubParts,0.037
encodeIntraDirModeLuma,0.033
setCbfPartRange,0.03
getSigCoeffGroupCtxInc,0.028
xCalculateAddPSNR,0.028
copyToPicComponent,0.028
codeTransformSubdivFlag,0.026
loopFilterPic,0.025
getCtxQtCbf,0.025
TComTURecurse,0.025
setExplicitRdpcmModePartRange,0.024
offsetBlock,0.023
read,0.022
isNonTransformedResidualRotated,0.02
copyFromPicYuv,0.02
write,0.018
setCbfSubParts,0.017
encodeQtCbf,0.016
xSetEdgefilterTU,0.015
setCrossComponentPredictionAlphaPartRange,0.014
getAllowedChromaDir,0.012
compress,0.012
setDistParam,0.012
setTransformSkipPartRange,0.012
istream,0.011
deriveModeNewRDO,0.01
encodePartSize,0.01
getIntraSizeIdx,0.01
xComputeQP,0.009
xEdgeFilterChroma,0.007
encodeTransformSubdivFlag,0.005
deriveOffsets,0.005
getCtxSplitFlag,0.005
encodeIPCMInfo,0.005
encodePredInfo,0.005
initCtu,0.005
addSubstream,0.005
setSkipFlagSubParts,0.004
encodeCoeff,0.004
writeOut,0.003
finishCU,0.003
xEncodeCU,0.003
codeSplitFlag,0.003
"basic_filebuf<char, std",0.003
copyTo,0.003
create,0.002
codeSAOBlkParam,0.002
encodePredMode,0.002
xGetBoundaryStrengthSingle,0.002
compressSlice,0.001
extendPicBorder,0.001
codeCrossComponentPrediction,0.001
encodeCtu,0.001
xCheckDQP,0.001
setPartSizeSubParts,0.001
xSetEdgefilterPU,0.001
copyFrom,0.001
isLosslessCoded,0.001
