Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
main	4096.000000	4096.000000		1	TAppEncoderStatic
__libc_csu_init	1040.000000	1040.000000		1	TAppEncoderStatic
__static_initialization_and_destruction_0.constprop.69	1040.000000	1250.000000	210.000000	5	TAppEncoderStatic
EnvVar::EnvVar	690.000000	690.000000		10	TAppEncoderStatic
__register_frame	480.000000	480.000000		10	libgcc_s.so.1
_GLOBAL__sub_I__ZN3SEI19prefix_sei_messagesE	212.000000	212.000000		2	TAppEncoderStatic
indentNewLines	210.000000	636.000000	426.000000	10	TAppEncoderStatic
TAppEncCfg::parseCfg	0.0	52090.000000	52090.000000	451	TAppEncoderStatic
TAppEncCfg::xCheckParameter	0.0	95.000000	95.000000	1	TAppEncoderStatic
TAppEncTop::encode	0.0	8864.000000	8864.000000	3	TAppEncoderStatic
TAppEncTop::xGetBuffer	0.0	120.000000	120.000000	1	TAppEncoderStatic
TComCUMvField::create	0.0	235020032.000000	235020032.000000	306032	TAppEncoderStatic
TComDataCU::create	0.0	1149111680.000000	1149111680.000000	969200	TAppEncoderStatic
TComLoopFilter::create	0.0	1024.000000	1024.000000	4	TAppEncoderStatic
TComOutputBitstream::addSubstream	0.0	25424768.000000	25424768.000000	1294	TAppEncoderStatic
TComOutputBitstream::write	0.0	12715584.000000	12715584.000000	747	TAppEncoderStatic
TComPic::create	0.0	960.000000	960.000000	8	TAppEncoderStatic
TComPic::prepareForEncoderSourcePicYuv	0.0	11040.000000	11040.000000	92	TAppEncoderStatic
TComPic::prepareForReconstruction	0.0	6000.000000	6000.000000	50	TAppEncoderStatic
TComPicSym::TComPicSym	0.0	2304.000000	2304.000000	8	TAppEncoderStatic
TComPicSym::allocateNewSlice	0.0	298080.000000	298080.000000	54	TAppEncoderStatic
TComPicSym::create	0.0	1081280.000000	1081280.000000	24	TAppEncoderStatic
TComPicSym::prepareForReconstruction	0.0	31620400.000000	31620400.000000	76600	TAppEncoderStatic
TComPicSym::xInitTiles	0.0	128.000000	128.000000	4	TAppEncoderStatic
TComPicYuv::create	0.0	955968.000000	955968.000000	624	TAppEncoderStatic
TComPicYuv::createWithoutCUInfo	0.0	1207065600.000000	1207065600.000000	468	TAppEncoderStatic
