Class,CPU Time (%)
xRateDistOptQuant,22.457
xPredIntraAng,8.027
xIntraCodingTUBlock,6.741
codeCoeffNxN,3.761
estIntraPredLumaQT,1.826
xCalcHADs4x4,1.814
getSigCtxInc,1.73
encodeBin,1.694
estBit,1.61
initIntraPatternChType,1.58
getIntraDirPredictor,1.454
getAddr,1.214
xRecurIntraCodingLumaQT,1.105
codeIntraDirLumaAng,1.093
xGetSSE8,0.997
predIntraAng,0.889
xDeQuant,0.853
estSignificantMapBit,0.745
nextSection,0.709
getCoefScanIdx,0.697
xIT,0.613
store,0.589
xPredIntraPlanar,0.577
transformNxN,0.577
xGetSSE4,0.565
xGetHADs,0.565
QpParam,0.553
xGetSSE16,0.553
copyState,0.541
xEncSubdivCbfQT,0.541
xRecurIntraChromaCodingQT,0.541
xT,0.517
getDistPart,0.493
filteringIntraReferenceSamples,0.469
estLastSignificantPositionBit,0.445
copyPartToPartComponent,0.433
rdpcmNxN,0.433
TComTU,0.433
xGetSSE32,0.421
getPUAboveRight,0.421
xEncCoeffQT,0.384
getPUBelowLeft,0.384
xLoadIntraResultQT,0.36
xQuant,0.349
codeLastSignificantXY,0.324
countNonZeroCoeffs,0.3
getTEncBinCABAC,0.276
xTransformSkip,0.264
getBlkStats,0.24
xWriteCoefRemainExGolomb,0.24
xGetIntraBitsQT,0.24
codeQtCbf,0.216
initEstData,0.204
estIntraPredChromaQT,0.192
encodeCoeffNxN,0.192
UseDPCMForFirstPassIntraEstimation,0.192
invRdpcmNxN,0.18
getNumWrittenBits,0.18
xStoreIntraResultQT,0.168
initSubCU,0.168
load,0.168
resetBits,0.168
loadIntraDirMode,0.144
xEncodeTransform,0.132
encodeBinsEP,0.132
getGolombRiceStatisticsIndex,0.132
getQuadtreeTULog2MinSizeInCU,0.108
getPUAbove,0.108
xSetIntraResultChromaQT,0.096
getPUAboveLeft,0.096
copyPartFrom,0.084
estimateBit,0.084
getPULeft,0.084
xCalculateAddPSNR,0.072
xEdgeFilterLuma,0.072
getSigCoeffGroupCtxInc,0.072
codeIntraDirChroma,0.072
copyToPicYuv,0.072
copyToPic,0.072
copyToPartYuv,0.06
getIntraSizeIdx,0.06
useDST,0.06
xCompressCU,0.06
getNumberOfWrittenBits,0.06
xDeblockCU,0.06
calcPatternSigCtx,0.06
xEncIntraHeader,0.06
invTransformNxN,0.048
istream,0.036
setDistParam,0.036
xSetIntraResultLumaQT,0.036
isLosslessCoded,0.036
deriveModeNewRDO,0.036
TComTURecurse,0.036
setTrIdxSubParts,0.036
loopFilterPic,0.036
encodeBinEP,0.036
setIntraDirSubParts,0.036
encodePredInfo,0.036
encodeIntraDirModeLuma,0.036
clearMvField,0.036
xSetLoopfilterParam,0.036
GetEquivalentLog2TrSize,0.036
calcRdCost,0.024
finishCU,0.024
setQPSubParts,0.024
copyTo,0.024
xEdgeFilterChroma,0.024
deriveOffsets,0.024
offsetBlock,0.024
codePartSize,0.024
encodePredMode,0.024
xSetEdgefilterPU,0.024
