Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
__memmove_avx_unaligned_erms	0.035927	0.035927	0.0	0.035927	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
__libc_calloc	0.024032	0.024032	0.0	0.024032	0.0	0.0	0.0	0.0	0.0	libc.so.6	__libc_calloc	malloc.c	0x9a170
TComInterpolationFilter::filter<(int)8, (bool)0, (bool)1, (bool)0>	0.020001	0.020001	0.0	0.020001	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	void TComInterpolationFilter::filter<(int)8, (bool)0, (bool)1, (bool)0>(int, short const*, int, short*, int, int, int, short const*)	[Unknown]	0x9d1e0
partialButterflyInverse32	0.019997	0.019997	0.0	0.019997	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	partialButterflyInverse32(int*, int*, int, int, int, int)	[Unknown]	0x8daa0
TComTrQuant::xDeQuant	0.019991	0.019991	0.0	0.019991	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComTrQuant::xDeQuant(TComTU&, int const*, int*, ComponentID, QpParam const&)	[Unknown]	0x91730
TComLoopFilter::xEdgeFilterChroma	0.012004	0.012004	0.0	0.012004	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComLoopFilter::xEdgeFilterChroma(TComDataCU*, unsigned int, unsigned int, DeblockEdgeDir, int)	[Unknown]	0x61370
TComLoopFilter::xEdgeFilterLuma	0.012002	0.012002	0.0	0.012002	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComLoopFilter::xEdgeFilterLuma(TComDataCU*, unsigned int, unsigned int, DeblockEdgeDir, int)	[Unknown]	0x606d0
TComPrediction::initIntraPatternChType	0.012001	0.012001	0.0	0.012001	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComPrediction::initIntraPatternChType(TComTU&, ComponentID, bool)	[Unknown]	0x6c8c0
TDecCu::xIntraRecBlk	0.012001	0.012001	0.0	0.012001	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TDecCu::xIntraRecBlk(TComYuv*, TComYuv*, TComYuv*, ComponentID, TComTU&)	[Unknown]	0x35000
TComInterpolationFilter::filter<(int)8, (bool)1, (bool)0, (bool)1>	0.012001	0.012001	0.0	0.012001	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	void TComInterpolationFilter::filter<(int)8, (bool)1, (bool)0, (bool)1>(int, short const*, int, short*, int, int, int, short const*)	[Unknown]	0xa1ad0
TDecCu::xDecompressCU	0.011998	0.011998	0.0	0.011998	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TDecCu::xDecompressCU(TComDataCU*, unsigned int, unsigned int)	[Unknown]	0x41b30
[Outside any known module]	0.008077	0.008077	0.0	0.008077	0.0	0.0	0.0	0.0	0.0	[Unknown]	[Outside any known module]	[Unknown]	0x0
TDecCu::xReconIntraQT	0.008009	0.008009	0.0	0.008009	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TDecCu::xReconIntraQT(TComDataCU*, unsigned int)	[Unknown]	0x3b9e0
std::istream::get	0.008000	0.008000	0.0	0.008000	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	std::istream::get(void)	[Unknown]	0xfbaa0
TComInterpolationFilter::filter<(int)4, (bool)0, (bool)1, (bool)0>	0.007999	0.007999	0.0	0.007999	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	void TComInterpolationFilter::filter<(int)4, (bool)0, (bool)1, (bool)0>(int, short const*, int, short*, int, int, int, short const*)	[Unknown]	0x9ec90
TComCUMvField::compress	0.007998	0.007998	0.0	0.007998	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComCUMvField::compress(signed char*, signed char const*, int, TComCUMvField const&)	[Unknown]	0x6b000
TComLoopFilter::loopFilterPic	0.007998	0.007998	0.0	0.007998	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComLoopFilter::loopFilterPic(TComPic*)	[Unknown]	0x620b0
TDecBinCABAC::decodeBinsEP	0.007997	0.007997	0.0	0.007997	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TDecBinCABAC::decodeBinsEP(unsigned int&, int)	[Unknown]	0x2bd70
TDecSbac::parseCoeffNxN	0.007997	0.007997	0.0	0.007997	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TDecSbac::parseCoeffNxN(TComTU&, ComponentID)	[Unknown]	0x472a0
TComLoopFilter::xSetLoopfilterParam	0.007995	0.007995	0.0	0.007995	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComLoopFilter::xSetLoopfilterParam(TComDataCU*, unsigned int)	[Unknown]	0x60130
__GI_	0.007994	0.007994	0.0	0.007994	0.0	0.0	0.0	0.0	0.0	libc.so.6	float __GI_(long, int, bool, char)	malloc.c	0x97a30
operator new	0.007981	0.007981	0.0	0.007981	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	operator new(unsigned long)	[Unknown]	0x93280
