Class,CPU Time (%)
xRateDistOptQuant,17.512
xPredIntraAng,9.764
xIntraCodingTUBlock,7.446
xCalcHADs4x4,2.243
estIntraPredLumaQT,2.13
initIntraPatternChType,1.923
estBit,1.904
codeCoeffNxN,1.489
codeIntraDirLumaAng,1.338
xRecurIntraCodingLumaQT,1.301
getIntraDirPredictor,1.301
predIntraAng,1.131
estLastSignificantPositionBit,1.093
xGetSSE8,0.961
xGetSSE16,0.924
encodeBin,0.905
xDeQuant,0.886
xT,0.867
xIT,0.811
getSigCtxInc,0.792
codeQtCbf,0.735
xGetSSE4,0.716
getAddr,0.697
copyState,0.697
xGetHADs,0.679
getCoefScanIdx,0.679
estSignificantMapBit,0.66
nextSection,0.66
xGetIntraBitsQT,0.603
getPUAboveRight,0.584
xPredIntraPlanar,0.584
filteringIntraReferenceSamples,0.566
rdpcmNxN,0.547
xRecurIntraChromaCodingQT,0.528
getNumWrittenBits,0.49
xLoadIntraResultQT,0.452
xQuant,0.434
getPUBelowLeft,0.415
copyPartToPartComponent,0.415
xTransformSkip,0.396
transformNxN,0.396
store,0.377
xEncSubdivCbfQT,0.358
xEncCoeffQT,0.358
xGetSSE32,0.358
countNonZeroCoeffs,0.339
getPULeft,0.339
TComTU,0.302
UseDPCMForFirstPassIntraEstimation,0.302
getDistPart,0.302
initEstData,0.264
getBlkStats,0.264
getTEncBinCABAC,0.245
load,0.245
setTrIdxSubParts,0.245
invRdpcmNxN,0.226
QpParam,0.226
encodeCoeffNxN,0.207
codeIntraDirChroma,0.17
loadIntraDirMode,0.17
encodeBinsEP,0.17
getGolombRiceStatisticsIndex,0.151
initSubCU,0.151
getQuadtreeTULog2MinSizeInCU,0.151
setTransformSkipSubParts,0.151
xWriteCoefRemainExGolomb,0.132
estIntraPredChromaQT,0.132
resetBits,0.132
estimateBit,0.113
copyToPic,0.094
setIntraDirSubParts,0.094
xCheckRDCostIntra.part.107,0.094
xStoreIntraResultQT,0.094
GetEquivalentLog2TrSize,0.094
setCbfSubParts,0.094
getCtxQtCbf,0.094
encodeIntraDirModeLuma,0.075
xCompressCU,0.075
copyFrom,0.057
xSetIntraResultLumaQT,0.057
xSetLoopfilterParam,0.057
calcRdCost,0.057
getPUAbove,0.057
setExplicitRdpcmModePartRange,0.057
xSetEdgefilterTU,0.057
getPUAboveLeft,0.057
codePartSize,0.057
xComputeQP,0.057
invTransformNxN,0.057
copyFromPicYuv,0.057
writeOut,0.057
read,0.047
getNumberOfWrittenBits,0.038
encodeBinEP,0.038
copyToPartYuv,0.038
copyToPicYuv,0.038
codeLastSignificantXY,0.038
xEncodeTransform,0.038
encodeQtCbf,0.038
xEncIntraHeader,0.038
