Class,CPU Time (%)
xRateDistOptQuant,23.999
xPredIntraAng,12.802
codeCoeffNxN,4.0
xIntraCodingTUBlock,3.999
xPredIntraPlanar,3.6
getSigCtxInc,3.4
initIntraPatternChType,2.4
codeLastSignificantXY,2.4
xWriteCoefRemainExGolomb,2.0
xTransformSkip,2.0
estIntraPredLumaQT,1.999
resetBits,1.999
xQuant,1.802
xGetIntraBitsQT,1.2
rdpcmNxN,1.2
predIntraAng,1.2
xRecurIntraCodingLumaQT,1.2
codeIntraDirLumaAng,1.2
encodeBinsEP,1.2
copyState,1.2
getAddr,0.803
getQuadtreeTULog2MinSizeInCU,0.8
xEncSubdivCbfQT,0.8
xGetSSE32,0.8
countNonZeroCoeffs,0.8
xDeQuant,0.8
encodeBin,0.8
estBit,0.8
