Class,CPU Time (%)
xRateDistOptQuant,29.022
codeCoeffNxN,7.999
xPredIntraAng,6.697
encodeBin,5.023
xIntraCodingTUBlock,4.465
getSigCtxInc,4.093
xCalcHADs4x4,1.86
predIntraAng,1.582
xDeQuant,1.489
codeLastSignificantXY,1.488
estBit,1.303
xRecurIntraChromaCodingQT,1.302
resetBits,1.116
getIntraDirPredictor,0.931
getPUAboveRight,0.93
estIntraPredLumaQT,0.93
codeIntraDirLumaAng,0.93
encodeBinsEP,0.745
getAddr,0.745
xGetSSE8,0.744
getSigCoeffGroupCtxInc,0.744
getPUAbove,0.558
estimateBit,0.558
xRecurIntraCodingLumaQT,0.558
xGetBoundaryStrengthSingle,0.558
initIntraPatternChType,0.558
encodeQtCbf,0.558
useDST,0.558
copyTo,0.558
xGetSSE4,0.558
xWriteCoefRemainExGolomb,0.558
QpParam,0.558
getDistPart,0.558
getNumWrittenBits,0.373
xGetHADs,0.372
xGetIntraBitsQT,0.372
xQuant,0.372
xITransformSkip,0.372
invRdpcmNxN,0.372
transformNxN,0.372
xEncCoeffQT,0.372
xSetIntraResultChromaQT,0.372
