Class,CPU Time (%)
xRateDistOptQuant,17.783
xPredIntraAng,3.4
"filter<(int)8, (bool)1, (bool)0, (bool)1>",3.124
"filter<(int)8, (bool)0, (bool)1, (bool)0>",3.048
xEstimateInterResidualQT,2.925
xIntraCodingTUBlock,2.687
xCalcHADs4x4,2.137
codeCoeffNxN,1.833
xGetSSE16,1.709
estBit,1.444
filterCopy,1.301
xGetSSE8,1.22
xGetSSE32,1.083
xT,1.021
initIntraPatternChType,0.969
xGetSSE4,0.95
transformNxN,0.845
estIntraPredLumaQT,0.693
encodeBin,0.674
"filter<(int)4, (bool)0, (bool)1, (bool)0>",0.665
estLastSignificantPositionBit,0.655
xGetExpGolombNumberOfBits,0.655
estSignificantMapBit,0.646
getDistPart,0.636
xDeQuant,0.589
xIT,0.551
xGetHADs,0.541
getSigCtxInc,0.541
copyState,0.532
getIntraDirPredictor,0.503
predInterSearch,0.475
xGetSAD8,0.475
resetBits,0.446
copyPartToPartYuv,0.437
nextSection,0.427
xPredInterUni,0.418
QpParam,0.408
xPatternSearch,0.408
xTransformSkip,0.399
xRecurIntraCodingLumaQT,0.361
TComTU,0.361
xTZSearchHelp,0.351
xQuant,0.351
xGetSAD16,0.342
getCoefScanIdx,0.332
predIntraAng,0.332
getAddr,0.332
xPredIntraPlanar,0.313
addAvg,0.294
countNonZeroCoeffs,0.294
initEstData,0.294
xEncodeInterResidualQT,0.285
store,0.266
"filter<(int)4, (bool)1, (bool)0, (bool)1>",0.266
codeQtCbf,0.266
"filter<(int)4, (bool)1, (bool)0, (bool)0>",0.256
xPatternRefinement,0.256
codeLastSignificantXY,0.256
getInterMergeCandidates,0.247
getNumWrittenBits,0.237
xGetSSE64,0.237
getPUAboveRight,0.237
rdpcmNxN,0.237
xGetIntraBitsQT,0.228
xGetSAD32,0.209
getBlkStats,0.209
fillMvpCand,0.199
codeIntraDirLumaAng,0.199
addClip,0.19
xRecurIntraChromaCodingQT,0.19
encodeResAndCalcRdInterCU,0.18
xEncSubdivCbfQT,0.171
"filter<(int)8, (bool)1, (bool)0, (bool)0>",0.161
invTransformNxN,0.161
load,0.161
codeQtCbfZero,0.152
removeHighFreq,0.152
encodeCoeffNxN,0.152
calcRdCost,0.142
getPartIndexAndSize,0.133
getPUAboveLeft,0.133
subtract,0.133
getPUBelowLeft,0.133
getTEncBinCABAC,0.133
filteringIntraReferenceSamples,0.133
setAllMvField,0.123
xWriteCoefRemainExGolomb,0.123
xCheckRDCostMerge2Nx2N,0.123
xPredInterBlk,0.123
UseDPCMForFirstPassIntraEstimation,0.114
clear,0.114
getPULeft,0.114
"filter<(int)8, (bool)1, (bool)1, (bool)1>",0.104
xEncodeTransform,0.104
copyPartToPartComponent,0.104
xGetSAD64,0.104
xEncIntraHeader,0.095
xCheckBestMVP,0.095
xPredInterBi,0.095
"filter<(int)4, (bool)0, (bool)1, (bool)1>",0.095
xGetInterPredictionError,0.085
filterVer,0.085
useDST,0.085
xGetSAD4,0.085
xLoadIntraResultQT,0.085
copyToPicYuv,0.085
"filter<(int)4, (bool)1, (bool)1, (bool)1>",0.085
setDistParam,0.076
xExtDIFUpSamplingQ,0.076
setMVPNumSubParts,0.076
xTZ8PointDiamondSearch,0.076
encodeBinsEP,0.067
xCompressCU,0.066
clearMvField,0.066
xTZSearch,0.066
xGetColMVP,0.066
getGolombRiceStatisticsIndex,0.066
"filter<(int)8, (bool)0, (bool)1, (bool)1>",0.066
setExplicitRdpcmModePartRange,0.066
getQuadtreeTULog2MinSizeInCU,0.057
setMVPIdxSubParts,0.057
xExtDIFUpSamplingH,0.057
motionCompensation,0.057
copyToPic,0.057
estIntraPredChromaQT,0.057
setTrIdxSubParts,0.057
filterHor,0.057
xEncCoeffQT,0.057
estimateBit,0.047
codeIntraDirChroma,0.047
"filter<(int)8, (bool)1, (bool)1, (bool)0>",0.047
setAllMvd,0.047
GetEquivalentLog2TrSize,0.047
xCheckIdenticalMotion,0.047
getCtxQtCbf,0.047
xCheckRDCostIntra.part.107,0.047
copyPartFrom,0.047
deriveLeftBottomIdxGeneral,0.047
xMotionEstimation.constprop.111,0.047
xStoreIntraResultQT,0.038
getNumberOfWrittenBits,0.038
setAllRefIdx,0.038
setCrossComponentPredictionAlphaPartRange,0.038
xGetSAD24,0.038
read,0.029
copyToPartYuv,0.029
encodeQtCbfZero,0.029
xEdgeFilterLuma,0.029
getMvField,0.028
deriveRightBottomIdx,0.028
encodeIntraDirModeLuma,0.028
xSetInterResidualQTData,0.028
setInterDirSubParts,0.028
xCalculateAddPSNR,0.028
getSigCoeffGroupCtxInc,0.028
setAllMv,0.028
xSetIntraResultChromaQT,0.028
codePartSize,0.028
isLosslessCoded,0.028
setMergeFlagSubParts,0.028
invRdpcmNxN,0.028
xGetSAD12,0.028
istream,0.028
clipMv,0.028
setChromaQpAdjSubParts,0.028
deriveLeftBottomIdx,0.028
setCbfPartRange,0.028
calcPatternSigCtx,0.019
encodeBinEP,0.019
write,0.019
destroy,0.019
xPatternSearchFracDIF,0.019
xAddSymbolBitsInter,0.019
setIntraDirSubParts,0.019
xAddMVPCandUnscaled,0.019
getCtxSkipFlag,0.019
xComputeQP,0.019
xGetTemplateCost,0.019
xGetSAD,0.019
copyToPicComponent,0.019
xCheckRDCostInter,0.019
initSubCU,0.019
xEncodeCU,0.019
TComTURecurse,0.019
copyPartToPartComponentMxN,0.019
loadIntraDirMode,0.019
compressSlice,0.019
"filter<(int)4, (bool)1, (bool)1, (bool)0>",0.019
getPartPosition,0.019
