Class,CPU Time (%)
xRateDistOptQuant,12.529
"filter<(int)8, (bool)0, (bool)1, (bool)0>",8.193
"filter<(int)8, (bool)1, (bool)0, (bool)1>",5.782
codeCoeffNxN,4.819
xIntraCodingTUBlock,4.336
filterCopy,3.373
rdpcmNxN,2.41
initEstData,2.41
transformNxN,2.41
xPredIntraAng,2.171
xEstimateInterResidualQT,1.928
initIntraPatternChType,1.927
getNumWrittenBits,1.446
xCalculateAddPSNR,1.446
xTransformSkip,1.446
xEncCoeffQT,1.446
xGetSAD16,1.446
xEncodeInterResidualQT,1.446
getPUAbove,1.446
xRecurIntraCodingLumaQT,1.446
codeQtCbf,1.446
"filter<(int)8, (bool)0, (bool)1, (bool)1>",1.446
QpParam,1.446
xPatternRefinement,1.446
estIntraPredLumaQT,1.446
xCompressCU,1.445
xGetHADs,1.445
xGetSAD8,0.964
estLastSignificantPositionBit,0.964
encodeBin,0.964
setAllMvField,0.964
addAvg,0.964
xGetExpGolombNumberOfBits,0.964
predInterSearch,0.964
xT,0.964
filterVer,0.964
