Class,CPU Time (%)
xRateDistOptQuant,25.0
codeCoeffNxN,4.999
"filter<(int)8, (bool)1, (bool)0, (bool)1>",3.649
xEstimateInterResidualQT,3.108
getSigCtxInc,1.892
encodeBin,1.892
xCalcHADs4x4,1.757
estLastSignificantPositionBit,1.757
xIntraCodingTUBlock,1.487
filterCopy,1.486
xDeQuant,1.352
"filter<(int)8, (bool)0, (bool)1, (bool)0>",1.351
xPredIntraAng,1.216
xGetSAD16,1.216
initIntraPatternChType,1.082
transformNxN,1.081
xGetHADs,0.946
xPatternRefinement,0.811
getCoefScanIdx,0.811
codeIntraDirLumaAng,0.811
countNonZeroCoeffs,0.811
copyPartToPartYuv,0.811
getIntraDirPredictor,0.811
xWriteCoefRemainExGolomb,0.811
subtract,0.676
codeQtCbf,0.676
xT,0.676
xTransformSkip,0.676
getNumWrittenBits,0.676
copyState,0.675
xGetSSE32,0.541
getDistPart,0.54
estSignificantMapBit,0.54
xGetSSE8,0.54
estIntraPredLumaQT,0.406
codeLastSignificantXY,0.406
xRecurIntraChromaCodingQT,0.406
xCheckRDCostMerge2Nx2N,0.406
getNumberOfWrittenBits,0.405
TComTU,0.405
resetBits,0.405
estBit,0.405
addAvg,0.405
store,0.405
nextSection,0.405
xGetSAD4,0.405
encodeBinsEP,0.405
getQtRootCbf,0.405
xPatternSearch,0.405
xGetSSE4,0.405
xPredIntraPlanar,0.405
rdpcmNxN,0.405
getPUBelowLeft,0.405
xGetIntraBitsQT,0.405
isLosslessCoded,0.27
xEncIntraHeader,0.27
xGetExpGolombNumberOfBits,0.27
"filter<(int)8, (bool)0, (bool)1, (bool)1>",0.27
filteringIntraReferenceSamples,0.27
"filter<(int)4, (bool)0, (bool)1, (bool)0>",0.27
getInterMergeCandidates,0.27
initEstData,0.27
setMVPNumSubParts,0.27
getCtxQtCbf,0.27
getCtxSkipFlag,0.27
xSetInterResidualQTData,0.27
setDistParam,0.27
xGetSSE16,0.27
getSigCoeffGroupCtxInc,0.27
getPUAboveRight,0.27
xPredInterUni,0.27
xRecurIntraCodingLumaQT,0.27
xIT,0.27
copyToPicYuv,0.27
