Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
main	4096.000000	4096.000000		1	TAppEncoderStatic
__libc_csu_init	1040.000000	1040.000000		1	TAppEncoderStatic
__static_initialization_and_destruction_0.constprop.69	1040.000000	1250.000000	210.000000	5	TAppEncoderStatic
EnvVar::EnvVar	690.000000	690.000000		10	TAppEncoderStatic
__register_frame	480.000000	480.000000		10	libgcc_s.so.1
_GLOBAL__sub_I__ZN3SEI19prefix_sei_messagesE	212.000000	212.000000		2	TAppEncoderStatic
indentNewLines	210.000000	636.000000	426.000000	10	TAppEncoderStatic
TAppEncCfg::parseCfg	0.0	51884.000000	51884.000000	450	TAppEncoderStatic
TAppEncCfg::xCheckParameter	0.0	95.000000	95.000000	1	TAppEncoderStatic
TAppEncTop::encode	0.0	8864.000000	8864.000000	3	TAppEncoderStatic
TAppEncTop::xGetBuffer	0.0	240.000000	240.000000	2	TAppEncoderStatic
TComCUMvField::create	0.0	528128.000000	528128.000000	704	TAppEncoderStatic
TComDataCU::create	0.0	2706816.000000	2706816.000000	2328	TAppEncoderStatic
TComLoopFilter::create	0.0	1024.000000	1024.000000	4	TAppEncoderStatic
TComOutputBitstream::addSubstream	0.0	163712.000000	163712.000000	40	TAppEncoderStatic
TComOutputBitstream::write	0.0	81984.000000	81984.000000	23	TAppEncoderStatic
TComPic::create	0.0	480.000000	480.000000	4	TAppEncoderStatic
TComPic::prepareForReconstruction	0.0	240.000000	240.000000	2	TAppEncoderStatic
TComPicSym::TComPicSym	0.0	1152.000000	1152.000000	4	TAppEncoderStatic
TComPicSym::allocateNewSlice	0.0	22080.000000	22080.000000	4	TAppEncoderStatic
TComPicSym::create	0.0	134176.000000	134176.000000	12	TAppEncoderStatic
TComPicSym::prepareForReconstruction	0.0	69456.000000	69456.000000	172	TAppEncoderStatic
TComPicSym::xInitTiles	0.0	64.000000	64.000000	2	TAppEncoderStatic
TComPicYuv::create	0.0	29536.000000	29536.000000	52	TAppEncoderStatic
TComPicYuv::createWithoutCUInfo	0.0	8985600.000000	8985600.000000	39	TAppEncoderStatic
TComPrediction::initTempBuff	0.0	201870.000000	201870.000000	7	TAppEncoderStatic
TComSampleAdaptiveOffset::create	0.0	120.000000	120.000000	1	TAppEncoderStatic
