Class,CPU Time (%)
xRateDistOptQuant,15.045
xPredIntraAng,3.706
"filter<(int)8, (bool)0, (bool)1, (bool)0>",3.309
xIntraCodingTUBlock,3.102
xEstimateInterResidualQT,2.897
"filter<(int)8, (bool)1, (bool)0, (bool)1>",2.676
xCalcHADs4x4,2.279
filterCopy,1.897
estBit,1.75
xGetSSE16,1.412
xT,1.132
xGetSSE32,1.081
xGetSSE8,0.97
initIntraPatternChType,0.956
transformNxN,0.912
getIntraDirPredictor,0.838
xGetExpGolombNumberOfBits,0.823
estLastSignificantPositionBit,0.809
estIntraPredLumaQT,0.779
copyState,0.735
codeIntraDirLumaAng,0.735
xGetSAD8,0.735
predInterSearch,0.706
estSignificantMapBit,0.662
xRecurIntraCodingLumaQT,0.647
encodeBin,0.633
xGetSSE4,0.618
xPatternSearch,0.603
"filter<(int)4, (bool)0, (bool)1, (bool)0>",0.559
xGetHADs,0.559
xDeQuant,0.544
xPredInterUni,0.515
codeCoeffNxN,0.5
xTransformSkip,0.471
predIntraAng,0.471
TComTU,0.471
store,0.456
xIT,0.456
"filter<(int)4, (bool)1, (bool)0, (bool)1>",0.441
xGetSAD16,0.412
getBlkStats,0.397
countNonZeroCoeffs,0.368
rdpcmNxN,0.353
getNumWrittenBits,0.353
xGetSAD32,0.338
codeQtCbf,0.338
getCoefScanIdx,0.324
xTZSearchHelp,0.323
nextSection,0.309
xGetSSE64,0.309
setAllMvField,0.294
resetBits,0.28
xPatternRefinement,0.279
copyPartToPartYuv,0.279
load,0.265
addAvg,0.265
"filter<(int)8, (bool)1, (bool)1, (bool)1>",0.265
subtract,0.265
calcRdCost,0.25
xQuant,0.25
addClip,0.235
clipMv,0.235
setDistParam,0.235
xRecurIntraChromaCodingQT,0.221
initEstData,0.221
getPUAboveRight,0.22
getAddr,0.206
getDistPart,0.206
filterVer,0.191
copyPartFrom,0.191
getInterMergeCandidates,0.191
encodeCoeffNxN,0.191
copyPartToPartComponent,0.177
xTZSearch,0.176
xGetSAD64,0.176
xGetIntraBitsQT,0.162
xAddMVPCandUnscaled,0.162
xPredIntraPlanar,0.162
motionCompensation,0.162
getTEncBinCABAC,0.162
setAllMvd,0.147
fillMvpCand,0.147
removeHighFreq,0.147
xPredInterBlk,0.147
estimateBit,0.132
"filter<(int)4, (bool)1, (bool)0, (bool)0>",0.132
QpParam,0.132
codeQtCbfZero,0.132
xCompressCU,0.132
xMotionEstimation.constprop.111,0.118
xPredInterBi,0.118
codeTransformSubdivFlag,0.118
xGetSAD4,0.118
filteringIntraReferenceSamples,0.118
"filter<(int)4, (bool)0, (bool)1, (bool)1>",0.118
xEncSubdivCbfQT,0.118
xExtDIFUpSamplingQ,0.118
getQuadtreeTULog2MinSizeInCU,0.118
getGolombRiceStatisticsIndex,0.118
xEncodeInterResidualQT,0.103
getSigCtxInc,0.103
copyToPicYuv,0.103
codeLastSignificantXY,0.103
xExtDIFUpSamplingH,0.103
xEncCoeffQT,0.103
"filter<(int)4, (bool)1, (bool)1, (bool)1>",0.103
xWriteCoefRemainExGolomb,0.088
"filter<(int)8, (bool)1, (bool)0, (bool)0>",0.088
"filter<(int)8, (bool)1, (bool)1, (bool)0>",0.088
xEncIntraHeader,0.088
initSubCU,0.088
filterHor,0.088
ostream,0.074
xDeriveCenterIdx,0.074
offsetBlock,0.074
getCtxSkipFlag,0.074
xTZ8PointDiamondSearch,0.074
xLoadIntraResultQT,0.074
copyToPic,0.073
encodeIntraDirModeLuma,0.073
setExplicitRdpcmModePartRange,0.073
setMVPIdxSubParts,0.059
setCrossComponentPredictionAlphaPartRange,0.059
invTransformNxN,0.059
xCheckBestMVP,0.059
xGetTemplateCost,0.059
xGetInterPredictionError,0.044
codePartSize,0.044
setMVPNumSubParts,0.044
UseDPCMForFirstPassIntraEstimation,0.044
setAllMv,0.044
xCheckRDCostIntra.part.107,0.044
isBipredRestriction,0.044
encodeQtCbf,0.044
setPartSizeSubParts,0.044
xPatternSearchFracDIF,0.044
copyToPartYuv,0.044
GetEquivalentLog2TrSize,0.044
copyPartToPartComponentMxN,0.044
xEdgeFilterLuma,0.044
xCalculateAddPSNR,0.044
setInterDirSubParts,0.044
getPartIndexAndSize,0.044
setTrIdxSubParts,0.044
xComputeQP,0.044
xStoreIntraResultQT,0.044
clear,0.044
xGetColMVP,0.044
TComTURecurse,0.044
useDST,0.044
estIntraPredChromaQT,0.044
encodeBinEP,0.044
xAddSymbolBitsInter,0.044
setTransformSkipPartRange,0.044
getPartPosition,0.029
xDeblockCU,0.029
encodeResAndCalcRdInterCU,0.029
getPUAboveLeft,0.029
getPULeft,0.029
xSetEdgefilterTU,0.029
getNumPartitions,0.029
setCbfPartRange,0.029
deriveRightBottomIdx,0.029
xGetSAD24,0.029
codeSplitFlag,0.029
xMergeEstimation,0.029
getPUBelowLeft,0.029
read,0.029
