Class,CPU Time (%)
xRateDistOptQuant,20.954
xIntraCodingTUBlock,8.163
xPredIntraAng,7.534
codeCoeffNxN,2.153
estIntraPredLumaQT,1.904
initIntraPatternChType,1.855
xCalcHADs4x4,1.788
getIntraDirPredictor,1.739
codeIntraDirLumaAng,1.358
xRecurIntraCodingLumaQT,1.209
estBit,1.176
predIntraAng,1.06
xDeQuant,1.01
xT,1.01
getSigCtxInc,0.977
xGetSSE4,0.96
xGetHADs,0.96
xGetSSE16,0.944
getAddr,0.828
encodeBin,0.828
copyState,0.795
transformNxN,0.778
xGetSSE8,0.745
estLastSignificantPositionBit,0.695
xPredIntraPlanar,0.563
xIT,0.563
xQuant,0.513
store,0.497
initEstData,0.497
xGetIntraBitsQT,0.48
resetBits,0.48
getBlkStats,0.464
xLoadIntraResultQT,0.447
xEncSubdivCbfQT,0.447
QpParam,0.43
getCoefScanIdx,0.414
xGetSSE32,0.414
nextSection,0.397
rdpcmNxN,0.397
copyPartToPartComponent,0.397
getPUAboveRight,0.397
xEncCoeffQT,0.381
xRecurIntraChromaCodingQT,0.381
getDistPart,0.364
codeQtCbf,0.331
getNumWrittenBits,0.315
countNonZeroCoeffs,0.315
loadIntraDirMode,0.298
UseDPCMForFirstPassIntraEstimation,0.298
filteringIntraReferenceSamples,0.298
getPULeft,0.281
estSignificantMapBit,0.265
TComTU,0.265
xWriteCoefRemainExGolomb,0.215
load,0.199
codeLastSignificantXY,0.199
getPUBelowLeft,0.182
xEncodeTransform,0.182
xTransformSkip,0.182
getPUAboveLeft,0.182
getTEncBinCABAC,0.166
encodeCoeffNxN,0.149
calcRdCost,0.149
getPUAbove,0.133
xEncIntraHeader,0.132
estIntraPredChromaQT,0.116
getGolombRiceStatisticsIndex,0.116
xCompressCU,0.116
xEdgeFilterLuma,0.099
initSubCU,0.099
estimateBit,0.099
xSetIntraResultLumaQT,0.083
invTransformNxN,0.083
getQuadtreeTULog2MinSizeInCU,0.083
xCheckRDCostIntra.part.107,0.083
setExplicitRdpcmModePartRange,0.083
encodeBinsEP,0.083
copyToPicYuv,0.083
copyToPic,0.066
codeTransformSubdivFlag,0.05
offsetBlock,0.05
copyPartFrom,0.05
codeIntraDirChroma,0.05
xSetIntraResultChromaQT,0.05
getCtxQtCbf,0.05
codePartSize,0.05
setIntraDirSubParts,0.05
xCalculateAddPSNR,0.05
setTrIdxSubParts,0.05
read,0.05
ostream,0.049
addSubstream,0.033
setDistParam,0.033
encodeBinEP,0.033
copyFrom,0.033
copyToPartYuv,0.033
codeSplitFlag,0.033
getNumberOfWrittenBits,0.033
