Class,CPU Time (%)
xRateDistOptQuant,17.932
xPredIntraAng,3.764
"filter<(int)8, (bool)1, (bool)0, (bool)1>",3.313
xIntraCodingTUBlock,3.101
xEstimateInterResidualQT,2.843
"filter<(int)8, (bool)0, (bool)1, (bool)0>",2.73
xCalcHADs4x4,2.332
xGetSSE16,1.683
estBit,1.564
filterCopy,1.405
xGetSSE8,1.272
codeCoeffNxN,1.153
xGetSSE32,1.113
initIntraPatternChType,0.861
xGetHADs,0.808
xGetExpGolombNumberOfBits,0.795
estLastSignificantPositionBit,0.795
"filter<(int)4, (bool)0, (bool)1, (bool)0>",0.742
encodeBin,0.729
xT,0.716
xGetSSE4,0.689
xTransformSkip,0.676
transformNxN,0.636
xGetSAD16,0.623
estSignificantMapBit,0.623
getIntraDirPredictor,0.596
xDeQuant,0.557
getSigCtxInc,0.53
xPredInterUni,0.517
codeIntraDirLumaAng,0.517
xGetSSE64,0.504
estIntraPredLumaQT,0.49
addClip,0.49
predInterSearch,0.49
copyState,0.477
codeQtCbf,0.464
load,0.451
getCoefScanIdx,0.451
initEstData,0.431
xGetSAD8,0.424
predIntraAng,0.411
countNonZeroCoeffs,0.398
nextSection,0.398
xEncSubdivCbfQT,0.398
xQuant,0.384
xPatternSearch,0.371
"filter<(int)8, (bool)1, (bool)0, (bool)0>",0.345
xLoadIntraResultQT,0.331
"filter<(int)4, (bool)1, (bool)0, (bool)1>",0.318
getNumWrittenBits,0.305
getTEncBinCABAC,0.305
xTZSearchHelp,0.305
getBlkStats,0.305
subtract,0.292
store,0.278
getPUAboveRight,0.278
QpParam,0.278
xEncodeInterResidualQT,0.278
encodeResAndCalcRdInterCU,0.265
resetBits,0.265
TComTU,0.252
xPatternRefinement,0.252
rdpcmNxN,0.252
xPredIntraPlanar,0.239
xGetIntraBitsQT,0.239
xGetSAD32,0.239
getAddr,0.239
xGetSAD4,0.225
setAllMvField,0.225
addAvg,0.225
getDistPart,0.225
xGetSAD64,0.225
xRecurIntraCodingLumaQT,0.212
xRecurIntraChromaCodingQT,0.199
setDistParam,0.199
filteringIntraReferenceSamples,0.186
codeLastSignificantXY,0.186
xCompressCU,0.186
getQuadtreeTULog2MinSizeInCU,0.172
"filter<(int)4, (bool)1, (bool)0, (bool)0>",0.172
filterVer,0.172
getCtxQtCbf,0.159
calcRdCost,0.159
removeHighFreq,0.159
xIT,0.146
getPUBelowLeft,0.146
xEncodeTransform,0.146
copyPartToPartYuv,0.133
"filter<(int)8, (bool)0, (bool)1, (bool)1>",0.133
"filter<(int)8, (bool)1, (bool)1, (bool)1>",0.132
GetEquivalentLog2TrSize,0.119
getPartIndexAndSize,0.119
motionCompensation,0.119
fillMvpCand,0.119
xAddMVPCandUnscaled,0.119
useDST,0.106
copyToPartYuv,0.106
estimateBit,0.106
xSetInterResidualQTData,0.106
xExtDIFUpSamplingH,0.106
xPredInterBi,0.106
xExtDIFUpSamplingQ,0.106
encodeQtCbf,0.093
initSubCU,0.093
estIntraPredChromaQT,0.093
getCtxSkipFlag,0.093
encodeCoeffNxN,0.093
xGetSAD12,0.093
copyFromPicYuv,0.08
getGolombRiceStatisticsIndex,0.08
xMergeEstimation,0.08
xEncIntraHeader,0.08
UseDPCMForFirstPassIntraEstimation,0.079
xMotionEstimation.constprop.111,0.066
encodeBinsEP,0.066
deriveLeftBottomIdx,0.066
setAllRefIdx,0.066
copyPartToPartComponent,0.066
codeQtCbfZero,0.066
getInterMergeCandidates,0.066
xTZSearch,0.066
xEncCoeffQT,0.066
xCheckBestMVP,0.053
clearMvField,0.053
xEdgeFilterLuma,0.053
xPredInterBlk,0.053
codePartSize,0.04
xCheckIdenticalMotion,0.04
getQtRootCbf,0.04
xGetSAD,0.04
codeIntraDirChroma,0.04
xGetColMVP,0.04
xWriteCoefRemainExGolomb,0.04
xGetTemplateCost,0.04
"filter<(int)8, (bool)1, (bool)1, (bool)0>",0.04
xCalculateAddPSNR,0.04
"filter<(int)4, (bool)0, (bool)1, (bool)1>",0.027
encodeQtCbfZero,0.027
ostream,0.027
copyToPic,0.027
xGetSAD24,0.027
xDeriveCenterIdx,0.027
copyPartFrom,0.027
setCbfPartRange,0.027
xStoreIntraResultQT,0.027
"filter<(int)4, (bool)1, (bool)1, (bool)1>",0.027
xGetInterPredictionError,0.027
setExplicitRdpcmModePartRange,0.027
setIntraDirSubParts,0.027
setAllMvd,0.027
clipMv,0.026
setMVPIdxSubParts,0.026
xCheckRDCostMerge2Nx2N,0.026
getSigCoeffGroupCtxInc,0.026
deriveRightBottomIdx,0.026
TComTURecurse,0.026
read,0.026
codeQtRootCbf,0.026
