Class,CPU Time (%)
xRateDistOptQuant,17.135
"filter<(int)8, (bool)1, (bool)0, (bool)1>",3.681
xPredIntraAng,3.497
xIntraCodingTUBlock,3.261
"filter<(int)8, (bool)0, (bool)1, (bool)0>",2.278
xEstimateInterResidualQT,2.094
xCalcHADs4x4,1.852
estBit,1.679
codeCoeffNxN,1.634
filterCopy,1.587
xGetSSE32,1.392
xT,1.208
xGetSSE16,1.139
xGetSSE8,1.093
estLastSignificantPositionBit,0.909
initIntraPatternChType,0.84
xGetHADs,0.794
encodeBin,0.713
transformNxN,0.702
copyState,0.679
xGetSSE4,0.667
estIntraPredLumaQT,0.644
xPatternSearch,0.621
xRecurIntraCodingLumaQT,0.552
"filter<(int)4, (bool)0, (bool)1, (bool)0>",0.541
getSigCtxInc,0.541
xPredInterUni,0.529
xGetSAD8,0.529
estSignificantMapBit,0.529
initEstData,0.506
xGetExpGolombNumberOfBits,0.495
rdpcmNxN,0.495
getDistPart,0.495
getAddr,0.472
getIntraDirPredictor,0.46
codeIntraDirLumaAng,0.449
predInterSearch,0.449
xGetSAD16,0.449
addClip,0.426
predIntraAng,0.426
xDeQuant,0.414
QpParam,0.403
nextSection,0.38
getTEncBinCABAC,0.38
addAvg,0.357
getNumWrittenBits,0.357
xTransformSkip,0.334
copyPartToPartYuv,0.322
xQuant,0.322
xTZSearchHelp,0.311
"filter<(int)4, (bool)1, (bool)0, (bool)1>",0.299
xGetSAD32,0.299
codeQtCbf,0.288
getCoefScanIdx,0.288
getPUAboveRight,0.288
load,0.276
getInterMergeCandidates,0.276
subtract,0.276
xGetIntraBitsQT,0.265
resetBits,0.264
getBlkStats,0.253
codeQtCbfZero,0.253
"filter<(int)4, (bool)1, (bool)0, (bool)0>",0.242
getPUBelowLeft,0.242
"filter<(int)8, (bool)0, (bool)1, (bool)1>",0.241
store,0.23
xLoadIntraResultQT,0.219
xIT,0.219
xPredIntraPlanar,0.207
xPatternRefinement,0.207
codeLastSignificantXY,0.196
TComTU,0.196
countNonZeroCoeffs,0.196
getPartIndexAndSize,0.196
setDistParam,0.196
xCompressCU,0.184
motionCompensation,0.173
setAllMvField,0.173
xGetSAD4,0.173
fillMvpCand,0.173
xEncCoeffQT,0.172
clear,0.161
xRecurIntraChromaCodingQT,0.161
"filter<(int)8, (bool)1, (bool)0, (bool)0>",0.15
encodeCoeffNxN,0.15
xEncSubdivCbfQT,0.15
clearMvField,0.138
removeHighFreq,0.138
copyPartFrom,0.138
xCheckIdenticalMotion,0.127
clipMv,0.127
getQuadtreeTULog2MinSizeInCU,0.127
estIntraPredChromaQT,0.115
getCtxQtCbf,0.115
encodeBinsEP,0.115
xEncodeInterResidualQT,0.115
setMVPIdxSubParts,0.115
xGetSSE64,0.115
filterVer,0.104
xPredInterBi,0.104
GetEquivalentLog2TrSize,0.104
getGolombRiceStatisticsIndex,0.104
calcRdCost,0.104
xExtDIFUpSamplingQ,0.104
getPUAboveLeft,0.092
encodeQtCbfZero,0.092
UseDPCMForFirstPassIntraEstimation,0.092
copyToPicYuv,0.092
initSubCU,0.092
getPUAbove,0.092
filteringIntraReferenceSamples,0.092
encodeResAndCalcRdInterCU,0.081
getPULeft,0.081
setExplicitRdpcmModePartRange,0.081
copyPartToPartComponent,0.08
setMVPNumSubParts,0.069
getCtxSkipFlag,0.069
xGetSAD64,0.069
setTransformSkipPartRange,0.069
read,0.063
xSetInterResidualQTData,0.058
"filter<(int)4, (bool)0, (bool)1, (bool)1>",0.058
"filter<(int)4, (bool)1, (bool)1, (bool)0>",0.058
xWriteCoefRemainExGolomb,0.058
xPredInterBlk,0.058
copyToPartYuv,0.058
xGetSAD12,0.058
setCrossComponentPredictionAlphaPartRange,0.058
"filter<(int)8, (bool)1, (bool)1, (bool)1>",0.058
xMotionEstimation.constprop.111,0.058
xEncIntraHeader,0.058
setTransformSkipSubParts,0.058
codeInterDir,0.057
xGetColMVP,0.057
encodeBinEP,0.057
codePartSize,0.046
isBipredRestriction,0.046
xTZSearch,0.046
xMergeEstimation,0.046
encodeQtCbf,0.046
"filter<(int)8, (bool)1, (bool)1, (bool)0>",0.035
useDST,0.035
loopFilterPic,0.035
setAllMvd,0.035
"filter<(int)4, (bool)1, (bool)1, (bool)1>",0.035
write,0.035
invTransformNxN,0.035
xAddMVPCandUnscaled,0.035
filterHor,0.035
copyFromPicYuv,0.035
calcPatternSigCtx,0.035
xExtDIFUpSamplingH,0.035
xCheckBestMVP,0.035
setTrIdxSubParts,0.035
setPredModeSubParts,0.035
setQPSubParts,0.035
setPartSizeSubParts,0.035
xCheckRDCostMerge2Nx2N,0.035
getNumPartitions,0.034
getNumberOfWrittenBits,0.034
SAOBlkParam,0.034
ostream,0.029
getCtxSplitFlag,0.023
encodePartSize,0.023
xCheckRDCostInter,0.023
xEncodeTransform,0.023
xSetIntraResultLumaQT,0.023
copyToPic,0.023
xPatternSearchFracDIF,0.023
xAddSymbolBitsInter,0.023
xGetTemplateCost,0.023
deriveLeftBottomIdxGeneral,0.023
TComTURecurse,0.023
encodePUWise,0.023
initPattern,0.023
setMergeIndexSubParts,0.023
