Class,CPU Time (%)
xRateDistOptQuant,24.877
codeCoeffNxN,8.641
getSigCtxInc,5.296
xEstimateInterResidualQT,2.369
encodeBin,2.23
xIntraCodingTUBlock,2.091
xGetSSE32,1.951
xCalcHADs4x4,1.812
estBit,1.672
xGetSSE8,1.533
"filter<(int)8, (bool)1, (bool)0, (bool)1>",1.533
nextSection,1.115
initIntraPatternChType,1.115
"filter<(int)8, (bool)0, (bool)1, (bool)0>",1.115
xWriteCoefRemainExGolomb,0.975
"filter<(int)4, (bool)0, (bool)1, (bool)0>",0.975
TComTU,0.836
xPredIntraAng,0.836
xGetHADs,0.836
xTransformSkip,0.836
xGetSAD4,0.836
xCompressCU,0.697
estSignificantMapBit,0.697
filterCopy,0.697
xGetSAD8,0.697
xEncodeTransform,0.697
estIntraPredLumaQT,0.697
xGetSSE4,0.697
getPUAboveRight,0.558
encodeBinsEP,0.557
initEstData,0.557
xPredInterUni,0.557
xEncIntraHeader,0.418
codeLastSignificantXY,0.418
addAvg,0.418
xGetSSE16,0.418
xGetExpGolombNumberOfBits,0.418
estLastSignificantPositionBit,0.418
xRecurIntraChromaCodingQT,0.418
getInterMergeCandidates,0.418
getPUBelowLeft,0.418
xQuant,0.418
xT,0.418
xDeQuant,0.418
copyState,0.418
subtract,0.418
getDistPart,0.418
getPartIndexAndSize,0.418
xEncCoeffQT,0.418
xPatternRefinement,0.418
xEdgeFilterLuma,0.279
countNonZeroCoeffs,0.279
removeHighFreq,0.279
clipMv,0.279
xPredIntraPlanar,0.279
xEdgeFilterChroma,0.279
codeQtCbf,0.279
xLoadIntraResultQT,0.279
xIT,0.279
transformNxN,0.279
"filter<(int)4, (bool)1, (bool)1, (bool)0>",0.279
"filter<(int)4, (bool)1, (bool)0, (bool)1>",0.279
codeIntraDirLumaAng,0.279
xTZSearch,0.279
setTransformSkipSubParts,0.279
getTEncBinCABAC,0.279
