Class,CPU Time (%)
xRateDistOptQuant,16.468
xPredIntraAng,9.771
xIntraCodingTUBlock,8.564
estBit,2.55
xCalcHADs4x4,2.238
estIntraPredLumaQT,2.219
initIntraPatternChType,2.102
getIntraDirPredictor,1.557
codeIntraDirLumaAng,1.343
xRecurIntraCodingLumaQT,1.343
load,1.168
xGetSSE16,1.129
xT,1.09
estSignificantMapBit,1.09
estLastSignificantPositionBit,1.051
encodeBin,0.993
predIntraAng,0.973
codeCoeffNxN,0.837
xGetSSE8,0.818
xGetHADs,0.759
transformNxN,0.759
getPUAboveRight,0.74
xRecurIntraChromaCodingQT,0.74
getAddr,0.662
xPredIntraPlanar,0.662
xDeQuant,0.642
xGetSSE4,0.642
copyState,0.642
xIT,0.584
xGetSSE32,0.545
getCoefScanIdx,0.545
store,0.506
nextSection,0.467
xEncSubdivCbfQT,0.467
xEncCoeffQT,0.467
TComTU,0.428
getPULeft,0.409
getTEncBinCABAC,0.37
QpParam,0.37
getDistPart,0.35
codeQtCbf,0.35
getBlkStats,0.331
xGetIntraBitsQT,0.331
getPUBelowLeft,0.311
initEstData,0.311
getPUAbove,0.292
filteringIntraReferenceSamples,0.292
xStoreIntraResultQT,0.272
rdpcmNxN,0.272
resetBits,0.272
copyPartToPartComponent,0.253
getSigCtxInc,0.253
getPUAboveLeft,0.234
estimateBit,0.234
xTransformSkip,0.233
xEncIntraHeader,0.214
xLoadIntraResultQT,0.175
getNumWrittenBits,0.175
countNonZeroCoeffs,0.175
xQuant,0.175
setTransformSkipSubParts,0.156
UseDPCMForFirstPassIntraEstimation,0.156
estIntraPredChromaQT,0.136
GetEquivalentLog2TrSize,0.136
calcPatternSigCtx,0.117
getQuadtreeTULog2MinSizeInCU,0.117
encodeBinsEP,0.117
clearMvField,0.097
codeLastSignificantXY,0.097
useDST,0.097
loadIntraDirMode,0.097
copyToPartYuv,0.097
xEncodeTransform,0.078
istream,0.058
xCompressCU,0.058
getNumberOfWrittenBits,0.058
calcRdCost,0.058
copyPartFrom,0.058
getGolombRiceStatisticsIndex,0.058
xCheckRDCostIntra.part.107,0.058
loopFilterPic,0.058
xComputeQP,0.058
xCalculateAddPSNR,0.049
xCheckDQP,0.039
setTransformSkipPartRange,0.039
encodeIntraDirModeLuma,0.039
setCbfSubParts,0.039
invTransformNxN,0.039
getCtxSplitFlag,0.039
