Class,CPU Time (%)
xRateDistOptQuant,20.823
xIntraCodingTUBlock,6.027
estBit,4.933
xPredIntraAng,4.383
estIntraPredLumaQT,3.836
getIntraDirPredictor,3.287
xGetSSE4,2.74
xRecurIntraCodingLumaQT,2.74
codeCoeffNxN,2.192
initIntraPatternChType,2.19
encodeBin,1.645
filteringIntraReferenceSamples,1.644
getCoefScanIdx,1.644
encodeCoeffNxN,1.644
getPUBelowLeft,1.644
setPartSizeSubParts,1.644
xPredIntraPlanar,1.644
resetBits,1.644
copyPartToPartComponent,1.643
xLoadIntraResultQT,1.37
xRecurIntraChromaCodingQT,1.096
copyState,1.096
getPULeft,1.096
getSigCtxInc,1.096
xEncCoeffQT,1.096
xCalcHADs4x4,1.096
codeIntraDirLumaAng,1.096
xGetSSE8,1.096
codeLastSignificantXY,1.095
getTEncBinCABAC,1.095
