Class,CPU Time (%)
xRateDistOptQuant,19.356
xPredIntraAng,10.323
initIntraPatternChType,7.742
xCalcHADs4x4,4.298
encodeBin,3.441
nextSection,3.441
xIntraCodingTUBlock,2.58
getSigCtxInc,2.58
codeQtCbf,2.58
QpParam,1.72
xRecurIntraCodingLumaQT,1.291
copyToPartYuv,1.291
codeLastSignificantXY,1.29
xIT,1.29
estIntraPredLumaQT,1.29
getAddr,1.29
getCtxQtCbf,1.29
xRecurIntraChromaCodingQT,1.29
xEncodeTransform,1.29
TComTU,1.075
codeCoeffNxN,0.861
getBlkStats,0.86
xT,0.86
estSignificantMapBit,0.86
useDST,0.86
getIntraDirPredictor,0.86
estBit,0.86
predIntraAng,0.86
xGetSSE4,0.86
getQuadtreeTULog2MinSizeInCU,0.86
rdpcmNxN,0.86
xEncSubdivCbfQT,0.86
transformNxN,0.86
