Class,CPU Time (%)
xRateDistOptQuant,13.844
xPredIntraAng,4.254
"filter<(int)8, (bool)1, (bool)0, (bool)1>",4.121
"filter<(int)8, (bool)0, (bool)1, (bool)0>",3.281
xIntraCodingTUBlock,3.214
xCalcHADs4x4,2.194
xEstimateInterResidualQT,2.014
filterCopy,1.934
xGetSSE8,1.44
estBit,1.36
xGetSSE16,1.094
xT,1.04
transformNxN,0.974
initIntraPatternChType,0.88
xGetSSE32,0.853
xGetSAD8,0.8
copyState,0.774
getIntraDirPredictor,0.76
"filter<(int)4, (bool)0, (bool)1, (bool)0>",0.68
encodeBin,0.667
codeCoeffNxN,0.64
predInterSearch,0.64
xGetHADs,0.64
codeIntraDirLumaAng,0.627
estLastSignificantPositionBit,0.627
xGetSSE4,0.627
xGetExpGolombNumberOfBits,0.614
getAddr,0.6
estIntraPredLumaQT,0.574
estSignificantMapBit,0.547
xRecurIntraCodingLumaQT,0.533
xPatternSearch,0.52
initEstData,0.507
predIntraAng,0.507
getDistPart,0.494
xPredInterUni,0.493
xQuant,0.48
xTZSearchHelp,0.44
nextSection,0.427
addClip,0.427
xPatternRefinement,0.427
rdpcmNxN,0.427
xGetSAD16,0.414
copyPartToPartYuv,0.413
QpParam,0.413
resetBits,0.413
xDeQuant,0.4
store,0.387
getTEncBinCABAC,0.373
getBlkStats,0.373
getPUBelowLeft,0.36
xIT,0.36
xPredIntraPlanar,0.347
filteringIntraReferenceSamples,0.347
xGetSAD32,0.347
xTransformSkip,0.333
getQuadtreeTULog2MinSizeInCU,0.32
getNumWrittenBits,0.32
xEncSubdivCbfQT,0.28
getCoefScanIdx,0.28
codeQtCbf,0.267
TComTU,0.267
xGetSSE64,0.267
"filter<(int)4, (bool)1, (bool)0, (bool)1>",0.253
xGetIntraBitsQT,0.24
filterVer,0.2
addAvg,0.2
setDistParam,0.2
xPredInterBlk,0.187
calcRdCost,0.173
xGetSAD4,0.173
copyPartToPartComponent,0.173
subtract,0.16
setMVPIdxSubParts,0.16
xLoadIntraResultQT,0.16
getPUAboveRight,0.16
xGetColMVP,0.16
xExtDIFUpSamplingQ,0.16
GetEquivalentLog2TrSize,0.16
"filter<(int)8, (bool)1, (bool)0, (bool)0>",0.16
fillMvpCand,0.147
clear,0.147
xCompressCU,0.147
encodeCoeffNxN,0.147
xRecurIntraChromaCodingQT,0.147
UseDPCMForFirstPassIntraEstimation,0.133
copyToPartYuv,0.133
getInterMergeCandidates,0.133
xAddMVPCandUnscaled,0.133
"filter<(int)8, (bool)1, (bool)1, (bool)1>",0.133
encodeResAndCalcRdInterCU,0.133
countNonZeroCoeffs,0.133
codeQtCbfZero,0.12
xEncodeInterResidualQT,0.12
getPUAbove,0.12
xGetSAD64,0.12
removeHighFreq,0.12
"filter<(int)4, (bool)1, (bool)0, (bool)0>",0.107
filterHor,0.107
initSubCU,0.107
xCheckRDCostInter,0.107
getSigCtxInc,0.107
xEncCoeffQT,0.093
copyPartFrom,0.093
clearMvField,0.093
getPUAboveLeft,0.093
setAllMvField,0.093
encodeBinsEP,0.093
estimateBit,0.093
xSetInterResidualQTData,0.08
"filter<(int)8, (bool)0, (bool)1, (bool)1>",0.08
getNumberOfWrittenBits,0.08
useDST,0.08
motionCompensation,0.08
xTZ8PointDiamondSearch,0.08
getPULeft,0.08
getGolombRiceStatisticsIndex,0.08
xEncIntraHeader,0.067
getPartIndexAndSize,0.067
encodeBinEP,0.067
xMotionEstimation.constprop.111,0.067
loadIntraDirMode,0.067
xCheckBestMVP,0.067
xCheckRDCostMerge2Nx2N,0.067
xAddSymbolBitsInter,0.067
setAllMvd,0.067
xGetInterPredictionError,0.067
xStoreIntraResultQT,0.067
getCtxSkipFlag,0.067
setTransformSkipSubParts,0.067
setCbfPartRange,0.053
setMVPNumSubParts,0.053
setTransformSkipPartRange,0.053
codeIntraDirChroma,0.053
xGetTemplateCost,0.053
setExplicitRdpcmModePartRange,0.053
encodePUWise,0.053
codeLastSignificantXY,0.053
ostream,0.04
encodeIntraDirModeChroma,0.04
xEdgeFilterLuma,0.04
loopFilterPic,0.04
clipMv,0.04
encodeIntraDirModeLuma,0.04
encodeTransformSubdivFlag,0.04
xGetSAD24,0.04
codeSplitFlag,0.04
"filter<(int)4, (bool)0, (bool)1, (bool)1>",0.04
invRdpcmNxN,0.04
estIntraPredChromaQT,0.04
copyToPicYuv,0.04
read,0.04
setChromaQpAdjSubParts,0.04
xCalculateAddPSNR,0.04
xMergeEstimation,0.04
setAllRefIdx,0.04
codeTransformSubdivFlag,0.027
setPredModeSubParts,0.027
xSetEdgefilterPU,0.027
load,0.027
xCheckIdenticalMotion,0.027
setCbfSubParts,0.027
setCrossComponentPredictionAlphaPartRange,0.027
codePartSize,0.027
xEncodeTransform,0.027
getCtxQtCbf,0.027
"filter<(int)8, (bool)1, (bool)1, (bool)0>",0.027
encodePredInfo,0.027
xPredInterBi,0.027
deriveLeftBottomIdx,0.027
xExtDIFUpSamplingH,0.027
setIntraDirSubParts,0.027
getSigCoeffGroupCtxInc,0.027
setInterDirSubParts,0.027
write,0.027
