Class,CPU Time (%)
xRateDistOptQuant,22.486
xEstimateInterResidualQT,3.677
codeCoeffNxN,3.676
"filter<(int)8, (bool)1, (bool)0, (bool)1>",3.243
xTransformSkip,2.811
codeIntraDirLumaAng,2.163
xGetHADs,2.162
"filter<(int)8, (bool)0, (bool)1, (bool)0>",1.946
codeQtCbf,1.945
codeLastSignificantXY,1.514
xCalcHADs4x4,1.514
encodeBin,1.514
xGetSSE32,1.513
xGetSSE16,1.298
initIntraPatternChType,1.297
xGetColMVP,1.297
filterCopy,1.297
rdpcmNxN,1.297
calcRdCost,1.081
xPredIntraAng,1.081
getSigCtxInc,1.081
predInterSearch,1.081
"filter<(int)8, (bool)0, (bool)1, (bool)1>",1.08
transformNxN,0.865
xGetExpGolombNumberOfBits,0.649
getTEncBinCABAC,0.649
xComputeQP,0.649
xRecurIntraChromaCodingQT,0.649
xIntraCodingTUBlock,0.649
xCompressCU,0.649
getAddr,0.649
getDistPart,0.649
estBit,0.649
xGetSAD4,0.649
xCheckRDCostMerge2Nx2N,0.649
predIntraAng,0.649
getIntraDirPredictor,0.649
setInterDirSubParts,0.649
xTZ8PointDiamondSearch,0.649
xPatternRefinement,0.648
getBlkStats,0.541
codeMergeIndex,0.433
xGetSSE8,0.433
estLastSignificantPositionBit,0.433
resetBits,0.433
getPartPosition,0.433
addAvg,0.432
filterVer,0.432
xGetSAD32,0.432
xITransformSkip,0.432
xPredInterUni,0.432
setAllMvField,0.432
xCheckIdenticalMotion,0.432
copyState,0.432
copyPartToPartYuv,0.432
