Class,CPU Time (%)
xRateDistOptQuant,18.135
xEstimateInterResidualQT,4.72
"filter<(int)8, (bool)0, (bool)1, (bool)0>",4.224
"filter<(int)8, (bool)1, (bool)0, (bool)1>",3.974
xPredIntraAng,3.477
xPredInterUni,3.23
initIntraPatternChType,2.484
copyState,2.237
xCalcHADs4x4,2.236
initEstData,2.236
xGetSSE8,1.988
xGetSSE16,1.739
"filter<(int)4, (bool)0, (bool)1, (bool)0>",1.739
filterCopy,1.491
getIntraDirPredictor,1.491
xIntraCodingTUBlock,1.49
getSigCtxInc,1.243
load,1.242
codeCoeffNxN,1.242
getPUBelowLeft,1.242
subtract,0.993
"filter<(int)8, (bool)0, (bool)1, (bool)1>",0.746
estIntraPredLumaQT,0.746
xGetSAD4,0.745
xDeQuant,0.745
store,0.745
xT,0.745
xPatternSearch,0.745
addClip,0.745
getDistPart,0.745
xQuant,0.745
estSignificantMapBit,0.745
UseDPCMForFirstPassIntraEstimation,0.745
encodeBin,0.745
calcRdCost,0.745
rdpcmNxN,0.745
getNumWrittenBits,0.745
xGetSSE4,0.745
xGetHADs,0.745
predInterSearch,0.745
xEdgeFilterLuma,0.621
estLastSignificantPositionBit,0.497
xEncodeInterResidualQT,0.497
estBit,0.497
"filter<(int)4, (bool)1, (bool)0, (bool)1>",0.497
"filter<(int)8, (bool)1, (bool)0, (bool)0>",0.497
copyToPicYuv,0.497
setAllMvField,0.497
xRecurIntraChromaCodingQT,0.497
setDistParam,0.497
copyFrom,0.496
