Class,CPU Time (%)
xRateDistOptQuant,25.552
xEstimateInterResidualQT,4.053
"filter<(int)8, (bool)1, (bool)0, (bool)1>",3.523
codeCoeffNxN,3.523
estBit,2.115
xPredIntraAng,1.939
xIntraCodingTUBlock,1.939
"filter<(int)8, (bool)0, (bool)1, (bool)1>",1.938
xGetSSE8,1.762
transformNxN,1.587
xGetSSE16,1.41
xGetSAD8,1.41
xT,1.409
encodeBin,1.409
xCalcHADs4x4,1.233
xPatternRefinement,1.233
xGetSSE32,1.057
load,1.057
getSigCtxInc,1.057
xCompressCU,0.882
getPUBelowLeft,0.881
initEstData,0.881
nextSection,0.881
estIntraPredLumaQT,0.881
encodeResAndCalcRdInterCU,0.881
xGetHADs,0.881
xGetExpGolombNumberOfBits,0.705
countNonZeroCoeffs,0.705
initIntraPatternChType,0.705
codeIntraDirLumaAng,0.529
xPatternSearch,0.529
"filter<(int)4, (bool)1, (bool)0, (bool)1>",0.529
predInterSearch,0.529
xIT,0.529
xGetSSE4,0.529
predIntraAng,0.529
"filter<(int)8, (bool)0, (bool)1, (bool)0>",0.529
filterCopy,0.529
xEncCoeffQT,0.529
"filter<(int)4, (bool)0, (bool)1, (bool)0>",0.529
xExtDIFUpSamplingH,0.529
xPredInterBlk,0.529
xDeblockCU,0.441
xPredInterUni,0.353
getPUAboveRight,0.353
xGetIntraBitsQT,0.352
xEncSubdivCbfQT,0.352
QpParam,0.352
getInterMergeCandidates,0.352
xEncodeInterResidualQT,0.352
TComTU,0.352
xITransformSkip,0.352
xTZSearchHelp,0.352
xGetSAD16,0.352
copyState,0.352
getDistPart,0.352
motionCompensation,0.352
xPredIntraPlanar,0.352
