Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
vvenc::QuantRDOQ2::xRateDistOptQuantFast<(bool)1, (bool)0>	0.559988	0.559988	0.0	0.559988	0.0	0.0	0.0	0.0	0.0	vvencFFapp	int vvenc::QuantRDOQ2::xRateDistOptQuantFast<(bool)1, (bool)0>(vvenc::TransformUnit&, vvenc::ComponentID const&, vvenc::AreaBuf<int const> const&, int&, vvenc::QpParam const&, vvenc::Ctx const&)	[Unknown]	0x2bf220
vvenc::BitEstimator::encodeBin	0.200006	0.200006	0.0	0.200006	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::BitEstimator::encodeBin(unsigned int, unsigned int)	[Unknown]	0x2c9300
vvenc::CABACWriter::residual_coding_subblock	0.196012	0.196012	0.0	0.196012	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::CABACWriter::residual_coding_subblock(vvenc::CoeffCodingContext&, int const*, int, int&)	[Unknown]	0x2d3b60
__memmove_avx_unaligned_erms	0.084021	0.084021	0.0	0.084021	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
vvenc::RdCost::xGetHADs_SIMD<(vvenc::X86_VEXT)4>	0.079998	0.079998	0.0	0.079998	0.0	0.0	0.0	0.0	0.0	vvencFFapp	unsigned long vvenc::RdCost::xGetHADs_SIMD<(vvenc::X86_VEXT)4>(vvenc::DistParam const&)	[Unknown]	0xd23a0
vvenc::IntraPredAngleLumaCore_SIMD<(vvenc::X86_VEXT)4>	0.068013	0.068013	0.0	0.068013	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::IntraPredAngleLumaCore_SIMD<(vvenc::X86_VEXT)4>(short*, long, short*, int, int, int, int, short const*, bool, vvenc::ClpRng const&)	[Unknown]	0xcb630
vvenc::fastFwd_SSE<(vvenc::X86_VEXT)4, (int)8>	0.039995	0.039995	0.0	0.039995	0.0	0.0	0.0	0.0	0.0	vvencFFapp	void vvenc::fastFwd_SSE<(vvenc::X86_VEXT)4, (int)8>(short const*, int const*, int*, unsigned int, unsigned int, unsigned int, unsigned int, int)	[Unknown]	0xd81d0
vvenc::CoeffCodingContext::initSubblock	0.035998	0.035998	0.0	0.035998	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::CoeffCodingContext::initSubblock(int, bool)	[Unknown]	0x1e12e0
operator new	0.032004	0.032004	0.0	0.032004	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	operator new(unsigned long)	[Unknown]	0x93280
vvenc::CodingStructure::clearTUs	0.027998	0.027998	0.0	0.027998	0.0	0.0	0.0	0.0	0.0	vvencFFapp	vvenc::CodingStructure::clearTUs(void)	[Unknown]	0x105fa0
