Class,CPU Time (%)
BitEstimator,38.15
xCalcHAD16x16_AVX2,34.815
AreaBuf<short>,34.447
fastInv_SSE<(vvenc,34.445
RdCost,34.076
IntraPredAngleLumaCore_SIMD<(vvenc,33.706
cpyResi_SSE<(vvenc,33.336
CU,33.336
InterpolationFilter,33.335
copyBufferSimd<(vvenc,33.335
IntraAnglePDPC_SIMD<(vvenc,33.335
PelStorage,33.335
fastFwd_SSE<(vvenc,33.335
roundClip_SSE<(vvenc,33.335
BinEncoderBase,33.335
CoeffCodingContext,33.334
readYuvPlane,33.334
CABACWriter,32.965
CodingStructure,32.965
IntraSearch,32.965
Partitioner,32.965
EncCu,32.965
IntraPrediction,32.964
EncSampleAdaptiveOffset,32.964
simdInterpolateVerM8_AVX2<(vvenc,32.964
PartitionerImpl,32.964
recoCore_SSE<(vvenc,32.964
vvenc,32.224
