Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
byteStreamNALUnit	350840.000000	778440.000000	427600.000000	80	TAppDecoderStatic
func@0x8f3f0	72704.000000	72704.000000		1	libstdc++.so.6
main	4096.000000	4096.000000		1	TAppDecoderStatic
__libc_csu_init	1040.000000	1040.000000		1	TAppDecoderStatic
__register_frame	480.000000	480.000000		10	libgcc_s.so.1
_GLOBAL__sub_I__ZN3SEI19prefix_sei_messagesE	212.000000	212.000000		2	TAppDecoderStatic
TAppDecCfg::parseCfg	0.0	2979.000000	2979.000000	33	TAppDecoderStatic
TAppDecTop::decode	0.0	8744.000000	8744.000000	2	TAppDecoderStatic
TComCUMvField::create	0.0	516096.000000	516096.000000	672	TAppDecoderStatic
TComDataCU::create	0.0	2523136.000000	2523136.000000	2128	TAppDecoderStatic
TComInputBitstream::extractSubstream	0.0	19900.000000	19900.000000	4	TAppDecoderStatic
TComLoopFilter::create	0.0	2048.000000	2048.000000	8	TAppDecoderStatic
TComPic::create	0.0	240.000000	240.000000	2	TAppDecoderStatic
TComPicSym::TComPicSym	0.0	1152.000000	1152.000000	4	TAppDecoderStatic
TComPicSym::allocateNewSlice	0.0	11040.000000	11040.000000	2	TAppDecoderStatic
TComPicSym::create	0.0	140000.000000	140000.000000	12	TAppDecoderStatic
TComPicSym::prepareForReconstruction	0.0	69456.000000	69456.000000	172	TAppDecoderStatic
TComPicSym::xInitTiles	0.0	64.000000	64.000000	2	TAppDecoderStatic
TComPicYuv::create	0.0	9088.000000	9088.000000	16	TAppDecoderStatic
TComPicYuv::createWithoutCUInfo	0.0	2764800.000000	2764800.000000	12	TAppDecoderStatic
TComPrediction::initTempBuff	0.0	201870.000000	201870.000000	7	TAppDecoderStatic
TComSampleAdaptiveOffset::create	0.0	240.000000	240.000000	2	TAppDecoderStatic
TComSampleAdaptiveOffset::offsetBlock	0.0	130.000000	130.000000	2	TAppDecoderStatic
TComScalingList::TComScalingList	0.0	29952.000000	29952.000000	144	TAppDecoderStatic
TComTrQuant::TComTrQuant	0.0	800640.000000	800640.000000	434	TAppDecoderStatic
TComYuv::create	0.0	419584.000000	419584.000000	117	TAppDecoderStatic
TDecCavlc::parseSPS	0.0	8736.000000	8736.000000	1	TAppDecoderStatic
TDecCu::create	0.0	5760.000000	5760.000000	30	TAppDecoderStatic
TDecTop::create	0.0	5520.000000	5520.000000	1	TAppDecoderStatic
TDecTop::xDecodePPS	0.0	1096.000000	1096.000000	2	TAppDecoderStatic
TDecTop::xDecodeSPS	0.0	9769.000000	9769.000000	3	TAppDecoderStatic
TDecTop::xDecodeVPS	0.0	1784.000000	1784.000000	2	TAppDecoderStatic
TDecTop::xGetNewPicBuffer	0.0	22000.000000	22000.000000	2	TAppDecoderStatic
_Z28getListOfColourSpaceConvertsB5cxx11b	0.0	36.000000	36.000000	1	TAppDecoderStatic
