Seq Name,Codec Name,Config Name,QP,Bitrate,Y-PSNR,CPU Time,Enc_FPS/FR
RaceHorses_416x240_30,HM,encoder_lowdelay_main,22,3428.7600,41.0101,2.770s,0.024
RaceHorses_416x240_30,HM,encoder_lowdelay_main,27,2044.8000,36.8827,2.340s,0.028
RaceHorses_416x240_30,HM,encoder_lowdelay_main,32,1188.9600,33.2687,1.630s,0.041
RaceHorses_416x240_30,HM,encoder_lowdelay_main,37,627.9600,30.0505,1.250s,0.053
RaceHorses_416x240_30,HM,encoder_randomaccess_main,22,3811.3200,41.5252,3.740s,0.018
RaceHorses_416x240_30,HM,encoder_randomaccess_main,27,2387.7600,37.5561,3.170s,0.021
RaceHorses_416x240_30,HM,encoder_randomaccess_main,32,1423.2000,34.0626,2.510s,0.027
RaceHorses_416x240_30,HM,encoder_randomaccess_main,37,792.2400,30.9079,1.240s,0.054
RaceHorses_416x240_30,HHI-VVC,randomaccess_fast,22,3660.2400,41.4912,2.500s,0.027
RaceHorses_416x240_30,HHI-VVC,randomaccess_fast,27,2236.8000,37.3965,1.370s,0.049
RaceHorses_416x240_30,HHI-VVC,randomaccess_fast,32,1332.3600,34.0540,0.820s,0.081
RaceHorses_416x240_30,HHI-VVC,randomaccess_fast,37,734.5200,30.8759,0.660s,0.101
RaceHorses_416x240_30,HHI-VVC,randomaccess_faster,22,3803.7600,40.9377,2.070s,0.032
RaceHorses_416x240_30,HHI-VVC,randomaccess_faster,27,2262.6000,36.7738,1.080s,0.062
RaceHorses_416x240_30,HHI-VVC,randomaccess_faster,32,1337.2800,33.4061,0.770s,0.087
RaceHorses_416x240_30,HHI-VVC,randomaccess_faster,37,724.8000,30.3720,0.590s,0.113
