Seq Name,cfg,Codec Name,QP,Bitrate,PSNR
BasketballPass_416x240_50.yuv,encoder_lowdelay_P_main_hm.cfg,hm,22,997.4,41.4651
BasketballPass_416x240_50.yuv,encoder_lowdelay_P_main_hm.cfg,hm,27,500.44,37.7637
BasketballPass_416x240_50.yuv,encoder_lowdelay_P_main_hm.cfg,hm,32,258.08,34.4973
BasketballPass_416x240_50.yuv,encoder_lowdelay_P_main_hm.cfg,hm,37,135.34,31.6187
,,,,,
BasketballPass_416x240_50.yuv,encoder_lowdelay_P_vtm.cfg,vtm,22,899.54,42.2966
BasketballPass_416x240_50.yuv,encoder_lowdelay_P_vtm.cfg,vtm,27,437.96,38.3936
BasketballPass_416x240_50.yuv,encoder_lowdelay_P_vtm.cfg,vtm,32,221.06,34.9684
BasketballPass_416x240_50.yuv,encoder_lowdelay_P_vtm.cfg,vtm,37,114.86,32.092
,,,,,
BasketballPass_416x240_50.yuv,encoder_lowdelay_hm.cfg,hm,22,979.84,41.5327
BasketballPass_416x240_50.yuv,encoder_lowdelay_hm.cfg,hm,27,494,37.8277
BasketballPass_416x240_50.yuv,encoder_lowdelay_hm.cfg,hm,32,258.28,34.5424
BasketballPass_416x240_50.yuv,encoder_lowdelay_hm.cfg,hm,37,133.64,31.6443
,,,,,
BasketballPass_416x240_50.yuv,encoder_lowdelay_vtm.cfg,vtm,22,878.1,42.3295
BasketballPass_416x240_50.yuv,encoder_lowdelay_vtm.cfg,vtm,27,427.44,38.3852
BasketballPass_416x240_50.yuv,encoder_lowdelay_vtm.cfg,vtm,32,216.34,34.9759
BasketballPass_416x240_50.yuv,encoder_lowdelay_vtm.cfg,vtm,37,112.18,32.098
,,,,,
RaceHorses_416x240_30.yuv,encoder_lowdelay_P_main_hm.cfg,hm,22,1707.336,39.4902
RaceHorses_416x240_30.yuv,encoder_lowdelay_P_main_hm.cfg,hm,27,830.808,35.243
RaceHorses_416x240_30.yuv,encoder_lowdelay_P_main_hm.cfg,hm,32,426.732,31.7975
RaceHorses_416x240_30.yuv,encoder_lowdelay_P_main_hm.cfg,hm,37,219.228,28.8595
,,,,,
RaceHorses_416x240_30.yuv,encoder_lowdelay_P_vtm.cfg,vtm,22,1398.864,39.6614
RaceHorses_416x240_30.yuv,encoder_lowdelay_P_vtm.cfg,vtm,27,654.588,35.2075
RaceHorses_416x240_30.yuv,encoder_lowdelay_P_vtm.cfg,vtm,32,321.24,31.6863
RaceHorses_416x240_30.yuv,encoder_lowdelay_P_vtm.cfg,vtm,37,159.9,28.819
,,,,,
RaceHorses_416x240_30.yuv,encoder_lowdelay_hm.cfg,hm,22,1671.696,39.5729
RaceHorses_416x240_30.yuv,encoder_lowdelay_hm.cfg,hm,27,823.572,35.3101
RaceHorses_416x240_30.yuv,encoder_lowdelay_hm.cfg,hm,32,423.24,31.8151
RaceHorses_416x240_30.yuv,encoder_lowdelay_hm.cfg,hm,37,215.7,28.868
,,,,,
RaceHorses_416x240_30.yuv,encoder_lowdelay_vtm.cfg,vtm,22,1365.984,39.6891
RaceHorses_416x240_30.yuv,encoder_lowdelay_vtm.cfg,vtm,27,643.14,35.2424
RaceHorses_416x240_30.yuv,encoder_lowdelay_vtm.cfg,vtm,32,316.5,31.6991
RaceHorses_416x240_30.yuv,encoder_lowdelay_vtm.cfg,vtm,37,159.552,28.8712
,,,,,
Kimono_1920x1080_24.yuv,encoder_lowdelay_P_main_hm.cfg,hm,22,6369.2448,41.9587
Kimono_1920x1080_24.yuv,encoder_lowdelay_P_main_hm.cfg,hm,27,3153.4464,39.8281
Kimono_1920x1080_24.yuv,encoder_lowdelay_P_main_hm.cfg,hm,32,1658.1408,37.2384
Kimono_1920x1080_24.yuv,encoder_lowdelay_P_main_hm.cfg,hm,37,868.464,34.6448
,,,,,
Kimono_1920x1080_24.yuv,encoder_lowdelay_P_vtm.cfg,vtm,22,5500.32,42.4046
Kimono_1920x1080_24.yuv,encoder_lowdelay_P_vtm.cfg,vtm,27,2661.8304,40.1547
Kimono_1920x1080_24.yuv,encoder_lowdelay_P_vtm.cfg,vtm,32,1341.792,37.4115
Kimono_1920x1080_24.yuv,encoder_lowdelay_P_vtm.cfg,vtm,37,690.8064,34.728
